Updated,Confirmed,Deaths
03/16/2020,0,0
03/17/2020,0,0
03/18/2020,0,0
03/19/2020,0,0
03/20/2020,0,0
03/21/2020,0,0
03/22/2020,0,0
03/23/2020,0,0
03/24/2020,0,0
03/25/2020,0,0
03/26/2020,0,0
03/30/2020,2,0
03/31/2020,2,0
04/01/2020,6,1
04/02/2020,6,1
04/03/2020,8,1
04/04/2020,8,1
04/05/2020,8,1
04/06/2020,8,1
04/07/2020,8,2
04/08/2020,11,2
04/09/2020,11,2
04/10/2020,11,2
04/11/2020,11,2
04/12/2020,11,2
04/13/2020,11,2
04/14/2020,12,2
04/15/2020,13,2
04/16/2020,13,2
04/18/2020,14,2
04/19/2020,14,2
04/20/2020,14,2
04/21/2020,14,2
04/22/2020,14,2
04/23/2020,14,2
04/24/2020,14,2
04/25/2020,14,2
04/26/2020,14,2
04/27/2020,14,2
04/28/2020,14,2
04/29/2020,14,2
04/30/2020,14,2
05/01/2020,14,2
05/02/2020,14,2
05/03/2020,14,2
05/04/2020,14,2
05/05/2020,14,2
05/06/2020,14,2
05/07/2020,14,2
05/08/2020,15,2
05/09/2020,15,2
05/10/2020,16,2
05/11/2020,16,2
05/12/2020,19,2
05/13/2020,19,2
05/14/2020,19,2
05/15/2020,19,2
05/16/2020,19,2
05/17/2020,19,2
05/18/2020,21,2
05/19/2020,21,2
05/20/2020,21,2
05/21/2020,21,2
05/22/2020,21,2
05/23/2020,21,2
05/24/2020,22,2
05/25/2020,22,2
05/26/2020,22,2
05/27/2020,22,2
05/28/2020,22,2
05/29/2020,22,2
05/30/2020,22,2
05/31/2020,22,2
06/01/2020,22,2
06/02/2020,22,2
06/03/2020,22,2
06/04/2020,22,2
06/05/2020,22,2
06/06/2020,22,2
06/07/2020,22,2
06/08/2020,22,2
06/09/2020,22,2
06/10/2020,22,2
06/11/2020,22,2
06/12/2020,22,2
06/13/2020,30,2
06/14/2020,30,2
06/15/2020,30,2
06/16/2020,30,2
06/17/2020,30,2
06/18/2020,30,2
06/19/2020,30,2
06/20/2020,30,2
06/21/2020,30,2
06/22/2020,30,2
06/23/2020,30,2
06/24/2020,30,2
06/25/2020,30,2
06/26/2020,30,2
06/27/2020,30,2
06/28/2020,30,2
06/29/2020,30,2
06/30/2020,30,2
07/01/2020,30,2
07/02/2020,30,2
07/03/2020,31,2
07/04/2020,31,2
07/05/2020,31,2
