Updated,Confirmed,Deaths
02/26/2020,1,0.0
02/27/2020,4,0.0
02/28/2020,7,0.0
02/29/2020,15,0.0
03/01/2020,19,0.0
03/02/2020,25,0.0
03/03/2020,33,0.0
03/04/2020,54,0.0
03/05/2020,84,0.0
03/06/2020,111,0.0
03/07/2020,145,0.0
03/08/2020,167,0.0
03/09/2020,190,0.0
03/10/2020,275,0.0
03/11/2020,489,0.0
03/12/2020,621,1.0
03/13/2020,750,1.0
03/14/2020,907,3.0
03/15/2020,1077,3.0
03/16/2020,1169,3.0
03/17/2020,1308,3.0
03/18/2020,1423,6.0
03/19/2020,1552,6.0
03/20/2020,1742,7.0
03/21/2020,1926,7.0
03/22/2020,2132,7.0
03/23/2020,2371,7.0
03/24/2020,2566,10.0
03/25/2020,2916,12.0
03/26/2020,3156,14.0
03/27/2020,3581,16.0
03/28/2020,3845,20.0
03/29/2020,4102,22.0
03/30/2020,4226,27.0
03/31/2020,4447,28.0
04/01/2020,4655,32.0
04/02/2020,4935,42.0
04/03/2020,5208,44.0
04/04/2020,5510,50.0
04/05/2020,5640,58.0
04/06/2020,5755,59.0
04/07/2020,5863,69.0
04/08/2020,6010,80.0
04/09/2020,6160,88.0
04/10/2020,6244,92.0
04/11/2020,6320,98.0
04/12/2020,6415,103.0
04/13/2020,6488,114.0
04/14/2020,6566,127.0
04/15/2020,6677,130.0
04/16/2020,6791,136.0
04/17/2020,6891,137.0
04/18/2020,6984,148.0
04/19/2020,7068,154.0
04/20/2020,7113,154.0
04/21/2020,7166,163.0
04/22/2020,7250,169.0
04/23/2020,7345,180.0
04/24/2020,7408,191.0
04/25/2020,7467,193.0
04/26/2020,7505,193.0
04/27/2020,7533,193.0
04/28/2020,7605,195.0
04/29/2020,7667,202.0
04/30/2020,7710,204.0
05/01/2020,7783,210.0
05/02/2020,7809,210.0
05/03/2020,7847,211.0
05/04/2020,7905,214.0
05/05/2020,7955,215.0
05/06/2020,7996,216.0
05/07/2020,8034,217.0
05/08/2020,8070,218.0
05/09/2020,8099,219.0
05/10/2020,8102,219.0
05/11/2020,8106,224.0
05/12/2020,8152,228.0
05/13/2020,8175,239.0
05/14/2020,8196,239.0
05/15/2020,8219,239.0
05/16/2020,8237,239.0
05/17/2020,8249,239.0
05/18/2020,8257,239.0
05/19/2020,8267,239.0
05/20/2020,8281,239.0
05/21/2020,8301,239.0
05/22/2020,8331,239.0
05/23/2020,8346,239.0
05/24/2020,8349,239.0
05/25/2020,8352,239.0
05/26/2020,8359,239.0
05/27/2020,8366,239.0
05/28/2020,8373,239.0
05/29/2020,8380,239.0
05/30/2020,8387,239.0
05/31/2020,8395,239.0
06/01/2020,8403,239.0
06/02/2020,8411,239.0
06/03/2020,8477,239.0
06/04/2020,8498,239.0
06/05/2020,8520,239.0
06/06/2020,8542,239.0
06/07/2020,8547,239.0
06/08/2020,8561,239.0
06/09/2020,8576,239.0
06/10/2020,8590,239.0
06/11/2020,8605,242.0
06/12/2020,8620,242.0
06/13/2020,8624,242.0
06/14/2020,8628,242.0
06/15/2020,8641,242.0
06/16/2020,8655,242.0
06/17/2020,8672,293.0
06/18/2020,8690,293.0
06/19/2020,8708,293.0
06/20/2020,8721,293.0
06/21/2020,8734,293.0
06/22/2020,8747,293.0
06/23/2020,8760,293.0
06/24/2020,8774,293.0
06/25/2020,8788,249.0
