Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/24/2020,2,0,0,0
02/25/2020,4,2,0,0
02/26/2020,4,0,0,0
02/27/2020,6,2,0,0
02/28/2020,6,0,0,0
02/29/2020,6,0,0,0
03/01/2020,6,0,0,0
03/02/2020,6,0,0,0
03/03/2020,12,6,0,0
03/04/2020,15,3,0,0
03/05/2020,16,1,0,0
03/06/2020,16,0,0,0
03/07/2020,16,0,0,0
03/08/2020,16,0,0,0
03/09/2020,18,2,0,0
03/10/2020,18,0,0,0
03/11/2020,18,0,0,0
03/12/2020,18,0,0,0
03/13/2020,20,2,0,0
03/14/2020,21,1,0,0
03/15/2020,22,1,0,0
03/16/2020,24,2,0,0
03/17/2020,24,0,0,0
03/18/2020,39,15,0,0
03/19/2020,48,9,0,0
03/20/2020,48,0,0,0
03/21/2020,52,4,0,0
03/22/2020,55,3,0,0
03/23/2020,66,11,0,0
03/24/2020,84,18,0,0
03/25/2020,99,15,0,0
03/26/2020,109,10,0,0
03/27/2020,131,22,0,0
03/28/2020,152,21,0,0
03/29/2020,167,15,0,0
03/30/2020,179,12,0,0
03/31/2020,192,13,0,0
04/01/2020,210,18,1,1
04/02/2020,231,21,1,0
04/03/2020,252,21,1,0
04/04/2020,277,25,2,1
04/05/2020,298,21,2,0
04/06/2020,331,33,2,0
04/07/2020,371,40,2,0
04/08/2020,419,48,2,0
04/09/2020,457,38,3,1
04/10/2020,484,27,3,0
04/11/2020,546,62,3,0
04/12/2020,599,53,4,1
04/13/2020,727,128,4,0
04/14/2020,813,86,4,0
04/15/2020,910,97,4,0
04/16/2020,1019,109,4,0
04/17/2020,1069,50,6,2
04/18/2020,1180,111,6,0
04/19/2020,1266,86,6,0
04/20/2020,1410,144,7,1
04/21/2020,1508,98,8,1
04/22/2020,1614,106,8,0
04/23/2020,1716,102,9,1
04/24/2020,1790,74,10,1
04/25/2020,1905,115,10,0
04/26/2020,1998,93,10,0
04/27/2020,2049,51,10,0
04/28/2020,2131,82,10,0
04/29/2020,2274,143,10,0
04/30/2020,2348,74,11,1
05/01/2020,2447,99,11,0
05/02/2020,2483,36,12,1
05/03/2020,2568,85,12,0
05/04/2020,2637,69,12,0
05/05/2020,2735,98,13,1
05/06/2020,2903,168,13,0
05/07/2020,2958,55,15,2
05/08/2020,3112,154,16,1
05/09/2020,3224,112,17,1
05/10/2020,3399,175,17,0
05/11/2020,3573,174,17,0
05/12/2020,3721,148,17,0
05/13/2020,4019,298,17,0
05/14/2020,4341,322,18,1
05/15/2020,4625,284,20,2
05/16/2020,5029,404,21,1
05/17/2020,5186,157,22,1
05/18/2020,5379,193,25,3
05/19/2020,5671,292,27,2
05/20/2020,6043,372,30,3
05/21/2020,6370,327,30,0
05/22/2020,6794,424,34,4
05/23/2020,7257,463,36,2
05/24/2020,7770,513,37,1
05/25/2020,7944,174,37,0
05/26/2020,8118,174,37,0
05/27/2020,8373,255,39,2
05/28/2020,9009,636,40,1
05/29/2020,9820,811,41,1
05/30/2020,10423,603,42,1
05/31/2020,11437,1014,49,7
06/01/2020,12223,786,50,1
06/02/2020,12799,576,59,9
06/03/2020,13538,739,67,8
06/04/2020,14316,778,67,0
06/05/2020,15086,770,72,5
06/06/2020,16016,930,72,0
06/07/2020,16882,866,75,3
06/08/2020,17486,604,81,6
06/09/2020,18198,712,83,2
06/10/2020,18887,689,84,1
06/11/2020,19954,1067,89,5
06/12/2020,21071,1117,96,7
06/13/2020,22077,1006,99,3
06/14/2020,23481,1404,104,5
06/15/2020,24524,1043,108,4
06/16/2020,25269,745,114,6
06/17/2020,26079,810,116,2
06/18/2020,26818,739,119,3
06/19/2020,27670,852,125,6
06/20/2020,28566,896,128,3
06/21/2020,29471,905,131,3
06/22/2020,31076,1605,137,6
06/23/2020,32394,1318,140,3
06/24/2020,33536,1142,142,2
06/25/2020,34902,1366,144,2
06/26/2020,36034,1132,153,9
06/27/2020,36953,919,159,6
06/28/2020,38150,1197,163,4
06/29/2020,39060,910,169,6
06/30/2020,40070,1010,176,7
07/01/2020,41194,1124,185,9
07/02/2020,42555,1361,188,3
07/03/2020,43929,1374,193,5
07/04/2020,45106,1177,203,10
07/05/2020,46178,1072,213,10
