Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/07/2020,1,0,0,0
03/08/2020,1,0,0,0
03/09/2020,1,0,0,0
03/10/2020,5,4,0,0
03/11/2020,5,0,0,0
03/12/2020,6,1,0,0
03/13/2020,7,1,0,0
03/14/2020,7,0,0,0
03/15/2020,8,1,0,0
03/16/2020,9,1,0,0
03/17/2020,11,2,0,0
03/18/2020,11,0,0,0
03/19/2020,13,2,0,0
03/20/2020,18,5,1,1
03/21/2020,22,4,1,0
03/22/2020,22,0,1,0
03/23/2020,27,5,2,1
03/24/2020,37,10,3,1
03/25/2020,41,4,3,0
03/26/2020,52,11,3,0
03/27/2020,56,4,3,0
03/28/2020,59,3,3,0
03/29/2020,64,5,3,0
03/30/2020,65,1,3,0
03/31/2020,69,4,3,0
04/01/2020,77,8,3,0
04/02/2020,92,15,3,0
04/03/2020,96,4,3,0
04/04/2020,104,8,3,0
04/05/2020,113,9,5,2
04/06/2020,115,2,5,0
04/07/2020,119,4,5,0
04/08/2020,124,5,5,0
04/09/2020,129,5,6,1
04/10/2020,133,4,6,0
04/11/2020,134,1,6,0
04/12/2020,147,13,6,0
04/13/2020,159,12,7,1
04/14/2020,161,2,8,1
04/15/2020,174,13,8,0
04/16/2020,199,25,8,0
04/17/2020,202,3,8,0
04/18/2020,206,4,8,0
04/19/2020,208,2,8,0
04/20/2020,210,2,8,0
04/21/2020,213,3,9,1
04/22/2020,216,3,9,0
04/23/2020,220,4,9,0
04/24/2020,223,3,9,0
04/25/2020,228,5,9,0
04/26/2020,229,1,9,0
04/27/2020,230,1,9,0
04/28/2020,239,9,9,0
04/29/2020,249,10,9,0
04/30/2020,266,17,10,1
05/01/2020,318,52,10,0
05/02/2020,370,52,10,0
05/03/2020,396,26,10,0
05/04/2020,415,19,10,0
05/05/2020,431,16,10,0
05/06/2020,440,9,10,0
05/07/2020,462,22,10,0
05/08/2020,563,101,10,0
05/09/2020,689,126,10,0
05/10/2020,713,24,10,0
05/11/2020,724,11,10,0
05/12/2020,737,13,10,0
05/13/2020,740,3,11,1
05/14/2020,754,14,11,0
05/15/2020,759,5,11,0
05/16/2020,778,19,11,0
05/17/2020,786,8,11,0
05/18/2020,788,2,11,0
05/19/2020,829,41,11,0
05/20/2020,833,4,11,0
05/21/2020,836,3,11,0
05/22/2020,838,2,11,0
05/23/2020,850,12,11,0
05/24/2020,862,12,11,0
05/25/2020,865,3,11,0
05/26/2020,877,12,11,0
05/27/2020,884,7,11,0
05/28/2020,900,16,11,0
05/29/2020,917,17,11,0
05/30/2020,964,47,11,0
05/31/2020,986,22,11,0
06/01/2020,995,9,11,0
06/02/2020,1013,18,11,0
06/03/2020,1070,57,11,0
06/04/2020,1078,8,11,0
06/05/2020,1087,9,11,0
06/06/2020,1090,3,11,0
06/07/2020,1135,45,11,0
06/08/2020,1145,10,11,0
06/09/2020,1187,42,11,0
06/10/2020,1202,15,11,0
06/11/2020,1230,28,11,0
06/12/2020,1254,24,11,0
06/13/2020,1261,7,11,0
06/14/2020,1289,28,11,0
06/15/2020,1296,7,12,1
06/16/2020,1303,7,13,1
06/17/2020,1308,5,13,0
06/18/2020,1330,22,13,0
06/19/2020,1336,6,13,0
06/20/2020,1362,26,13,0
06/21/2020,1382,20,13,0
06/22/2020,1402,20,13,0
06/23/2020,1422,20,13,0
06/24/2020,1528,106,13,0
06/25/2020,1569,41,13,0
06/26/2020,1711,142,13,0
06/27/2020,1942,231,15,2
06/28/2020,2127,185,15,0
06/29/2020,2191,64,16,1
06/30/2020,2221,30,17,1
07/01/2020,2260,39,19,2
07/02/2020,2303,43,19,0
07/03/2020,2349,46,19,0
07/04/2020,2385,36,20,1
07/05/2020,2427,42,20,0
