Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/30/2020,1,0,0,0
01/31/2020,1,0,0,0
02/01/2020,1,0,0,0
02/02/2020,2,1,0,0
02/03/2020,2,0,1,1
02/04/2020,2,0,1,0
02/05/2020,3,1,1,0
02/06/2020,3,0,1,0
02/07/2020,3,0,1,0
02/08/2020,3,0,1,0
02/09/2020,3,0,1,0
02/10/2020,3,0,1,0
02/11/2020,3,0,1,0
02/12/2020,3,0,1,0
02/13/2020,3,0,1,0
02/14/2020,3,0,1,0
02/15/2020,3,0,1,0
02/16/2020,3,0,1,0
02/17/2020,3,0,1,0
02/18/2020,3,0,1,0
02/19/2020,3,0,1,0
02/20/2020,3,0,1,0
02/21/2020,3,0,1,0
02/22/2020,3,0,1,0
02/23/2020,3,0,1,0
02/24/2020,3,0,1,0
02/25/2020,3,0,1,0
02/26/2020,3,0,1,0
02/27/2020,3,0,1,0
02/28/2020,3,0,1,0
02/29/2020,3,0,1,0
03/01/2020,3,0,1,0
03/02/2020,3,0,1,0
03/03/2020,3,0,1,0
03/04/2020,3,0,1,0
03/05/2020,5,2,1,0
03/06/2020,5,0,1,0
03/07/2020,6,1,1,0
03/08/2020,10,4,1,0
03/09/2020,24,14,1,0
03/10/2020,33,9,1,0
03/11/2020,49,16,1,0
03/12/2020,52,3,2,1
03/13/2020,64,12,2,0
03/14/2020,111,47,2,0
03/15/2020,140,29,6,4
03/16/2020,142,2,12,6
03/17/2020,187,45,12,0
03/18/2020,202,15,14,2
03/19/2020,217,15,17,3
03/20/2020,230,13,18,1
03/21/2020,307,77,19,1
03/22/2020,380,73,25,6
03/23/2020,462,82,33,8
03/24/2020,552,90,35,2
03/25/2020,636,84,38,3
03/26/2020,707,71,45,7
03/27/2020,803,96,54,9
03/28/2020,1075,272,68,14
03/29/2020,1418,343,71,3
03/30/2020,1546,128,78,7
03/31/2020,2084,538,88,10
04/01/2020,2311,227,96,8
04/02/2020,2633,322,107,11
04/03/2020,3018,385,136,29
04/04/2020,3094,76,144,8
04/05/2020,3246,152,152,8
04/06/2020,3660,414,163,11
04/07/2020,3764,104,177,14
04/08/2020,3870,106,182,5
04/09/2020,4076,206,203,21
04/10/2020,4195,119,221,18
04/11/2020,4428,233,247,26
04/12/2020,4648,220,297,50
04/13/2020,4932,284,315,18
04/14/2020,5223,291,335,20
04/15/2020,5453,230,349,14
04/16/2020,5660,207,362,13
04/17/2020,5878,218,387,25
04/18/2020,6087,209,397,10
04/19/2020,6259,172,409,12
04/20/2020,6459,200,428,19
04/21/2020,6599,140,428,0
04/22/2020,6710,111,446,18
04/23/2020,6981,271,462,16
04/24/2020,7192,211,477,15
04/25/2020,7294,102,494,17
04/26/2020,7579,285,501,7
04/27/2020,7777,198,511,10
04/28/2020,7958,181,530,19
04/29/2020,8212,254,558,28
04/30/2020,8488,276,568,10
05/01/2020,8772,284,579,11
05/02/2020,8928,156,603,24
05/03/2020,9223,295,607,4
05/04/2020,9485,262,623,16
05/05/2020,9684,199,637,14
05/06/2020,10004,320,658,21
05/07/2020,10343,339,685,27
05/08/2020,10463,120,696,11
05/09/2020,10610,147,704,8
05/10/2020,10794,184,719,15
05/11/2020,11086,292,726,7
05/12/2020,11350,264,751,25
05/13/2020,11618,268,772,21
05/14/2020,11876,258,790,18
05/15/2020,12091,215,806,16
05/16/2020,12305,214,817,11
05/17/2020,12513,208,824,7
05/18/2020,12718,205,831,7
05/19/2020,12942,224,837,6
05/20/2020,13221,279,842,5
05/21/2020,13434,213,846,4
05/22/2020,13597,163,857,11
05/23/2020,13777,180,863,6
05/24/2020,14035,258,868,5
05/25/2020,14319,284,873,5
05/26/2020,14669,350,886,13
05/27/2020,15049,380,904,18
05/28/2020,15588,539,921,17
05/29/2020,16634,1046,942,21
05/30/2020,17224,590,950,8
05/31/2020,18086,862,957,7
06/01/2020,18638,552,960,3
06/02/2020,18997,359,966,6
06/03/2020,19748,751,974,8
06/04/2020,20382,634,984,10
06/05/2020,20626,244,987,3
06/06/2020,21340,714,994,7
06/07/2020,21895,555,1003,9
06/08/2020,22474,579,1011,8
06/09/2020,22992,518,1017,6
06/10/2020,23732,740,1027,10
06/11/2020,24175,443,1036,9
06/12/2020,24787,612,1052,16
06/13/2020,25392,605,1074,22
06/14/2020,25930,538,1088,14
06/15/2020,26420,490,1098,10
06/16/2020,26781,361,1103,5
06/17/2020,27238,457,1108,5
06/18/2020,27799,561,1116,8
06/19/2020,28459,660,1130,14
06/20/2020,29400,941,1150,20
06/21/2020,30052,652,1169,19
06/22/2020,30682,630,1177,8
06/23/2020,31825,1143,1186,9
06/24/2020,32295,470,1204,18
06/25/2020,33069,774,1212,8
06/26/2020,34073,1004,1224,12
06/27/2020,34803,730,1236,12
06/28/2020,35455,652,1244,8
06/29/2020,36438,983,1255,11
06/30/2020,37514,1076,1266,11
07/01/2020,38511,997,1270,4
07/02/2020,38805,294,1274,4
07/03/2020,40336,1531,1280,6
07/04/2020,41830,1494,1290,10
07/05/2020,44254,2424,1297,7
07/06/2020,46333,2079,1303,6
