Updated,Confirmed,Deaths
03/04/2020,1,0
03/05/2020,1,0
03/06/2020,5,0
03/07/2020,6,0
03/08/2020,11,0
03/09/2020,17,0
03/10/2020,22,0
03/11/2020,31,0
03/12/2020,51,1
03/13/2020,68,2
03/14/2020,104,3
03/15/2020,125,3
03/16/2020,177,4
03/17/2020,238,5
03/18/2020,287,5
03/19/2020,355,5
03/20/2020,425,5
03/21/2020,536,5
03/22/2020,634,7
03/23/2020,749,8
03/24/2020,900,10
03/25/2020,1051,13
03/26/2020,1221,16
03/27/2020,1389,16
03/28/2020,1638,18
03/29/2020,1862,22
03/30/2020,2055,31
03/31/2020,2311,33
04/01/2020,2554,43
04/02/2020,2946,57
04/03/2020,3383,71
04/04/2020,3627,79
04/05/2020,4102,94
04/06/2020,4413,107
04/07/2020,4848,129
04/08/2020,5205,158
04/09/2020,5575,174
04/10/2020,5955,181
04/11/2020,6356,208
04/12/2020,6674,232
04/13/2020,6934,245
04/14/2020,7202,263
04/15/2020,7582,286
04/16/2020,7918,314
04/17/2020,8379,332
04/18/2020,8742,347
04/19/2020,9287,360
04/20/2020,9593,380
04/21/2020,9856,401
04/22/2020,10169,426
04/23/2020,10511,454
04/24/2020,10892,494
04/25/2020,11210,524
04/26/2020,11554,535
04/27/2020,11839,562
04/28/2020,12155,596
04/29/2020,12577,624
04/30/2020,12877,644
05/01/2020,13105,651
05/02/2020,13375,663
05/03/2020,13693,678
05/04/2020,14006,697
05/05/2020,14412,715
05/06/2020,14723,733
05/07/2020,15026,755
05/08/2020,15363,776
05/09/2020,15651,785
05/10/2020,15996,800
05/11/2020,16326,811
05/12/2020,16882,838
05/13/2020,17204,861
05/14/2020,17615,883
05/15/2020,18016,907
05/16/2020,18257,915
05/17/2020,18529,925
05/18/2020,18885,936
05/19/2020,19267,948
05/20/2020,19738,962
05/21/2020,20141,972
05/22/2020,20613,982
05/23/2020,20929,993
05/24/2020,21290,996
05/25/2020,21631,1007
05/26/2020,22074,1024
05/27/2020,22470,1028
05/28/2020,22822,1038
05/29/2020,23155,1051
05/30/2020,23567,1061
05/31/2020,23786,1064
06/01/2020,24159,1074
06/02/2020,24395,1092
06/03/2020,24687,1115
06/04/2020,25048,1117
06/05/2020,25410,1137
06/06/2020,25986,1151
06/07/2020,26561,1155
06/08/2020,27160,1164
06/09/2020,27560,1183
06/10/2020,27842,1206
06/11/2020,28201,1215
06/12/2020,28577,1222
06/13/2020,29017,1237
06/14/2020,29392,1247
06/15/2020,29788,1256
06/16/2020,30195,1272
06/17/2020,30645,1286
06/18/2020,30959,1316
06/19/2020,31311,1334
06/20/2020,31620,1346
06/21/2020,31931,1356
06/22/2020,32227,1359
06/23/2020,32527,1375
06/24/2020,32821,1396
06/25/2020,33119,1412
06/26/2020,33395,1429
06/27/2020,33714,1435
06/28/2020,33907,1438
06/29/2020,34154,1444
06/30/2020,34393,1463
07/01/2020,34775,1477
07/02/2020,35146,1492
07/03/2020,35405,1507
07/04/2020,35719,1512
07/05/2020,35950,1517
07/06/2020,36155,1521
