Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/21/2020,0,0,0,0
01/24/2020,0,0,0,0
01/25/2020,0,0,0,0
01/26/2020,0,0,0,0
01/30/2020,0,0,0,0
01/31/2020,0,0,0,0
02/01/2020,0,0,0,0
02/02/2020,0,0,0,0
02/05/2020,0,0,0,0
02/20/2020,0,0,0,0
02/26/2020,0,0,0,0
02/28/2020,0,0,0,0
02/29/2020,0,0,0,0
03/01/2020,0,0,0,0
03/02/2020,0,0,0,0
03/03/2020,0,0,0,0
03/04/2020,0,0,0,0
03/05/2020,0,0,0,0
03/06/2020,0,0,0,0
03/07/2020,0,0,0,0
03/08/2020,0,0,0,0
03/09/2020,0,0,0,0
03/10/2020,0,0,0,0
03/11/2020,0,0,0,0
03/12/2020,0,0,0,0
03/13/2020,3,3,0,0
03/14/2020,3,0,0,0
03/15/2020,5,2,0,0
03/16/2020,5,0,0,0
03/17/2020,5,0,0,0
03/18/2020,6,1,0,0
03/19/2020,6,0,0,0
03/20/2020,14,8,0,0
03/21/2020,21,7,1,1
03/22/2020,23,2,1,0
03/23/2020,31,8,2,1
03/24/2020,39,8,2,0
03/25/2020,51,12,2,0
03/26/2020,64,13,2,0
03/27/2020,79,15,3,1
03/28/2020,100,21,3,0
03/29/2020,127,27,5,2
03/30/2020,174,47,6,1
03/31/2020,239,65,8,2
04/01/2020,286,47,11,3
04/02/2020,316,30,12,1
04/03/2020,378,62,15,3
04/04/2020,452,74,18,3
04/05/2020,475,23,20,2
04/06/2020,513,38,21,1
04/07/2020,573,60,23,2
04/08/2020,620,47,24,1
04/09/2020,683,63,33,9
04/10/2020,725,42,39,6
04/11/2020,788,63,42,3
04/12/2020,897,109,44,2
04/13/2020,903,6,45,1
04/14/2020,923,20,45,0
04/15/2020,974,51,51,6
04/16/2020,1043,69,56,5
04/17/2020,1068,25,58,2
04/18/2020,1118,50,60,2
04/19/2020,1213,95,62,2
04/20/2020,1252,39,63,1
04/21/2020,1298,46,64,1
04/22/2020,1378,80,67,3
04/23/2020,1416,38,69,2
04/24/2020,1418,2,77,8
04/25/2020,1421,3,83,6
04/26/2020,1424,3,84,1
04/27/2020,1427,3,84,0
04/28/2020,1430,3,86,2
04/29/2020,1433,3,86,0
04/30/2020,1539,106,92,6
05/01/2020,1575,36,94,2
05/02/2020,1757,182,95,1
05/03/2020,1808,51,97,2
05/04/2020,1843,35,97,0
05/05/2020,1924,81,99,2
05/06/2020,1968,44,99,0
05/07/2020,2031,63,102,3
05/08/2020,2156,125,107,5
05/09/2020,2173,17,108,1
05/10/2020,2198,25,111,3
05/11/2020,2256,58,113,2
05/12/2020,2299,43,114,1
05/13/2020,2329,30,115,1
05/14/2020,2427,98,117,2
05/15/2020,2542,115,122,5
05/16/2020,2589,47,122,0
05/17/2020,2646,57,123,1
05/18/2020,2710,64,124,1
05/19/2020,2805,95,124,0
05/20/2020,2866,61,125,1
05/21/2020,2913,47,126,1
05/22/2020,3030,117,126,0
05/23/2020,3100,70,127,1
05/24/2020,3189,89,127,0
05/25/2020,3260,71,129,2
05/26/2020,3324,64,129,0
05/27/2020,3397,73,129,0
05/28/2020,3486,89,131,2
05/29/2020,3647,161,132,1
05/30/2020,3743,96,134,2
05/31/2020,3839,96,136,2
06/01/2020,3935,96,138,2
06/02/2020,4023,88,140,2
06/03/2020,4508,485,140,0
06/04/2020,4620,112,141,1
06/05/2020,4915,295,142,1
06/06/2020,4980,65,142,0
06/07/2020,5046,66,142,0
06/08/2020,5185,139,142,0
06/09/2020,5329,144,143,1
06/10/2020,5352,23,144,1
06/11/2020,5536,184,146,2
06/12/2020,5673,137,146,0
06/13/2020,5811,138,147,1
06/14/2020,5890,79,147,0
06/15/2020,5951,61,147,0
06/16/2020,6003,52,147,0
06/17/2020,6111,108,147,0
06/18/2020,6195,84,147,0
06/19/2020,6463,268,147,0
06/20/2020,6525,62,149,2
06/21/2020,6564,39,149,0
06/22/2020,6685,121,149,0
06/23/2020,6731,46,149,0
06/24/2020,6820,89,149,0
06/25/2020,6907,87,149,0
06/26/2020,6994,87,149,0
06/27/2020,7081,87,149,0
06/28/2020,7168,87,149,0
06/29/2020,7256,88,149,0
06/30/2020,7344,88,149,0
07/01/2020,7432,88,149,0
07/02/2020,7520,88,149,0
07/03/2020,7608,88,149,0
07/04/2020,7687,79,155,6
07/05/2020,7687,0,155,0
