Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/05/2020,2,0,0,0
03/06/2020,2,0,0,0
03/07/2020,2,0,0,0
03/08/2020,2,0,0,0
03/09/2020,2,0,0,0
03/10/2020,2,0,0,0
03/11/2020,2,0,0,0
03/12/2020,2,0,0,0
03/13/2020,2,0,0,0
03/14/2020,2,0,0,0
03/15/2020,2,0,0,0
03/16/2020,2,0,0,0
03/17/2020,2,0,0,0
03/18/2020,2,0,0,0
03/22/2020,8,6,0,0
03/23/2020,8,0,0,0
03/24/2020,11,3,0,0
03/25/2020,11,0,0,0
03/26/2020,11,0,0,0
03/27/2020,11,0,0,0
03/30/2020,18,7,1,1
03/31/2020,18,0,1,0
04/01/2020,21,3,2,1
04/02/2020,22,1,2,0
04/03/2020,24,2,2,0
04/04/2020,24,0,2,0
04/05/2020,29,5,2,0
04/06/2020,32,3,2,0
04/07/2020,32,0,2,0
04/08/2020,32,0,2,0
04/09/2020,32,0,2,0
04/10/2020,32,0,2,0
04/11/2020,33,1,3,1
04/12/2020,33,0,0,-3
04/13/2020,11,-22,0,0
04/14/2020,11,0,0,0
04/15/2020,11,0,0,0
04/16/2020,11,0,0,0
04/17/2020,35,24,2,2
04/18/2020,37,2,2,0
04/19/2020,11,-26,0,-2
04/20/2020,37,26,2,2
04/21/2020,37,0,2,0
04/22/2020,11,-26,0,-2
04/23/2020,11,0,0,0
04/27/2020,11,0,0,0
04/28/2020,11,0,0,0
04/29/2020,11,0,0,0
04/30/2020,11,0,0,0
05/01/2020,11,0,0,0
