Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/27/2020,1,0,0,0
02/28/2020,2,1,0,0
02/29/2020,3,1,0,0
03/01/2020,8,5,0,0
03/02/2020,9,1,1,1
03/03/2020,11,2,1,0
03/04/2020,16,5,1,0
03/05/2020,22,6,1,0
03/06/2020,24,2,1,0
03/07/2020,27,3,1,0
03/08/2020,37,10,1,0
03/09/2020,51,14,2,1
03/10/2020,62,11,2,0
03/11/2020,69,7,3,1
03/12/2020,72,3,5,2
03/13/2020,80,8,5,0
03/14/2020,101,21,5,0
03/15/2020,109,8,7,2
03/16/2020,115,6,9,2
03/17/2020,119,4,11,2
03/18/2020,127,8,14,3
03/19/2020,144,17,14,0
03/20/2020,151,7,14,0
03/21/2020,160,9,20,6
03/22/2020,175,15,20,0
03/23/2020,187,12,20,0
03/24/2020,197,10,21,1
03/25/2020,208,11,21,0
03/26/2020,218,10,21,0
03/27/2020,223,5,21,0
03/28/2020,224,1,22,1
03/29/2020,229,5,24,2
03/30/2020,230,1,25,1
03/31/2020,236,6,26,1
04/01/2020,240,4,28,2
04/02/2020,245,5,30,2
04/03/2020,251,6,32,2
04/04/2020,259,8,32,0
04/05/2020,266,7,32,0
04/06/2020,277,11,32,0
04/07/2020,279,2,34,2
04/08/2020,308,29,34,0
04/09/2020,333,25,34,0
04/10/2020,344,11,34,0
04/11/2020,356,12,35,1
04/12/2020,363,7,35,0
04/13/2020,371,8,36,1
04/14/2020,372,1,36,0
04/15/2020,393,21,36,0
04/16/2020,426,33,38,2
04/17/2020,435,9,39,1
04/18/2020,455,20,39,0
04/19/2020,461,6,39,0
04/20/2020,462,1,39,0
04/21/2020,476,14,40,1
04/22/2020,488,12,40,0
04/23/2020,501,13,40,0
04/24/2020,513,12,40,0
04/25/2020,535,22,40,0
04/26/2020,538,3,41,1
04/27/2020,545,7,41,0
04/28/2020,553,8,41,0
04/29/2020,563,10,41,0
04/30/2020,569,6,41,0
05/01/2020,580,11,41,0
05/02/2020,581,1,41,0
05/03/2020,582,1,41,0
05/04/2020,585,3,41,0
05/05/2020,589,4,41,0
05/06/2020,608,19,41,0
05/07/2020,622,14,41,0
05/08/2020,623,1,41,0
05/09/2020,637,14,41,0
05/10/2020,637,0,41,0
05/11/2020,637,0,41,0
05/12/2020,638,1,41,0
05/13/2020,643,5,41,0
05/14/2020,648,5,41,0
05/15/2020,652,4,41,0
05/16/2020,653,1,41,0
05/17/2020,654,1,41,0
05/18/2020,654,0,41,0
05/19/2020,655,1,41,0
05/20/2020,656,1,41,0
05/21/2020,658,2,41,0
05/22/2020,661,3,41,0
05/23/2020,665,4,42,1
05/24/2020,665,0,42,0
05/25/2020,666,1,42,0
05/26/2020,666,0,42,0
05/27/2020,667,1,42,0
05/28/2020,670,3,42,0
05/29/2020,671,1,42,0
05/30/2020,671,0,42,0
05/31/2020,671,0,42,0
06/01/2020,671,0,42,0
06/02/2020,672,1,42,0
06/03/2020,674,2,42,0
06/04/2020,678,4,42,0
06/05/2020,680,2,42,0
06/06/2020,682,2,42,0
06/07/2020,684,2,42,0
06/08/2020,687,3,42,0
06/09/2020,688,1,42,0
06/10/2020,691,3,42,0
06/11/2020,692,1,42,0
06/12/2020,694,2,42,0
06/13/2020,694,0,42,0
06/14/2020,694,0,42,0
06/15/2020,694,0,42,0
06/16/2020,695,1,42,0
06/17/2020,696,1,42,0
06/18/2020,696,0,42,0
06/19/2020,696,0,45,3
06/20/2020,696,0,42,-3
06/21/2020,696,0,42,0
06/22/2020,697,1,42,0
06/23/2020,698,1,42,0
06/24/2020,698,0,42,0
06/25/2020,698,0,42,0
06/26/2020,698,0,42,0
06/27/2020,698,0,42,0
06/28/2020,698,0,42,0
06/29/2020,698,0,42,0
06/30/2020,698,0,42,0
07/01/2020,698,0,42,0
07/02/2020,698,0,42,0
07/03/2020,698,0,42,0
07/04/2020,698,0,42,0
07/05/2020,698,0,42,0
