Updated,Confirmed,Deaths
03/02/2020,1,0.0
03/03/2020,1,0.0
03/04/2020,2,0.0
03/05/2020,5,0.0
03/06/2020,8,0.0
03/07/2020,9,0.0
03/08/2020,11,0.0
03/09/2020,15,0.0
03/10/2020,20,0.0
03/11/2020,45,0.0
03/12/2020,62,0.0
03/13/2020,86,0.0
03/14/2020,103,0.0
03/15/2020,118,0.0
03/16/2020,133,0.0
03/17/2020,171,0.0
03/18/2020,238,0.0
03/19/2020,274,0.0
03/20/2020,344,0.0
03/21/2020,392,0.0
03/22/2020,511,0.0
03/23/2020,562,0.0
03/24/2020,767,1.0
03/25/2020,900,2.0
03/26/2020,1012,3.0
03/27/2020,1104,3.0
03/28/2020,1203,4.0
03/29/2020,1299,8.0
03/30/2020,1453,8.0
03/31/2020,1563,10.0
04/01/2020,1720,16.0
04/02/2020,1885,21.0
04/03/2020,2039,25.0
04/04/2020,2179,29.0
04/05/2020,2385,34.0
04/06/2020,2523,38.0
04/07/2020,2795,41.0
04/08/2020,2932,41.0
04/09/2020,3287,44.0
04/10/2020,3651,47.0
04/11/2020,4033,52.0
04/12/2020,4462,59.0
04/13/2020,4934,65.0
04/14/2020,5369,73.0
04/15/2020,5862,79.0
04/16/2020,6380,86.0
04/17/2020,7142,87.0
04/18/2020,8274,92.0
04/19/2020,9362,97.0
04/20/2020,10484,103.0
04/21/2020,11631,109.0
04/22/2020,12772,114.0
04/23/2020,13930,121.0
04/24/2020,15102,127.0
04/25/2020,16299,136.0
04/26/2020,17522,139.0
04/27/2020,18811,144.0
04/28/2020,20077,152.0
04/29/2020,21402,157.0
04/30/2020,22753,162.0
05/01/2020,24097,169.0
05/02/2020,25459,176.0
05/03/2020,27011,184.0
05/04/2020,28656,191.0
05/05/2020,30251,200.0
05/06/2020,31938,209.0
05/07/2020,33731,219.0
05/08/2020,35432,229.0
05/09/2020,37136,239.0
05/10/2020,39048,246.0
05/11/2020,41014,255.0
05/12/2020,42925,264.0
05/13/2020,44830,273.0
05/14/2020,46869,283.0
05/15/2020,49176,292.0
05/16/2020,52016,302.0
05/17/2020,54752,312.0
05/18/2020,57345,320.0
05/19/2020,59854,329.0
05/20/2020,62545,339.0
05/21/2020,65077,351.0
05/22/2020,67719,364.0
05/23/2020,70161,379.0
05/24/2020,72560,390.0
05/25/2020,74765,399.0
05/26/2020,76726,411.0
05/27/2020,78541,425.0
05/28/2020,80185,441.0
05/29/2020,81766,458.0
05/30/2020,83384,480.0
05/31/2020,85261,503.0
06/01/2020,87142,525.0
06/02/2020,89011,549.0
06/03/2020,91182,579.0
06/04/2020,93157,611.0
06/05/2020,95748,642.0
06/06/2020,98869,676.0
06/07/2020,101914,712.0
06/08/2020,105283,746.0
06/09/2020,108571,783.0
06/10/2020,112288,819.0
06/11/2020,116021,857.0
06/12/2020,119942,893.0
06/13/2020,123308,932.0
06/14/2020,127541,974.0
06/15/2020,132048,1011.0
06/16/2020,136315,1052.0
06/17/2020,141234,1091.0
06/18/2020,145991,1139.0
06/19/2020,150292,1184.0
06/20/2020,154233,1230.0
06/21/2020,157612,1267.0
06/22/2020,161005,1307.0
06/23/2020,164144,1346.0
06/24/2020,167267,1387.0
06/25/2020,170639,1428.0
06/26/2020,174577,1474.0
