Updated,Confirmed,Deaths
03/06/2020,1,0.0
03/07/2020,1,0.0
03/08/2020,1,0.0
03/09/2020,2,0.0
03/10/2020,5,0.0
03/11/2020,18,0.0
03/12/2020,24,0.0
03/13/2020,35,0.0
03/14/2020,46,0.0
03/15/2020,48,0.0
03/16/2020,57,0.0
03/17/2020,72,0.0
03/18/2020,89,0.0
03/19/2020,103,0.0
03/20/2020,135,1.0
03/21/2020,171,1.0
03/22/2020,222,2.0
03/23/2020,249,3.0
03/24/2020,303,3.0
03/25/2020,384,4.0
03/26/2020,457,7.0
03/27/2020,528,8.0
03/28/2020,659,10.0
03/29/2020,741,13.0
03/30/2020,785,16.0
03/31/2020,900,23.0
04/01/2020,1060,28.0
04/02/2020,1171,31.0
04/03/2020,1476,39.0
04/04/2020,1624,44.0
04/05/2020,1908,51.0
04/06/2020,2200,58.0
04/07/2020,2447,61.0
04/08/2020,2666,65.0
04/09/2020,2867,66.0
04/10/2020,3105,71.0
04/11/2020,3380,74.0
04/12/2020,3630,80.0
04/13/2020,4054,85.0
04/14/2020,4465,94.0
04/15/2020,4873,99.0
04/16/2020,5318,103.0
04/17/2020,5690,110.0
04/18/2020,5994,117.0
04/19/2020,6318,122.0
04/20/2020,6630,125.0
04/21/2020,6890,130.0
04/22/2020,7114,134.0
04/23/2020,7276,139.0
04/24/2020,7483,144.0
04/25/2020,7779,151.0
04/26/2020,8042,156.0
04/27/2020,8275,162.0
04/28/2020,8497,168.0
04/29/2020,8724,173.0
04/30/2020,9009,179.0
05/01/2020,9205,185.0
05/02/2020,9362,189.0
05/03/2020,9464,193.0
05/04/2020,9557,197.0
05/05/2020,9677,200.0
05/06/2020,9791,203.0
05/07/2020,9848,206.0
05/08/2020,9943,209.0
05/09/2020,10032,213.0
05/10/2020,10114,215.0
05/11/2020,10176,218.0
05/12/2020,10243,220.0
05/13/2020,10295,222.0
05/14/2020,10374,224.0
05/15/2020,10438,225.0
05/16/2020,10496,228.0
05/17/2020,10610,230.0
05/18/2020,10699,231.0
05/19/2020,10733,234.0
05/20/2020,10833,235.0
05/21/2020,10919,237.0
05/22/2020,11024,237.0
05/23/2020,11092,238.0
05/24/2020,11159,238.0
05/25/2020,11193,239.0
05/26/2020,11227,239.0
05/27/2020,11275,240.0
05/28/2020,11300,241.0
05/29/2020,11354,242.0
05/30/2020,11381,242.0
05/31/2020,11412,243.0
06/01/2020,11430,244.0
06/02/2020,11454,245.0
06/03/2020,11523,245.0
06/04/2020,11571,246.0
06/05/2020,11667,247.0
06/06/2020,11741,248.0
06/07/2020,11823,249.0
06/08/2020,11896,250.0
06/09/2020,11965,250.0
06/10/2020,12031,251.0
06/11/2020,12102,252.0
06/12/2020,12175,252.0
06/13/2020,12251,253.0
06/14/2020,12310,254.0
06/15/2020,12367,255.0
06/16/2020,12426,256.0
06/17/2020,12522,257.0
06/18/2020,12616,259.0
06/19/2020,12709,259.0
06/20/2020,12803,260.0
06/21/2020,12894,261.0
06/22/2020,12990,262.0
06/23/2020,13092,263.0
06/24/2020,13235,263.0
06/25/2020,13372,264.0
