Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/06/2020,1,0,0,0
03/07/2020,3,2,0,0
03/08/2020,5,2,0,0
03/09/2020,7,2,0,0
03/10/2020,7,0,0,0
03/11/2020,10,3,0,0
03/12/2020,21,11,0,0
03/13/2020,32,11,0,0
03/14/2020,44,12,0,0
03/15/2020,61,17,0,0
03/16/2020,72,11,0,0
03/17/2020,97,25,0,0
03/18/2020,105,8,0,0
03/19/2020,123,18,0,0
03/20/2020,137,14,0,0
03/21/2020,178,41,0,0
03/22/2020,185,7,0,0
03/23/2020,204,19,0,0
03/24/2020,216,12,0,0
03/25/2020,226,10,0,0
03/26/2020,269,43,0,0
03/27/2020,292,23,0,0
03/28/2020,314,22,0,0
03/29/2020,336,22,0,0
03/30/2020,363,27,1,1
03/31/2020,400,37,1,0
04/01/2020,426,26,1,0
04/02/2020,450,24,1,0
04/03/2020,471,21,1,0
04/04/2020,485,14,1,0
04/05/2020,534,49,1,0
04/06/2020,581,47,2,1
04/07/2020,682,101,2,0
04/08/2020,701,19,2,0
04/09/2020,715,14,2,0
04/10/2020,728,13,2,0
04/11/2020,742,14,2,0
04/12/2020,769,27,2,0
04/13/2020,835,66,2,0
04/14/2020,863,28,2,0
04/15/2020,977,114,8,6
04/16/2020,1049,72,9,1
04/17/2020,1089,40,11,2
04/18/2020,1161,72,12,1
04/19/2020,1173,12,13,1
04/20/2020,1199,26,14,1
04/21/2020,1244,45,14,0
04/22/2020,1325,81,15,1
04/23/2020,1360,35,17,2
04/24/2020,1373,13,17,0
04/25/2020,1379,6,18,1
04/26/2020,1381,2,18,0
04/27/2020,1384,3,20,2
04/28/2020,1391,7,22,2
04/29/2020,1396,5,23,1
04/30/2020,1403,7,23,0
05/01/2020,1407,4,24,1
05/02/2020,1408,1,24,0
05/03/2020,1413,5,25,1
05/04/2020,1421,8,25,0
05/05/2020,1429,8,25,0
05/06/2020,1445,16,26,1
05/07/2020,1455,10,26,0
05/08/2020,1456,1,26,0
05/09/2020,1457,1,26,0
05/10/2020,1461,4,26,0
05/11/2020,1465,4,27,1
05/12/2020,1469,4,27,0
05/13/2020,1477,8,27,0
05/14/2020,1480,3,27,0
05/15/2020,1493,13,28,1
05/16/2020,1494,1,28,0
05/17/2020,1495,1,28,0
05/18/2020,1495,0,28,0
05/19/2020,1496,1,28,0
05/20/2020,1502,6,28,0
05/21/2020,1503,1,28,0
05/22/2020,1504,1,28,0
05/23/2020,1509,5,28,0
05/24/2020,1511,2,28,0
05/25/2020,1513,2,28,0
05/26/2020,1515,2,28,0
05/27/2020,1520,5,28,0
05/28/2020,1520,0,28,0
05/29/2020,1521,1,28,0
05/30/2020,1521,0,28,0
05/31/2020,1522,1,28,0
06/01/2020,1523,1,28,0
06/02/2020,1525,2,28,0
06/03/2020,1526,1,28,0
06/04/2020,1527,1,28,0
06/05/2020,1528,1,28,0
06/06/2020,1529,1,28,0
06/07/2020,1530,1,28,0
06/08/2020,1531,1,28,0
06/09/2020,1533,2,28,0
06/10/2020,1541,8,28,0
06/11/2020,1542,1,28,0
06/12/2020,1545,3,28,0
06/13/2020,1548,3,28,0
06/14/2020,1552,4,28,0
06/15/2020,1556,4,28,0
06/16/2020,1561,5,28,0
06/17/2020,1562,1,28,0
06/18/2020,1576,14,28,0
06/19/2020,1586,10,28,0
06/20/2020,1587,1,28,0
06/21/2020,1588,1,28,0
06/22/2020,1589,1,28,0
06/23/2020,1607,18,28,0
06/24/2020,1630,23,28,0
06/25/2020,1643,13,28,0
06/26/2020,1657,14,28,0
06/27/2020,1664,7,28,0
06/28/2020,1665,1,28,0
06/29/2020,1667,2,28,0
06/30/2020,1687,20,28,0
07/01/2020,1700,13,28,0
07/02/2020,1720,20,28,0
07/03/2020,1749,29,28,0
07/04/2020,1764,15,28,0
07/05/2020,1765,1,28,0
