Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/04/2020,1,0,0,0
03/05/2020,6,5,0,0
03/06/2020,8,2,0,0
03/07/2020,12,4,0,0
03/08/2020,16,4,0,0
03/09/2020,25,9,0,0
03/10/2020,34,9,0,0
03/11/2020,57,23,0,0
03/12/2020,96,39,0,0
03/13/2020,131,35,0,0
03/14/2020,179,48,1,1
03/15/2020,215,36,1,0
03/16/2020,250,35,1,0
03/17/2020,277,27,1,0
03/18/2020,287,10,1,0
03/19/2020,319,32,1,0
03/20/2020,342,23,1,0
03/21/2020,368,26,1,0
03/22/2020,406,38,2,1
03/23/2020,440,34,3,1
03/24/2020,476,36,4,1
03/25/2020,526,50,5,1
03/26/2020,562,36,7,2
03/27/2020,632,70,9,2
03/28/2020,684,52,9,0
03/29/2020,730,46,11,2
03/30/2020,756,26,11,0
03/31/2020,802,46,15,4
04/01/2020,841,39,17,2
04/02/2020,897,56,18,1
04/03/2020,934,37,20,2
04/04/2020,977,43,22,2
04/05/2020,997,20,28,6
04/06/2020,1020,23,30,2
04/07/2020,1055,35,36,6
04/08/2020,1091,36,40,4
04/09/2020,1124,33,43,3
04/10/2020,1160,36,45,2
04/11/2020,1188,28,50,5
04/12/2020,1205,17,53,3
04/13/2020,1212,7,55,2
04/14/2020,1220,8,56,1
04/15/2020,1248,28,61,5
04/16/2020,1269,21,61,0
04/17/2020,1305,36,66,5
04/18/2020,1318,13,70,4
04/19/2020,1331,13,74,4
04/20/2020,1336,5,77,3
04/21/2020,1345,9,77,0
04/22/2020,1354,9,79,2
04/23/2020,1367,13,79,0
04/24/2020,1374,7,80,1
04/25/2020,1389,15,81,1
04/26/2020,1396,7,82,1
04/27/2020,1402,6,83,1
04/28/2020,1408,6,86,3
04/29/2020,1418,10,89,3
04/30/2020,1429,11,91,2
05/01/2020,1434,5,93,2
05/02/2020,1439,5,94,1
05/03/2020,1441,2,96,2
05/04/2020,1443,2,97,1
05/05/2020,1445,2,98,1
05/06/2020,1448,3,99,1
05/07/2020,1449,1,99,0
05/08/2020,1450,1,100,1
05/09/2020,1454,4,101,1
05/10/2020,1457,3,102,1
05/11/2020,1460,3,102,0
05/12/2020,1461,1,102,0
05/13/2020,1463,2,103,1
05/14/2020,1464,1,103,0
05/15/2020,1465,1,103,0
05/16/2020,1465,0,103,0
05/17/2020,1466,1,104,1
05/18/2020,1466,0,104,0
05/19/2020,1467,1,104,0
05/20/2020,1468,1,104,0
05/21/2020,1468,0,105,1
05/22/2020,1468,0,105,0
05/23/2020,1468,0,105,0
05/24/2020,1468,0,106,1
05/25/2020,1469,1,106,0
05/26/2020,1470,1,107,1
05/27/2020,1471,1,107,0
05/28/2020,1473,2,107,0
05/29/2020,1473,0,107,0
05/30/2020,1473,0,107,0
05/31/2020,1473,0,107,0
06/01/2020,1474,1,108,1
06/02/2020,1475,1,108,0
06/03/2020,1477,2,109,1
06/04/2020,1478,1,109,0
06/05/2020,1479,1,109,0
06/06/2020,1484,5,109,0
06/07/2020,1485,1,109,0
06/08/2020,1485,0,109,0
06/09/2020,1486,1,109,0
06/10/2020,1488,2,109,0
06/11/2020,1489,1,109,0
06/12/2020,1490,1,109,0
06/13/2020,1492,2,109,0
06/14/2020,1495,3,109,0
06/15/2020,1496,1,109,0
06/16/2020,1499,3,109,0
06/17/2020,1503,4,109,0
06/18/2020,1511,8,109,0
06/19/2020,1513,2,109,0
06/20/2020,1519,6,109,0
06/21/2020,1520,1,109,0
06/22/2020,1521,1,109,0
06/23/2020,1534,13,109,0
06/24/2020,1541,7,111,2
06/25/2020,1547,6,111,0
06/26/2020,1558,11,111,0
06/27/2020,1572,14,111,0
06/28/2020,1581,9,111,0
06/29/2020,1585,4,111,0
06/30/2020,1600,15,111,0
07/01/2020,1613,13,111,0
07/02/2020,1633,20,111,0
07/03/2020,1656,23,111,0
07/04/2020,1679,23,111,0
07/05/2020,1700,21,111,0
