Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/16/2020,1,0,0,0
03/17/2020,1,0,0,0
03/18/2020,1,0,0,0
03/19/2020,1,0,0,0
03/20/2020,1,0,0,0
03/21/2020,1,0,0,0
03/22/2020,1,0,0,0
03/23/2020,1,0,0,0
03/24/2020,1,0,0,0
03/25/2020,1,0,0,0
03/26/2020,2,1,0,0
03/27/2020,3,1,0,0
03/28/2020,3,0,0,0
03/29/2020,3,0,0,0
03/30/2020,3,0,0,0
03/31/2020,3,0,0,0
04/01/2020,3,0,0,0
04/02/2020,3,0,0,0
04/03/2020,7,4,0,0
04/04/2020,7,0,0,0
04/05/2020,7,0,0,0
04/06/2020,7,0,0,0
04/07/2020,8,1,0,0
04/08/2020,12,4,1,1
04/09/2020,12,0,1,0
04/10/2020,21,9,1,0
04/11/2020,21,0,1,0
04/12/2020,25,4,1,0
04/13/2020,25,0,2,1
04/14/2020,60,35,3,1
04/15/2020,80,20,5,2
04/16/2020,98,18,5,0
04/17/2020,116,18,5,0
04/18/2020,125,9,5,0
04/19/2020,135,10,7,2
04/20/2020,237,102,7,0
04/21/2020,261,24,7,0
04/22/2020,286,25,16,9
04/23/2020,328,42,16,0
04/24/2020,359,31,16,0
04/25/2020,390,31,18,2
04/26/2020,436,46,23,5
04/27/2020,480,44,23,0
04/28/2020,528,48,28,5
04/29/2020,582,54,28,0
04/30/2020,601,19,28,0
05/01/2020,636,35,28,0
05/02/2020,671,35,31,3
05/03/2020,722,51,32,1
05/04/2020,756,34,35,3
05/05/2020,835,79,38,3
05/06/2020,873,38,39,1
05/07/2020,928,55,44,5
05/08/2020,962,34,44,0
05/09/2020,997,35,48,4
05/10/2020,1054,57,51,3
05/11/2020,1089,35,52,1
05/12/2020,1170,81,52,0
05/13/2020,1219,49,52,0
05/14/2020,1284,65,53,1
05/15/2020,1320,36,53,0
05/16/2020,1357,37,55,2
05/17/2020,1421,64,56,1
05/18/2020,1455,34,57,1
05/19/2020,1502,47,59,2
05/20/2020,1573,71,61,2
05/21/2020,1594,21,61,0
05/22/2020,1617,23,61,0
05/23/2020,1641,24,61,0
05/24/2020,1665,24,61,0
05/25/2020,1689,24,66,5
05/26/2020,1711,22,67,1
05/27/2020,1731,20,67,0
05/28/2020,1828,97,72,5
05/29/2020,1872,44,72,0
05/30/2020,1916,44,73,1
05/31/2020,1969,53,76,3
06/01/2020,2023,54,79,3
06/02/2020,2068,45,79,0
06/03/2020,2113,45,79,0
06/04/2020,2158,45,79,0
06/05/2020,2204,46,79,0
06/06/2020,2289,85,82,3
06/07/2020,2334,45,83,1
06/08/2020,2375,41,84,1
06/09/2020,2416,41,85,1
06/10/2020,2434,18,85,0
06/11/2020,2452,18,85,0
06/12/2020,2513,61,85,0
06/13/2020,2579,66,87,2
06/14/2020,2598,19,87,0
06/15/2020,2618,20,87,0
06/16/2020,2638,20,88,1
06/17/2020,2658,20,88,0
06/18/2020,2688,30,88,0
06/19/2020,2719,31,88,0
06/20/2020,2753,34,88,0
06/21/2020,2788,35,88,0
06/22/2020,2811,23,89,1
06/23/2020,2835,24,90,1
06/24/2020,2856,21,90,0
06/25/2020,2878,22,90,0
06/26/2020,2884,6,90,0
06/27/2020,2890,6,90,0
06/28/2020,2897,7,90,0
06/29/2020,2904,7,90,0
06/30/2020,2914,10,90,0
07/01/2020,2924,10,90,0
07/02/2020,2934,10,90,0
07/03/2020,2944,10,90,0
07/04/2020,2961,17,92,2
07/05/2020,2961,0,92,0
