Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/05/2020,1,0,0,0
03/06/2020,1,0,0,0
03/07/2020,2,1,0,0
03/08/2020,3,1,0,0
03/09/2020,7,4,0,0
03/10/2020,7,0,0,0
03/11/2020,13,6,0,0
03/12/2020,16,3,0,0
03/13/2020,24,8,0,0
03/14/2020,38,14,0,0
03/15/2020,51,13,0,0
03/16/2020,62,11,0,0
03/17/2020,85,23,0,0
03/18/2020,116,31,0,0
03/19/2020,150,34,0,0
03/20/2020,202,52,0,0
03/21/2020,240,38,0,0
03/22/2020,274,34,0,0
03/23/2020,402,128,0,0
03/24/2020,554,152,0,0
03/25/2020,709,155,0,0
03/26/2020,927,218,0,0
03/27/2020,1170,243,1,1
03/28/2020,1187,17,1,0
03/29/2020,1280,93,2,1
03/30/2020,1326,46,3,1
03/31/2020,1353,27,5,2
04/01/2020,1380,27,5,0
04/02/2020,1462,82,5,0
04/03/2020,1505,43,7,2
04/04/2020,1585,80,9,2
04/05/2020,1655,70,11,2
04/06/2020,1686,31,12,1
04/07/2020,1749,63,13,1
04/08/2020,1845,96,18,5
04/09/2020,1934,89,18,0
04/10/2020,2003,69,24,6
04/11/2020,2028,25,25,1
04/12/2020,2173,145,25,0
04/13/2020,2272,99,27,2
04/14/2020,2415,143,27,0
04/15/2020,2506,91,34,7
04/16/2020,2605,99,48,14
04/17/2020,2783,178,50,2
04/18/2020,3034,251,52,2
04/19/2020,3158,124,54,2
04/20/2020,3300,142,58,4
04/21/2020,3465,165,58,0
04/22/2020,3635,170,65,7
04/23/2020,3953,318,75,10
04/24/2020,4220,267,79,4
04/25/2020,4361,141,86,7
04/26/2020,4546,185,87,1
04/27/2020,4793,247,90,3
04/28/2020,4996,203,93,3
04/29/2020,5350,354,103,10
04/30/2020,5647,297,103,0
05/01/2020,5951,304,116,13
05/02/2020,6336,385,123,7
05/03/2020,6783,447,131,8
05/04/2020,7220,437,138,7
05/05/2020,7572,352,148,10
05/06/2020,7808,236,153,5
05/07/2020,8232,424,161,8
05/08/2020,8895,663,178,17
05/09/2020,9420,525,186,8
05/10/2020,10015,595,194,8
05/11/2020,10652,637,206,12
05/12/2020,11350,698,206,0
05/13/2020,12074,724,219,13
05/14/2020,12739,665,238,19
05/15/2020,13524,785,247,9
05/16/2020,14355,831,261,14
05/17/2020,15515,1160,264,3
05/18/2020,16433,918,286,22
05/19/2020,17200,767,312,26
05/20/2020,18003,803,339,27
05/21/2020,19137,1134,369,30
05/22/2020,20125,988,397,28
05/23/2020,21343,1218,407,10
05/24/2020,22583,1240,429,22
05/25/2020,23615,1032,481,52
05/26/2020,24264,649,524,43
05/27/2020,25937,1673,552,28
05/28/2020,27403,1466,577,25
05/29/2020,29240,1837,611,34
05/30/2020,30967,1727,643,32
05/31/2020,32683,1716,683,40
06/01/2020,34357,1674,705,22
06/02/2020,35812,1455,755,50
06/03/2020,37525,1713,792,37
06/04/2020,40792,3267,848,56
06/05/2020,43434,2642,908,60
06/06/2020,45973,2539,952,44
06/07/2020,48285,2312,998,46
06/08/2020,50879,2594,1080,82
06/09/2020,52991,2112,1162,82
06/10/2020,55421,2430,1210,48
06/11/2020,58568,3147,1284,74
06/12/2020,61927,3359,1354,70
06/13/2020,65736,3809,1423,69
06/14/2020,70038,4302,1480,57
06/15/2020,73533,3495,1568,88
06/16/2020,76334,2801,1625,57
06/17/2020,80412,4078,1674,49
06/18/2020,83890,3478,1737,63
06/19/2020,87715,3825,1831,94
06/20/2020,92681,4966,1877,46
06/21/2020,97302,4621,1930,53
06/22/2020,101590,4288,1991,61
06/23/2020,106108,4518,2102,111
06/24/2020,111796,5688,2205,103
06/25/2020,118375,6579,2292,87
06/26/2020,124590,6215,2340,48
06/27/2020,131800,7210,2413,73
06/28/2020,138134,6334,2456,43
06/29/2020,144264,6130,2529,73
06/30/2020,151209,6945,2657,128
07/01/2020,159333,8124,2749,92
07/02/2020,168061,8728,2844,95
07/03/2020,177124,9063,2952,108
07/04/2020,187977,10853,3026,74
07/05/2020,196750,8773,3199,173
07/06/2020,205721,8971,3310,111
