Updated,Confirmed,Deaths
01/31/2020,1,1.0
02/01/2020,1,1.0
02/02/2020,1,1.0
02/03/2020,1,1.0
02/04/2020,1,1.0
02/05/2020,1,1.0
02/06/2020,1,1.0
02/07/2020,1,1.0
02/08/2020,1,1.0
02/09/2020,2,1.0
02/10/2020,2,1.0
02/11/2020,2,1.0
02/12/2020,2,1.0
02/13/2020,3,1.0
02/14/2020,3,1.0
02/15/2020,3,1.0
02/16/2020,3,1.0
02/17/2020,3,1.0
02/18/2020,3,1.0
02/19/2020,3,1.0
02/20/2020,3,1.0
02/21/2020,3,1.0
02/22/2020,3,1.0
02/23/2020,3,1.0
02/24/2020,4,1.0
02/25/2020,10,1.0
02/26/2020,14,1.0
02/27/2020,26,1.0
02/28/2020,34,1.0
02/29/2020,59,1.0
03/01/2020,85,1.0
03/02/2020,121,1.0
03/03/2020,166,2.0
03/04/2020,228,2.0
03/05/2020,282,3.0
03/06/2020,401,8.0
03/07/2020,525,10.0
03/08/2020,674,17.0
03/09/2020,1231,30.0
03/10/2020,1695,36.0
03/11/2020,2277,55.0
03/12/2020,3146,86.0
03/13/2020,5232,133.0
03/14/2020,6391,196.0
03/15/2020,7988,294.0
03/16/2020,9942,342.0
03/17/2020,11826,533.0
03/18/2020,14769,638.0
03/19/2020,18077,833.0
03/20/2020,21571,1093.0
03/21/2020,25496,1381.0
03/22/2020,29909,1813.0
03/23/2020,35480,2342.0
03/24/2020,42058,2994.0
03/25/2020,50105,3650.0
03/26/2020,57786,4368.0
03/27/2020,65719,5138.0
03/28/2020,73232,5982.0
03/29/2020,80110,6803.0
03/30/2020,87956,7716.0
03/31/2020,95923,8464.0
04/01/2020,104118,9387.0
04/02/2020,112065,10348.0
04/03/2020,119199,11198.0
04/04/2020,126168,11947.0
04/05/2020,131646,12641.0
04/06/2020,136675,13341.0
04/07/2020,141942,14045.0
04/08/2020,148220,14792.0
04/09/2020,153222,15447.0
04/10/2020,158273,16081.0
04/11/2020,163027,16606.0
04/12/2020,166831,17209.0
04/13/2020,170099,17756.0
04/14/2020,174060,18255.0
04/15/2020,180659,18812.0
04/16/2020,184948,19130.0
04/17/2020,190839,19478.0
04/18/2020,194416,20043.0
04/19/2020,198674,20453.0
04/20/2020,200210,20852.0
04/21/2020,204178,21282.0
04/22/2020,208389,21717.0
04/23/2020,213024,22157.0
04/24/2020,219764,22524.0
04/25/2020,223759,22902.0
04/26/2020,226629,23190.0
04/27/2020,229422,23521.0
04/28/2020,232128,23822.0
04/29/2020,236899,24275.0
04/30/2020,239369,24543.0
05/01/2020,242988,24824.0
05/02/2020,245567,25100.0
05/03/2020,247122,25264.0
05/04/2020,251081,25613.0
05/05/2020,254050,25857.0
05/06/2020,256855,26070.0
05/07/2020,260117,26299.0
05/08/2020,262783,26478.0
05/09/2020,264670,26621.0
05/10/2020,268143,26744.0
05/11/2020,269520,26920.0
05/12/2020,271095,27104.0
05/13/2020,272646,27321.0
05/14/2020,274367,27459.0
05/15/2020,276505,27563.0
05/16/2020,277719,27650.0
05/17/2020,278188,27709.0
05/18/2020,278803,27778.0
05/19/2020,279524,27888.0
05/20/2020,280117,27940.0
05/21/2020,281904,28628.0
05/22/2020,282370,28678.0
05/23/2020,282852,28752.0
05/24/2020,283095,26834.0
05/25/2020,283339,27117.0
05/26/2020,283849,27118.0
05/27/2020,284986,27119.0
05/28/2020,285644,27121.0
05/29/2020,286308,27125.0
05/30/2020,286509,27127.0
05/31/2020,286718,27127.0
06/01/2020,287012,27127.0
06/02/2020,287406,27128.0
06/03/2020,287740,27133.0
06/04/2020,288058,27134.0
06/05/2020,288390,27135.0
06/06/2020,288630,27136.0
06/07/2020,288797,27136.0
06/08/2020,289046,27136.0
06/09/2020,289360,27136.0
06/10/2020,289787,27136.0
06/11/2020,290289,27136.0
06/12/2020,290685,27136.0
06/13/2020,243928,28284.0
06/14/2020,244109,28291.0
06/15/2020,244328,28299.0
06/16/2020,244683,28306.0
06/17/2020,245268,28312.0
06/18/2020,245575,28315.0
06/19/2020,245938,28322.0
06/20/2020,246272,28323.0
06/21/2020,246504,28324.0
06/22/2020,246752,28325.0
06/23/2020,247086,28327.0
06/24/2020,247486,28330.0
06/25/2020,247905,28338.0
