Updated,Confirmed,Deaths
01/28/2020,1,0.0
01/29/2020,1,0.0
01/30/2020,1,0.0
01/31/2020,1,0.0
02/01/2020,1,0.0
02/02/2020,1,0.0
02/03/2020,1,0.0
02/04/2020,1,0.0
02/05/2020,1,0.0
02/06/2020,1,0.0
02/07/2020,1,0.0
02/08/2020,1,0.0
02/09/2020,1,0.0
02/10/2020,1,0.0
02/11/2020,1,0.0
02/12/2020,1,0.0
02/13/2020,1,0.0
02/14/2020,1,0.0
02/15/2020,1,0.0
02/16/2020,1,0.0
02/17/2020,1,0.0
02/18/2020,1,0.0
02/19/2020,1,0.0
02/20/2020,1,0.0
02/21/2020,1,0.0
02/22/2020,1,0.0
02/23/2020,1,0.0
02/24/2020,1,0.0
02/25/2020,1,0.0
02/26/2020,1,0.0
02/27/2020,1,0.0
02/28/2020,1,0.0
02/29/2020,1,0.0
03/01/2020,1,0.0
03/02/2020,1,0.0
03/03/2020,1,0.0
03/04/2020,1,0.0
03/05/2020,1,0.0
03/06/2020,1,0.0
03/07/2020,1,0.0
03/08/2020,1,0.0
03/09/2020,1,0.0
03/10/2020,1,0.0
03/11/2020,1,0.0
03/12/2020,2,0.0
03/13/2020,3,0.0
03/14/2020,6,0.0
03/15/2020,11,0.0
03/16/2020,19,0.0
03/17/2020,29,0.0
03/18/2020,42,0.0
03/19/2020,53,0.0
03/20/2020,66,0.0
03/21/2020,72,0.0
03/22/2020,78,0.0
03/23/2020,87,0.0
03/24/2020,97,0.0
03/25/2020,102,0.0
03/26/2020,104,0.0
03/27/2020,106,0.0
03/28/2020,110,0.0
03/29/2020,115,1.0
03/30/2020,117,1.0
03/31/2020,122,2.0
04/01/2020,143,2.0
04/02/2020,148,3.0
04/03/2020,151,4.0
04/04/2020,159,5.0
04/05/2020,166,5.0
04/06/2020,176,5.0
04/07/2020,180,6.0
04/08/2020,186,6.0
04/09/2020,189,7.0
04/10/2020,190,7.0
04/11/2020,197,7.0
04/12/2020,199,7.0
04/13/2020,210,7.0
04/14/2020,218,7.0
04/15/2020,233,7.0
04/16/2020,238,7.0
04/17/2020,241,7.0
04/18/2020,244,7.0
04/19/2020,254,7.0
04/20/2020,271,7.0
04/21/2020,304,7.0
04/22/2020,310,7.0
04/23/2020,330,7.0
04/24/2020,368,7.0
04/25/2020,420,7.0
04/26/2020,460,7.0
04/27/2020,523,7.0
04/28/2020,588,7.0
04/29/2020,619,7.0
04/30/2020,649,7.0
05/01/2020,665,7.0
05/02/2020,690,7.0
05/03/2020,705,7.0
05/04/2020,718,7.0
05/05/2020,755,8.0
05/06/2020,771,9.0
05/07/2020,797,9.0
05/08/2020,824,9.0
05/09/2020,835,9.0
05/10/2020,847,9.0
05/11/2020,863,9.0
05/12/2020,869,9.0
05/13/2020,889,9.0
05/14/2020,915,9.0
05/15/2020,925,9.0
05/16/2020,935,9.0
05/17/2020,960,9.0
05/18/2020,981,9.0
05/19/2020,992,9.0
05/20/2020,1027,9.0
05/21/2020,1028,9.0
05/22/2020,1055,9.0
05/23/2020,1068,9.0
05/24/2020,1089,9.0
05/25/2020,1141,9.0
05/26/2020,1182,10.0
05/27/2020,1319,10.0
05/28/2020,1469,10.0
05/29/2020,1530,10.0
05/30/2020,1558,10.0
05/31/2020,1620,10.0
06/01/2020,1633,11.0
06/02/2020,1643,11.0
06/03/2020,1683,11.0
06/04/2020,1743,11.0
06/05/2020,1797,11.0
06/06/2020,1801,11.0
06/07/2020,1814,11.0
06/08/2020,1835,11.0
06/09/2020,1857,11.0
06/10/2020,1859,11.0
06/11/2020,1869,11.0
06/12/2020,1877,11.0
06/13/2020,1880,11.0
06/14/2020,1884,11.0
06/15/2020,1889,11.0
06/16/2020,1905,11.0
06/17/2020,1915,11.0
06/18/2020,1924,11.0
06/19/2020,1947,11.0
06/20/2020,1950,11.0
06/21/2020,1950,11.0
06/22/2020,1950,11.0
06/23/2020,1951,11.0
06/24/2020,1991,11.0
06/25/2020,2001,11.0
06/26/2020,2010,11.0
