Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/25/2020,2,0,0,0
03/26/2020,2,0,0,0
03/27/2020,2,0,0,0
03/28/2020,2,0,0,0
03/29/2020,2,0,0,0
03/30/2020,7,5,0,0
03/31/2020,8,1,0,0
04/01/2020,8,0,0,0
04/02/2020,8,0,0,0
04/03/2020,8,0,0,0
04/04/2020,9,1,0,0
04/05/2020,10,1,0,0
04/06/2020,10,0,0,0
04/07/2020,11,1,0,0
04/08/2020,11,0,0,0
04/09/2020,11,0,0,0
04/10/2020,12,1,0,0
04/11/2020,12,0,0,0
04/14/2020,14,2,0,0
04/15/2020,14,0,0,0
04/18/2020,14,0,0,0
04/20/2020,14,0,0,0
04/22/2020,14,0,0,0
04/24/2020,14,0,0,0
04/26/2020,14,0,0,0
04/28/2020,14,0,0,0
04/29/2020,14,0,0,0
04/30/2020,14,0,0,0
05/01/2020,14,0,0,0
05/02/2020,14,0,0,0
05/03/2020,14,0,0,0
05/04/2020,14,0,0,0
05/05/2020,14,0,0,0
05/06/2020,14,0,0,0
05/07/2020,14,0,0,0
05/08/2020,14,0,0,0
05/09/2020,14,0,0,0
05/10/2020,14,0,0,0
05/11/2020,14,0,0,0
05/12/2020,14,0,0,0
05/13/2020,14,0,0,0
05/14/2020,14,0,0,0
05/15/2020,14,0,0,0
05/16/2020,14,0,0,0
05/17/2020,14,0,0,0
05/18/2020,14,0,0,0
05/19/2020,14,0,0,0
05/20/2020,14,0,0,0
06/11/2020,15,1,0,0
06/12/2020,15,0,0,0
06/13/2020,15,0,0,0
06/14/2020,15,0,0,0
06/15/2020,15,0,0,0
06/16/2020,15,0,0,0
06/17/2020,15,0,0,0
06/18/2020,15,0,0,0
06/19/2020,15,0,0,0
06/20/2020,15,0,0,0
06/21/2020,15,0,0,0
06/22/2020,15,0,0,0
06/23/2020,15,0,0,0
06/24/2020,15,0,0,0
06/25/2020,15,0,0,0
06/26/2020,15,0,0,0
06/27/2020,15,0,0,0
06/28/2020,15,0,0,0
06/29/2020,15,0,0,0
06/30/2020,15,0,0,0
07/01/2020,15,0,0,0
07/02/2020,15,0,0,0
07/03/2020,15,0,0,0
07/04/2020,15,0,0,0
07/05/2020,15,0,0,0
