Updated,Confirmed,Deaths
03/13/2020,1,1.0
03/14/2020,1,1.0
03/15/2020,1,1.0
03/16/2020,1,1.0
03/17/2020,1,1.0
03/18/2020,2,1.0
03/19/2020,2,1.0
03/20/2020,2,1.0
03/21/2020,2,1.0
03/22/2020,2,1.0
03/23/2020,2,1.0
03/24/2020,3,1.0
03/25/2020,3,1.0
03/26/2020,3,1.0
03/27/2020,3,1.0
03/28/2020,5,1.0
03/29/2020,6,1.0
03/30/2020,6,2.0
03/31/2020,7,2.0
04/01/2020,7,2.0
04/02/2020,7,2.0
04/03/2020,10,2.0
04/04/2020,10,2.0
04/05/2020,12,2.0
04/06/2020,12,2.0
04/07/2020,12,2.0
04/08/2020,12,2.0
04/09/2020,14,2.0
04/10/2020,17,2.0
04/11/2020,19,2.0
04/13/2020,29,4.0
04/14/2020,32,5.0
04/15/2020,32,5.0
04/16/2020,32,5.0
04/17/2020,33,6.0
04/18/2020,33,6.0
04/19/2020,66,10.0
04/20/2020,92,12.0
04/21/2020,116,12.0
04/22/2020,140,13.0
04/23/2020,162,13.0
04/24/2020,174,16.0
04/25/2020,213,17.0
04/26/2020,237,21.0
04/27/2020,275,22.0
04/28/2020,318,25.0
04/29/2020,375,28.0
04/30/2020,442,31.0
05/01/2020,534,33.0
05/02/2020,592,41.0
05/03/2020,3135,41.0
05/04/2020,5678,41.0
05/06/2020,5679,49.0
05/07/2020,5680,52.0
05/08/2020,5681,59.0
05/09/2020,5682,64.0
05/10/2020,5683,69.0
05/11/2020,5684,74.0
05/12/2020,5685,80.0
05/13/2020,5686,90.0
05/14/2020,5687,90.0
05/15/2020,5688,91.0
05/16/2020,5689,97.0
05/17/2020,5690,97.0
05/18/2020,5691,105.0
05/19/2020,5692,111.0
05/20/2020,5693,111.0
05/21/2020,5694,121.0
05/22/2020,5695,137.0
05/23/2020,5696,137.0
05/24/2020,5697,146.0
05/25/2020,5698,165.0
05/26/2020,5699,170.0
05/27/2020,5700,184.0
05/28/2020,5701,195.0
05/29/2020,5702,228.0
05/30/2020,5704,262.0
05/31/2020,5706,280.0
06/01/2020,5708,298.0
06/02/2020,5710,298.0
06/03/2020,5712,315.0
06/04/2020,5714,333.0
06/05/2020,5865,347.0
06/06/2020,6081,359.0
06/07/2020,6196,359.0
06/08/2020,6311,374.0
06/09/2020,6427,389.0
06/10/2020,6504,395.0
06/11/2020,6582,401.0
06/12/2020,6879,433.0
06/13/2020,6943,440.0
06/14/2020,7007,447.0
06/15/2020,7221,457.0
06/16/2020,7435,468.0
06/17/2020,7740,477.0
06/18/2020,8020,487.0
06/19/2020,8168,487.0
06/20/2020,8316,506.0
06/21/2020,8580,521.0
06/22/2020,8698,533.0
06/23/2020,8889,548.0
06/24/2020,8936,548.0
06/25/2020,8984,556.0
