Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/13/2020,1,0,0,0
03/16/2020,1,0,0,0
03/17/2020,1,0,0,0
03/18/2020,1,0,0,0
03/19/2020,2,1,0,0
03/20/2020,4,2,0,0
03/21/2020,5,1,0,0
03/22/2020,5,0,0,0
03/23/2020,6,1,0,0
03/24/2020,8,2,0,0
03/25/2020,8,0,0,0
03/26/2020,8,0,0,0
03/27/2020,8,0,0,0
03/28/2020,8,0,0,0
03/29/2020,8,0,0,0
03/30/2020,8,0,0,0
03/31/2020,10,2,0,0
04/01/2020,10,0,0,0
04/02/2020,10,0,0,0
04/03/2020,10,0,0,0
04/04/2020,10,0,1,1
04/05/2020,10,0,1,0
04/06/2020,10,0,1,0
04/07/2020,10,0,1,0
04/08/2020,10,0,1,0
04/09/2020,10,0,1,0
04/10/2020,10,0,1,0
04/11/2020,10,0,1,0
04/13/2020,10,0,1,0
04/14/2020,10,0,1,0
04/15/2020,10,0,1,0
04/16/2020,10,0,1,0
04/18/2020,10,0,1,0
04/20/2020,10,0,1,0
04/21/2020,10,0,1,0
04/22/2020,10,0,1,0
04/23/2020,10,0,1,0
04/24/2020,10,0,1,0
04/25/2020,10,0,1,0
04/26/2020,10,0,1,0
04/27/2020,10,0,1,0
04/28/2020,10,0,1,0
04/29/2020,10,0,1,0
04/30/2020,10,0,1,0
05/01/2020,10,0,1,0
05/02/2020,10,0,1,0
05/03/2020,10,0,1,0
05/04/2020,10,0,1,0
05/05/2020,10,0,1,0
05/06/2020,10,0,1,0
05/07/2020,10,0,1,0
05/08/2020,10,0,1,0
05/09/2020,10,0,1,0
05/10/2020,10,0,1,0
05/11/2020,10,0,1,0
05/12/2020,10,0,1,0
05/13/2020,10,0,1,0
05/14/2020,10,0,1,0
05/15/2020,10,0,1,0
05/16/2020,10,0,1,0
05/17/2020,10,0,1,0
05/18/2020,11,1,1,0
05/19/2020,11,0,1,0
05/20/2020,11,0,1,0
05/21/2020,11,0,1,0
05/22/2020,11,0,1,0
05/23/2020,11,0,1,0
05/24/2020,11,0,1,0
05/25/2020,11,0,1,0
05/26/2020,11,0,1,0
05/27/2020,11,0,1,0
05/28/2020,12,1,1,0
05/29/2020,12,0,1,0
05/30/2020,14,2,1,0
05/31/2020,23,9,1,0
06/01/2020,44,21,1,0
06/02/2020,54,10,1,0
06/03/2020,74,20,1,0
06/04/2020,82,8,1,0
06/05/2020,91,9,1,0
06/06/2020,100,9,1,0
06/07/2020,122,22,1,0
06/08/2020,130,8,2,1
06/09/2020,137,7,2,0
06/10/2020,144,7,2,0
06/11/2020,168,24,2,0
06/12/2020,187,19,3,1
06/13/2020,196,9,3,0
06/14/2020,208,12,3,0
06/15/2020,229,21,4,1
06/16/2020,236,7,5,1
06/17/2020,261,25,6,1
06/18/2020,277,16,6,0
06/19/2020,293,16,8,2
06/20/2020,302,9,8,0
06/21/2020,314,12,8,0
06/22/2020,319,5,8,0
06/23/2020,338,19,9,1
06/24/2020,357,19,9,0
06/25/2020,373,16,10,1
06/26/2020,391,18,10,0
06/27/2020,467,76,10,0
06/28/2020,490,23,11,1
06/29/2020,501,11,13,2
06/30/2020,517,16,13,0
07/01/2020,535,18,13,0
07/02/2020,547,12,13,0
07/03/2020,561,14,13,0
07/04/2020,565,4,14,1
07/05/2020,594,29,14,0
07/06/2020,614,20,14,0
