Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/14/2020,1,0,0,0
03/15/2020,1,0,0,0
03/16/2020,1,0,0,0
03/17/2020,1,0,0,0
03/18/2020,1,0,0,0
03/19/2020,1,0,0,0
03/20/2020,1,0,0,0
03/21/2020,1,0,0,0
03/22/2020,4,3,0,0
03/23/2020,4,0,0,0
03/24/2020,4,0,0,0
03/25/2020,4,0,0,0
03/26/2020,6,2,0,0
03/27/2020,9,3,0,0
03/28/2020,9,0,0,0
03/29/2020,9,0,0,0
03/30/2020,9,0,0,0
03/31/2020,9,0,0,0
04/01/2020,9,0,0,0
04/02/2020,9,0,0,0
04/03/2020,9,0,0,0
04/04/2020,9,0,0,0
04/05/2020,9,0,0,0
04/06/2020,10,1,0,0
04/07/2020,10,0,0,0
04/08/2020,12,2,0,0
04/09/2020,12,0,0,0
04/10/2020,12,0,0,0
04/11/2020,12,0,0,0
04/12/2020,14,2,0,0
04/13/2020,15,1,0,0
04/14/2020,15,0,0,0
04/15/2020,15,0,0,0
04/16/2020,16,1,0,0
04/17/2020,16,0,1,1
04/18/2020,22,6,1,0
04/19/2020,23,1,1,0
04/20/2020,24,1,1,0
04/21/2020,31,7,1,0
04/22/2020,31,0,1,0
04/23/2020,36,5,1,0
04/24/2020,40,4,1,0
04/25/2020,56,16,1,0
04/26/2020,59,3,1,0
04/27/2020,65,6,1,0
04/28/2020,71,6,1,0
04/29/2020,91,20,1,0
04/30/2020,100,9,1,0
05/01/2020,106,6,1,0
05/02/2020,108,2,1,0
05/03/2020,112,4,1,0
05/04/2020,116,4,1,0
05/05/2020,119,3,1,0
05/06/2020,123,4,2,1
05/07/2020,153,30,2,0
05/08/2020,159,6,2,0
05/09/2020,163,4,2,0
05/10/2020,172,9,2,0
05/11/2020,175,3,2,0
05/12/2020,184,9,2,0
05/13/2020,187,3,2,0
05/14/2020,188,1,2,0
05/15/2020,190,2,2,0
05/16/2020,202,12,2,0
05/17/2020,203,1,2,0
05/18/2020,206,3,2,0
05/19/2020,208,2,2,0
05/20/2020,217,9,2,0
05/21/2020,220,3,2,0
05/22/2020,225,5,2,0
05/23/2020,238,13,2,0
05/24/2020,250,12,2,0
05/25/2020,256,6,2,0
05/26/2020,261,5,2,0
05/27/2020,272,11,2,0
05/28/2020,279,7,2,0
05/29/2020,281,2,2,0
05/30/2020,283,2,2,0
05/31/2020,285,2,2,0
06/01/2020,293,8,2,0
06/02/2020,294,1,3,1
06/03/2020,295,1,3,0
06/04/2020,300,5,3,0
06/05/2020,305,5,3,0
06/06/2020,322,17,3,0
06/07/2020,333,11,3,0
06/08/2020,340,7,3,0
06/09/2020,371,31,3,0
06/10/2020,398,27,3,0
06/11/2020,449,51,3,0
06/12/2020,472,23,3,0
06/13/2020,486,14,3,0
06/14/2020,490,4,3,0
06/15/2020,498,8,3,0
06/16/2020,506,8,4,1
06/17/2020,520,14,4,0
06/18/2020,563,43,4,0
06/19/2020,586,23,4,0
06/20/2020,627,41,5,1
06/21/2020,635,8,5,0
06/22/2020,643,8,6,1
06/23/2020,674,31,7,1
06/24/2020,690,16,7,0
06/25/2020,706,16,8,1
06/26/2020,728,22,8,0
06/27/2020,754,26,8,0
06/28/2020,781,27,11,3
06/29/2020,795,14,11,0
06/30/2020,812,17,11,0
07/01/2020,840,28,11,0
07/02/2020,863,23,11,0
07/03/2020,886,23,11,0
07/04/2020,909,23,13,2
07/05/2020,909,0,13,0
