Updated,Confirmed,Deaths
01/31/2020,1,0
02/01/2020,1,0
02/02/2020,1,0
02/03/2020,1,0
02/04/2020,1,0
02/05/2020,1,0
02/06/2020,1,0
02/07/2020,1,0
02/08/2020,1,0
02/09/2020,1,0
02/10/2020,1,0
02/11/2020,1,0
02/12/2020,1,0
02/13/2020,1,0
02/14/2020,1,0
02/15/2020,1,0
02/16/2020,1,0
02/17/2020,1,0
02/18/2020,1,0
02/19/2020,1,0
02/20/2020,1,0
02/21/2020,1,0
02/22/2020,1,0
02/23/2020,1,0
02/24/2020,1,0
02/25/2020,1,0
02/26/2020,2,0
02/27/2020,3,0
02/28/2020,11,0
02/29/2020,14,0
03/01/2020,14,0
03/02/2020,19,0
03/03/2020,32,0
03/04/2020,62,0
03/05/2020,87,0
03/06/2020,146,0
03/07/2020,179,0
03/08/2020,225,0
03/09/2020,326,0
03/10/2020,424,0
03/11/2020,620,1
03/12/2020,771,1
03/13/2020,923,2
03/14/2020,994,3
03/15/2020,1063,5
03/16/2020,1146,7
03/17/2020,1265,8
03/18/2020,1410,14
03/19/2020,1553,21
03/20/2020,1733,30
03/21/2020,1867,38
03/22/2020,1984,50
03/23/2020,2166,61
03/24/2020,2396,81
03/25/2020,2710,104
03/26/2020,2996,135
03/27/2020,3362,167
03/28/2020,3662,202
03/29/2020,3943,241
03/30/2020,4358,284
03/31/2020,4833,331
04/01/2020,5319,384
04/02/2020,5873,454
04/03/2020,6474,532
04/04/2020,6831,604
04/05/2020,7171,690
04/06/2020,7560,781
04/07/2020,8298,864
04/08/2020,8953,975
04/09/2020,9598,1060
04/10/2020,10053,1149
04/11/2020,10447,1248
04/12/2020,10911,1345
04/13/2020,11348,1429
04/14/2020,11828,1519
04/15/2020,12432,1628
04/16/2020,13055,1736
04/17/2020,13743,1811
04/18/2020,14275,1887
04/19/2020,14664,1964
04/20/2020,15126,2037
04/21/2020,15835,2087
04/22/2020,16556,2147
04/23/2020,17303,2259
04/24/2020,18068,2358
04/25/2020,18543,2429
04/26/2020,18840,2489
04/27/2020,19382,2543
04/28/2020,20131,2584
04/29/2020,20909,2625
04/30/2020,21456,2643
05/01/2020,21520,2653
05/02/2020,22339,2738
05/03/2020,22598,2758
05/04/2020,22721,2769
05/05/2020,23216,2854
05/06/2020,23918,2941
05/07/2020,24623,3040
05/08/2020,25265,3175
05/09/2020,25921,3220
05/10/2020,26322,3225
05/11/2020,26670,3256
05/12/2020,27272,3313
05/13/2020,27909,3460
05/14/2020,29046,3529
05/15/2020,29697,3646
05/16/2020,30055,3674
05/17/2020,30313,3679
05/18/2020,30707,3698
05/19/2020,31285,3743
05/20/2020,31523,3831
05/21/2020,32172,3871
05/22/2020,32809,3925
05/23/2020,33188,3992
05/24/2020,33459,3998
05/25/2020,33843,4029
05/26/2020,34440,4125
05/27/2020,35088,4220
05/28/2020,35727,4266
05/29/2020,36476,4350
05/30/2020,37113,4395
05/31/2020,37542,4395
06/01/2020,37814,4403
06/02/2020,38589,4468
06/03/2020,40803,4542
06/04/2020,41883,4562
06/05/2020,42939,4639
06/06/2020,43887,4656
06/07/2020,44730,4659
06/08/2020,45133,4694
06/09/2020,45924,4717
06/10/2020,46814,4795
06/11/2020,48288,4814
06/12/2020,49684,4854
06/13/2020,50931,4874
06/14/2020,51614,4874
06/15/2020,52383,4891
06/16/2020,53323,4939
06/17/2020,55919,5122
06/18/2020,57479,5127
06/19/2020,58797,5178
06/20/2020,59571,5229
06/21/2020,59893,5239
06/22/2020,60706,5248
06/23/2020,62050,5276
06/24/2020,63748,5304
06/25/2020,64977,5338
06/26/2020,66172,5340
06/27/2020,67066,5343
06/28/2020,67543,5350
06/29/2020,68852,5402
06/30/2020,69760,5411
07/01/2020,70502,5414
07/02/2020,71277,5415
07/03/2020,72094,5417
07/04/2020,72584,5419
07/05/2020,73017,5420
07/06/2020,73061,5421
