Updated,Confirmed,Deaths
03/17/2020,7,3.0
03/22/2020,7,3.0
03/23/2020,7,3.0
03/24/2020,7,3.0
03/25/2020,7,3.0
03/26/2020,7,3.0
03/27/2020,8,3.0
03/28/2020,9,3.0
03/29/2020,10,3.0
03/30/2020,10,3.0
03/31/2020,10,3.0
04/01/2020,10,3.0
04/02/2020,16,3.0
04/03/2020,16,3.0
04/04/2020,16,3.0
04/05/2020,19,3.0
04/06/2020,19,3.0
04/07/2020,19,3.0
04/08/2020,19,3.0
04/09/2020,19,3.0
04/10/2020,19,3.0
04/11/2020,25,3.0
04/13/2020,25,3.0
04/14/2020,29,3.0
04/15/2020,33,3.0
04/16/2020,33,3.0
04/17/2020,38,3.0
04/18/2020,38,3.0
04/19/2020,39,3.0
04/20/2020,39,3.0
04/21/2020,42,3.0
04/22/2020,42,3.0
04/23/2020,42,3.0
04/24/2020,42,3.0
04/25/2020,42,3.0
04/26/2020,43,3.0
04/27/2020,43,3.0
04/28/2020,43,3.0
04/29/2020,43,3.0
04/30/2020,43,3.0
05/01/2020,44,3.0
05/02/2020,44,3.0
05/03/2020,44,3.0
05/04/2020,44,3.0
05/05/2020,44,3.0
05/06/2020,45,3.0
05/07/2020,45,3.0
05/08/2020,47,3.0
05/09/2020,47,3.0
05/10/2020,47,3.0
05/11/2020,47,3.0
05/12/2020,47,3.0
05/13/2020,48,3.0
05/14/2020,48,3.0
05/15/2020,50,3.0
05/16/2020,51,3.0
05/17/2020,58,3.0
05/18/2020,58,3.0
05/19/2020,58,3.0
05/20/2020,58,3.0
05/21/2020,58,3.0
05/22/2020,59,4.0
05/23/2020,70,4.0
05/24/2020,86,4.0
05/25/2020,106,4.0
05/26/2020,121,4.0
05/27/2020,121,4.0
05/28/2020,122,4.0
05/29/2020,122,4.0
05/30/2020,122,4.0
05/31/2020,122,4.0
06/01/2020,123,5.0
06/02/2020,123,5.0
06/03/2020,123,6.0
06/04/2020,123,6.0
06/05/2020,124,6.0
06/06/2020,125,6.0
06/07/2020,141,6.0
06/08/2020,143,6.0
06/09/2020,146,6.0
06/10/2020,152,6.0
06/11/2020,158,6.0
06/12/2020,164,6.0
06/13/2020,167,6.0
06/14/2020,170,6.0
06/15/2020,173,6.0
06/16/2020,177,6.0
06/17/2020,177,6.0
06/18/2020,178,7.0
06/19/2020,187,7.0
06/20/2020,195,7.0
06/21/2020,204,7.0
06/22/2020,211,7.0
06/23/2020,219,7.0
06/24/2020,230,7.0
06/25/2020,242,7.0
