Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
04/13/2020,4,0,0,0
04/15/2020,4,0,0,0
04/16/2020,4,0,0,0
04/18/2020,4,0,0,0
04/20/2020,4,0,0,0
04/22/2020,4,0,0,0
04/23/2020,4,0,0,0
04/24/2020,4,0,0,0
04/25/2020,4,0,0,0
04/26/2020,4,0,0,0
04/27/2020,4,0,0,0
04/28/2020,11,7,0,0
04/29/2020,11,0,0,0
04/30/2020,16,5,1,1
05/01/2020,16,0,1,0
05/02/2020,16,0,1,0
05/03/2020,16,0,1,0
05/04/2020,23,7,3,2
05/05/2020,174,151,3,0
05/06/2020,180,6,3,0
05/07/2020,187,7,4,1
05/08/2020,208,21,5,1
05/09/2020,211,3,5,0
05/10/2020,214,3,5,0
05/11/2020,217,3,5,0
05/12/2020,220,3,6,1
05/13/2020,235,15,7,1
05/14/2020,237,2,7,0
05/15/2020,239,2,7,0
05/16/2020,241,2,7,0
05/17/2020,243,2,7,0
05/18/2020,246,3,7,0
05/19/2020,251,5,8,1
05/20/2020,259,8,8,0
05/21/2020,267,8,8,0
05/22/2020,275,8,8,0
05/23/2020,283,8,8,0
05/24/2020,291,8,8,0
05/25/2020,299,8,11,3
05/26/2020,441,142,12,1
05/27/2020,443,2,12,0
05/28/2020,458,15,12,0
05/29/2020,463,5,12,0
05/30/2020,479,16,12,0
05/31/2020,483,4,12,0
06/01/2020,484,1,12,0
06/02/2020,484,0,12,0
06/03/2020,484,0,12,0
06/04/2020,485,1,12,0
06/05/2020,499,14,12,0
06/06/2020,506,7,12,0
06/07/2020,513,7,12,0
06/08/2020,513,0,12,0
06/09/2020,514,1,12,0
06/10/2020,632,118,12,0
06/11/2020,632,0,12,0
04/06/2020,632,0,12,0
04/07/2020,632,0,12,0
04/08/2020,632,0,12,0
04/09/2020,632,0,12,0
04/10/2020,632,0,12,0
04/11/2020,632,0,12,0
04/14/2020,632,0,12,0
04/16/2020,632,0,12,0
04/18/2020,632,0,12,0
04/20/2020,632,0,12,0
04/22/2020,632,0,12,0
04/24/2020,632,0,12,0
04/26/2020,632,0,12,0
04/28/2020,632,0,12,0
04/29/2020,632,0,12,0
04/30/2020,632,0,12,0
05/01/2020,632,0,12,0
05/02/2020,632,0,12,0
05/03/2020,632,0,12,0
05/04/2020,632,0,12,0
05/05/2020,632,0,12,0
05/06/2020,632,0,12,0
05/07/2020,632,0,12,0
05/08/2020,632,0,12,0
05/09/2020,632,0,12,0
05/10/2020,632,0,12,0
05/11/2020,632,0,12,0
05/12/2020,632,0,12,0
05/13/2020,632,0,12,0
05/14/2020,632,0,12,0
05/15/2020,632,0,12,0
05/16/2020,632,0,12,0
05/17/2020,632,0,12,0
05/18/2020,633,1,12,0
05/19/2020,634,1,12,0
05/20/2020,635,1,12,0
06/09/2020,636,1,12,0
06/10/2020,637,1,12,0
06/11/2020,638,1,12,0
06/12/2020,639,1,12,0
06/13/2020,659,20,12,0
06/14/2020,661,2,12,0
06/15/2020,661,0,12,0
06/16/2020,662,1,12,0
06/17/2020,671,9,12,0
06/18/2020,683,12,12,0
06/19/2020,688,5,12,0
06/20/2020,693,5,12,0
06/21/2020,698,5,12,0
06/22/2020,702,4,12,0
06/23/2020,707,5,12,0
06/24/2020,710,3,13,1
06/25/2020,711,1,13,0
06/26/2020,712,1,13,0
06/27/2020,712,0,13,0
06/28/2020,713,1,13,0
06/29/2020,713,0,13,0
06/30/2020,714,1,13,0
07/01/2020,715,1,13,0
07/02/2020,716,1,13,0
07/03/2020,717,1,13,0
07/04/2020,719,2,13,0
07/05/2020,719,0,13,0
