Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
04/10/2020,0,0,0,0
04/30/2020,15,15,0,0
05/01/2020,15,0,0,0
05/02/2020,32,17,0,0
05/03/2020,128,96,2,2
05/04/2020,230,102,3,1
05/05/2020,293,63,5,2
05/06/2020,379,86,8,3
05/07/2020,461,82,12,4
05/08/2020,522,61,12,0
05/09/2020,612,90,20,8
05/10/2020,636,24,20,0
05/11/2020,661,25,21,1
05/12/2020,784,123,21,0
05/14/2020,907,123,29,8
05/15/2020,1118,211,33,4
05/16/2020,1322,204,36,3
05/17/2020,1524,202,39,3
05/18/2020,1729,205,41,2
05/19/2020,1936,207,41,0
05/20/2020,2140,204,41,0
05/21/2020,2350,210,44,3
05/22/2020,2551,201,44,0
05/23/2020,2738,187,44,0
05/24/2020,2929,191,46,2
05/25/2020,3100,171,46,0
05/26/2020,3266,166,47,1
05/27/2020,3424,158,47,0
05/28/2020,3563,139,47,0
05/29/2020,3686,123,47,0
05/30/2020,3807,121,47,0
05/31/2020,3930,123,47,0
06/01/2020,4013,83,47,0
06/02/2020,4100,87,47,0
06/03/2020,4194,94,47,0
06/04/2020,4289,95,48,1
06/05/2020,4370,81,48,0
06/06/2020,4453,83,48,0
06/07/2020,4529,76,48,0
06/08/2020,4609,80,48,0
06/09/2020,4690,81,48,0
06/10/2020,4763,73,48,0
06/11/2020,4834,71,49,1
06/12/2020,4902,68,49,0
06/13/2020,4971,69,50,1
06/14/2020,5013,42,50,0
06/15/2020,5055,42,50,0
06/16/2020,5097,42,50,0
06/17/2020,5160,63,50,0
06/18/2020,5221,61,51,1
06/19/2020,5279,58,51,0
06/20/2020,5338,59,51,0
06/21/2020,5457,119,52,1
06/22/2020,5513,56,52,0
06/23/2020,5567,54,52,0
06/24/2020,5630,63,52,0
06/25/2020,5691,61,52,0
06/26/2020,5747,56,52,0
06/27/2020,5798,51,52,0
06/28/2020,5849,51,52,0
06/29/2020,5900,51,52,0
06/30/2020,5927,27,52,0
07/01/2020,5954,27,52,0
07/02/2020,6031,77,52,0
07/03/2020,6108,77,52,0
07/04/2020,6159,51,52,0
07/05/2020,6159,0,52,0
