Updated,Confirmed,Deaths
03/16/2020,1,0
03/17/2020,1,0
03/18/2020,3,0
03/19/2020,6,0
03/20/2020,6,0
03/21/2020,6,0
03/22/2020,12,0
03/23/2020,12,0
03/24/2020,12,0
03/25/2020,13,0
03/26/2020,13,0
03/27/2020,13,0
03/28/2020,14,0
03/29/2020,14,0
03/30/2020,19,0
03/31/2020,19,1
04/01/2020,20,1
04/02/2020,20,1
04/03/2020,20,1
04/04/2020,20,1
04/05/2020,22,1
04/06/2020,24,1
04/07/2020,24,1
04/08/2020,25,1
04/09/2020,25,1
04/10/2020,32,3
04/11/2020,32,3
04/12/2020,32,3
04/13/2020,49,3
04/14/2020,53,3
04/15/2020,88,4
04/16/2020,94,4
04/17/2020,147,5
04/19/2020,170,7
04/20/2020,254,10
04/21/2020,269,10
04/22/2020,284,10
04/23/2020,289,10
04/24/2020,294,10
04/25/2020,299,10
04/26/2020,344,10
04/27/2020,389,10
04/28/2020,434,10
04/29/2020,480,16
04/30/2020,483,16
05/01/2020,486,16
05/02/2020,489,16
05/03/2020,492,16
05/04/2020,495,16
05/05/2020,498,16
05/06/2020,501,16
05/07/2020,505,16
05/08/2020,509,21
05/09/2020,509,21
05/10/2020,509,21
05/11/2020,509,21
05/12/2020,509,21
05/13/2020,509,21
05/14/2020,509,21
05/15/2020,509,21
05/16/2020,509,21
05/17/2020,509,21
05/18/2020,509,21
05/19/2020,509,21
05/20/2020,509,21
05/21/2020,509,21
05/22/2020,509,21
05/23/2020,509,21
05/24/2020,509,21
05/25/2020,509,21
05/26/2020,509,21
05/27/2020,509,21
05/28/2020,509,21
05/29/2020,509,21
05/30/2020,509,21
05/31/2020,509,21
06/01/2020,509,21
06/02/2020,509,21
06/03/2020,509,21
06/04/2020,509,21
06/05/2020,509,21
06/06/2020,509,21
06/07/2020,509,21
06/08/2020,509,21
06/09/2020,509,21
06/10/2020,509,21
06/11/2020,509,21
06/12/2020,509,21
06/13/2020,509,21
06/14/2020,509,21
06/15/2020,509,21
06/16/2020,509,21
06/17/2020,509,21
06/18/2020,509,21
06/19/2020,509,21
06/20/2020,509,21
06/21/2020,509,21
06/22/2020,509,21
06/23/2020,509,21
06/24/2020,509,21
