Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
04/14/2020,9,0,1,0
04/16/2020,9,0,1,0
04/18/2020,9,0,1,0
04/20/2020,10,1,1,0
04/22/2020,10,0,1,0
04/23/2020,10,0,1,0
04/24/2020,10,0,1,0
04/25/2020,10,0,1,0
04/26/2020,10,0,1,0
04/27/2020,10,0,1,0
04/28/2020,10,0,1,0
04/29/2020,10,0,1,0
04/30/2020,12,2,1,0
05/01/2020,12,0,1,0
05/02/2020,17,5,1,0
05/03/2020,17,0,1,0
05/04/2020,17,0,1,0
05/05/2020,17,0,1,0
05/06/2020,17,0,1,0
05/07/2020,17,0,1,0
05/08/2020,20,3,1,0
05/09/2020,20,0,1,0
05/10/2020,20,0,1,0
05/11/2020,22,2,1,0
05/12/2020,22,0,1,0
05/13/2020,23,1,1,0
05/14/2020,23,0,1,0
05/15/2020,23,0,1,0
05/16/2020,23,0,1,0
05/17/2020,23,0,1,0
05/18/2020,24,1,1,0
05/19/2020,24,0,1,0
05/20/2020,24,0,1,0
05/21/2020,24,0,1,0
05/22/2020,25,1,1,0
05/23/2020,25,0,1,0
05/24/2020,25,0,1,0
05/25/2020,25,0,1,0
05/26/2020,25,0,1,0
05/27/2020,25,0,1,0
05/28/2020,25,0,1,0
05/29/2020,25,0,1,0
05/30/2020,25,0,1,0
05/31/2020,25,0,1,0
06/01/2020,25,0,1,0
06/02/2020,25,0,1,0
06/03/2020,25,0,1,0
06/04/2020,26,1,1,0
06/05/2020,26,0,1,0
06/06/2020,26,0,1,0
06/07/2020,26,0,1,0
06/08/2020,28,2,1,0
06/09/2020,28,0,1,0
06/10/2020,28,0,1,0
06/11/2020,28,0,1,0
06/12/2020,28,0,1,0
06/13/2020,28,0,1,0
06/14/2020,28,0,1,0
06/15/2020,28,0,1,0
06/16/2020,30,2,1,0
06/17/2020,33,3,1,0
06/18/2020,34,1,1,0
06/19/2020,36,2,1,0
06/20/2020,36,0,1,0
06/21/2020,37,1,2,1
06/22/2020,37,0,2,0
06/23/2020,42,5,2,0
06/24/2020,42,0,2,0
06/25/2020,42,0,2,0
06/26/2020,43,1,2,0
06/27/2020,43,0,2,0
06/28/2020,45,2,2,0
06/29/2020,47,2,2,0
06/30/2020,47,0,2,0
07/01/2020,49,2,2,0
07/02/2020,49,0,2,0
07/03/2020,49,0,2,0
07/04/2020,49,0,2,0
07/05/2020,49,0,2,0
