Updated,Confirmed,Deaths
03/12/2020,1,0
03/14/2020,1,0
03/15/2020,1,0
03/16/2020,4,0
03/17/2020,5,0
03/18/2020,7,0
03/19/2020,9,0
03/20/2020,9,0
03/21/2020,9,0
03/22/2020,9,0
03/23/2020,50,0
03/24/2020,52,0
03/25/2020,57,0
03/26/2020,60,1
03/27/2020,65,1
03/28/2020,74,2
03/29/2020,76,3
03/30/2020,82,3
03/31/2020,85,3
04/01/2020,87,3
04/02/2020,90,5
04/03/2020,97,6
04/04/2020,103,6
04/05/2020,104,7
04/06/2020,105,7
04/07/2020,106,7
04/08/2020,107,8
04/09/2020,109,8
04/10/2020,110,8
04/11/2020,111,8
04/12/2020,113,8
04/14/2020,113,8
04/15/2020,114,8
04/16/2020,114,8
04/18/2020,114,8
04/20/2020,114,8
04/21/2020,114,8
04/22/2020,115,8
04/23/2020,115,8
04/24/2020,115,8
04/25/2020,115,8
04/26/2020,115,8
04/27/2020,116,8
04/28/2020,116,8
04/29/2020,116,8
04/30/2020,116,8
05/01/2020,116,8
05/02/2020,116,8
05/03/2020,116,8
05/04/2020,116,8
05/05/2020,116,8
05/06/2020,116,8
05/07/2020,116,8
05/08/2020,116,8
05/09/2020,116,8
05/10/2020,116,8
05/11/2020,116,8
05/12/2020,116,8
05/13/2020,116,8
05/14/2020,116,8
05/15/2020,116,8
05/16/2020,116,8
05/17/2020,116,8
05/18/2020,116,8
05/19/2020,116,8
05/20/2020,116,8
05/21/2020,116,8
05/22/2020,116,8
05/23/2020,116,8
05/24/2020,116,8
05/25/2020,116,8
05/26/2020,116,8
05/27/2020,116,8
05/28/2020,116,8
05/29/2020,116,8
05/30/2020,116,8
05/31/2020,117,8
06/01/2020,117,8
06/02/2020,117,8
06/03/2020,117,8
06/04/2020,117,8
06/05/2020,117,8
06/06/2020,117,8
06/07/2020,117,8
06/08/2020,117,8
06/09/2020,117,8
06/10/2020,117,8
06/11/2020,117,8
06/12/2020,117,8
06/13/2020,117,8
06/14/2020,117,8
06/15/2020,117,8
06/16/2020,117,8
06/17/2020,117,8
06/18/2020,118,8
06/19/2020,119,8
06/20/2020,120,8
06/21/2020,121,8
06/22/2020,122,8
06/23/2020,123,8
06/24/2020,123,8
06/25/2020,123,8
06/26/2020,124,8
06/27/2020,125,8
06/28/2020,126,8
06/29/2020,127,8
06/30/2020,128,8
07/01/2020,130,8
07/02/2020,130,8
07/03/2020,130,8
07/04/2020,130,8
07/05/2020,130,8
