Updated,Confirmed,Deaths
03/02/2020,1,0
03/03/2020,1,0
03/04/2020,1,0
03/05/2020,1,0
03/06/2020,1,0
03/07/2020,1,0
03/08/2020,2,0
03/09/2020,5,0
03/10/2020,6,0
03/11/2020,7,0
03/12/2020,13,0
03/13/2020,16,0
03/14/2020,18,0
03/15/2020,20,0
03/16/2020,24,0
03/17/2020,29,0
03/18/2020,39,1
03/19/2020,54,1
03/20/2020,60,1
03/21/2020,75,3
03/22/2020,89,3
03/23/2020,114,3
03/24/2020,173,5
03/25/2020,197,5
03/26/2020,227,6
03/27/2020,278,8
03/28/2020,312,8
03/29/2020,362,9
03/30/2020,394,10
03/31/2020,423,12
04/01/2020,455,14
04/02/2020,495,18
04/03/2020,553,19
04/04/2020,574,22
04/05/2020,596,22
04/06/2020,623,23
04/07/2020,628,24
04/08/2020,643,25
04/09/2020,671,25
04/10/2020,685,28
04/11/2020,707,31
04/12/2020,726,34
04/13/2020,747,34
04/14/2020,780,35
04/15/2020,822,37
04/16/2020,864,37
04/17/2020,866,37
04/18/2020,879,38
04/19/2020,884,38
04/20/2020,901,38
04/21/2020,909,38
04/22/2020,918,38
04/23/2020,922,38
04/24/2020,939,38
04/25/2020,949,38
04/26/2020,967,39
04/27/2020,975,40
04/28/2020,980,40
04/29/2020,994,41
04/30/2020,998,41
05/01/2020,1009,42
05/02/2020,1013,42
05/03/2020,1018,43
05/04/2020,1022,43
05/05/2020,1025,43
05/06/2020,1026,44
05/07/2020,1030,45
05/08/2020,1032,45
05/09/2020,1032,45
05/10/2020,1032,45
05/11/2020,1032,45
05/12/2020,1033,45
05/13/2020,1034,45
05/14/2020,1035,45
05/15/2020,1037,45
05/16/2020,1040,45
05/17/2020,1043,46
05/18/2020,1044,47
05/19/2020,1045,47
05/20/2020,1046,47
05/21/2020,1048,47
05/22/2020,1049,48
05/23/2020,1051,48
05/24/2020,1056,48
05/25/2020,1062,48
05/26/2020,1068,48
05/27/2020,1071,48
05/28/2020,1076,48
05/29/2020,1080,48
05/30/2020,1084,48
05/31/2020,1086,48
06/01/2020,1087,49
06/02/2020,1087,49
06/03/2020,1087,49
06/04/2020,1087,49
06/05/2020,1088,49
06/06/2020,1089,49
06/07/2020,1090,49
06/08/2020,1091,49
06/09/2020,1092,49
06/10/2020,1093,49
06/11/2020,1094,49
06/12/2020,1096,49
06/13/2020,1110,49
06/14/2020,1125,49
06/15/2020,1125,49
06/16/2020,1126,49
06/17/2020,1127,49
06/18/2020,1128,50
06/19/2020,1132,50
06/20/2020,1145,50
06/21/2020,1159,50
06/22/2020,1160,50
06/23/2020,1162,50
06/24/2020,1164,50
06/25/2020,1165,50
06/26/2020,1166,50
06/27/2020,1168,50
06/28/2020,1170,50
06/29/2020,1172,50
06/30/2020,1173,50
07/01/2020,1175,50
07/02/2020,1177,50
07/03/2020,1179,50
07/04/2020,1181,50
07/05/2020,1188,50
