Updated,Confirmed,Deaths
03/30/2020,5,0
03/31/2020,5,0
04/01/2020,5,0
04/02/2020,5,0
04/03/2020,5,0
04/04/2020,5,0
04/05/2020,5,1
04/06/2020,8,1
04/07/2020,8,1
04/08/2020,8,1
04/09/2020,8,1
04/10/2020,8,1
04/11/2020,8,1
04/12/2020,9,1
04/13/2020,10,1
04/14/2020,10,1
04/15/2020,10,1
04/16/2020,11,1
04/18/2020,11,1
04/20/2020,11,1
04/21/2020,11,1
04/22/2020,11,1
04/23/2020,11,1
04/24/2020,11,1
04/25/2020,11,1
04/26/2020,12,1
04/27/2020,12,1
04/28/2020,12,1
04/29/2020,12,1
04/30/2020,12,1
05/01/2020,12,1
05/02/2020,12,1
05/03/2020,12,1
05/04/2020,12,1
05/05/2020,12,1
05/06/2020,12,1
05/07/2020,12,1
05/08/2020,12,1
05/09/2020,12,1
05/10/2020,12,1
05/11/2020,12,1
05/12/2020,12,1
05/13/2020,12,1
05/14/2020,12,1
05/15/2020,12,1
05/16/2020,12,1
05/17/2020,12,1
05/18/2020,12,1
05/19/2020,12,1
05/20/2020,12,1
05/21/2020,12,1
05/22/2020,12,1
05/23/2020,12,1
05/24/2020,12,1
05/25/2020,12,1
05/26/2020,12,1
05/27/2020,12,1
05/28/2020,12,1
05/29/2020,12,1
05/30/2020,12,1
05/31/2020,12,1
06/01/2020,12,1
06/02/2020,12,1
06/03/2020,12,1
06/04/2020,12,1
06/05/2020,12,1
06/06/2020,12,1
06/07/2020,12,1
06/08/2020,12,1
06/09/2020,12,1
06/10/2020,12,1
06/11/2020,12,1
06/12/2020,12,1
06/13/2020,12,1
06/14/2020,12,1
06/15/2020,12,1
06/16/2020,12,1
06/17/2020,12,1
06/18/2020,12,1
06/19/2020,12,1
06/20/2020,12,1
06/21/2020,12,1
06/22/2020,14,1
06/23/2020,14,1
06/24/2020,15,1
06/25/2020,16,1
06/26/2020,16,1
06/27/2020,28,1
06/28/2020,41,1
06/29/2020,41,1
06/30/2020,41,2
07/01/2020,42,2
07/02/2020,44,2
07/03/2020,45,2
07/04/2020,47,2
07/05/2020,48,2
07/06/2020,49,2
