Updated,Confirmed,Deaths
01/21/2020,0,0
01/24/2020,0,0
01/25/2020,0,0
01/26/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/05/2020,0,0
02/20/2020,0,0
02/26/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,0,0
03/12/2020,0,0
03/13/2020,1,0
03/14/2020,1,0
03/15/2020,1,0
03/16/2020,2,0
03/17/2020,2,0
03/18/2020,3,0
03/19/2020,3,0
03/20/2020,6,0
03/21/2020,6,0
03/22/2020,17,0
03/23/2020,17,0
03/24/2020,17,0
03/25/2020,17,0
03/26/2020,17,0
03/27/2020,19,0
03/28/2020,22,0
03/29/2020,30,0
03/30/2020,30,0
03/31/2020,30,0
04/01/2020,30,0
04/02/2020,33,0
04/03/2020,40,0
04/04/2020,40,0
04/05/2020,42,1
04/06/2020,44,1
04/07/2020,45,1
04/08/2020,46,1
04/09/2020,50,1
04/10/2020,51,1
04/11/2020,51,1
04/12/2020,51,1
04/13/2020,51,1
04/14/2020,51,1
04/15/2020,51,1
04/16/2020,52,2
04/17/2020,53,3
04/18/2020,53,3
04/19/2020,53,3
04/20/2020,54,3
04/21/2020,54,3
04/22/2020,54,3
04/23/2020,54,3
04/24/2020,55,3
04/25/2020,57,3
04/26/2020,59,4
04/27/2020,60,4
04/28/2020,62,4
04/29/2020,66,4
04/30/2020,66,4
05/01/2020,66,4
05/02/2020,66,4
05/03/2020,66,4
05/04/2020,66,4
05/05/2020,66,4
05/06/2020,66,4
05/07/2020,67,4
05/08/2020,68,4
05/09/2020,68,4
05/10/2020,69,5
05/11/2020,69,5
05/12/2020,69,6
05/13/2020,69,6
05/14/2020,69,6
05/15/2020,69,6
05/16/2020,69,6
05/17/2020,69,6
05/18/2020,69,6
05/19/2020,69,6
05/20/2020,69,6
05/21/2020,69,6
05/22/2020,69,6
05/23/2020,69,6
05/24/2020,69,6
05/25/2020,69,6
05/26/2020,69,6
05/27/2020,69,6
05/28/2020,69,6
05/29/2020,69,6
05/30/2020,69,6
05/31/2020,69,6
06/01/2020,70,6
06/02/2020,70,6
06/03/2020,71,6
06/04/2020,71,6
06/05/2020,71,6
06/06/2020,71,6
06/07/2020,71,6
06/08/2020,72,6
06/09/2020,72,6
06/10/2020,72,6
06/11/2020,72,6
06/12/2020,72,6
06/13/2020,72,6
06/14/2020,72,6
06/15/2020,72,6
06/16/2020,72,6
06/17/2020,72,6
06/18/2020,73,6
06/19/2020,73,6
06/20/2020,74,6
06/21/2020,75,6
06/22/2020,76,6
06/23/2020,76,6
06/24/2020,76,6
06/25/2020,77,6
06/26/2020,78,6
06/27/2020,79,6
06/28/2020,80,6
06/29/2020,81,6
06/30/2020,85,6
07/01/2020,90,6
07/02/2020,92,6
07/03/2020,98,6
07/04/2020,111,6
07/05/2020,111,6
