Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/21/2020,1,0,0,0
03/22/2020,1,0,0,0
03/23/2020,9,8,0,0
03/24/2020,9,0,0,0
03/25/2020,14,5,0,0
03/26/2020,14,0,0,0
03/27/2020,18,4,0,0
03/28/2020,30,12,0,0
03/29/2020,33,3,0,0
03/30/2020,33,0,0,0
03/31/2020,44,11,0,0
04/01/2020,44,0,0,0
04/02/2020,45,1,0,0
04/03/2020,48,3,0,0
04/04/2020,48,0,0,0
04/05/2020,52,4,0,0
04/06/2020,52,0,0,0
04/07/2020,52,0,0,0
04/08/2020,53,1,0,0
04/09/2020,53,0,0,0
04/10/2020,53,0,0,0
04/11/2020,53,0,0,0
04/12/2020,54,1,0,0
04/13/2020,54,0,0,0
04/14/2020,55,1,0,0
04/16/2020,55,0,0,0
04/17/2020,55,0,0,0
04/18/2020,55,0,0,0
04/19/2020,56,1,0,0
04/20/2020,58,2,0,0
04/21/2020,61,3,0,0
04/22/2020,63,2,0,0
04/23/2020,74,11,0,0
04/24/2020,75,1,0,0
04/25/2020,77,2,0,0
04/26/2020,79,2,0,0
04/27/2020,79,0,0,0
04/28/2020,80,1,0,0
04/29/2020,81,1,0,0
04/30/2020,83,2,0,0
05/01/2020,85,2,0,0
05/02/2020,88,3,0,0
05/03/2020,89,1,0,0
05/04/2020,97,8,0,0
05/05/2020,98,1,0,0
05/06/2020,100,2,0,0
05/07/2020,101,1,0,0
05/08/2020,108,7,0,0
05/09/2020,116,8,0,0
05/10/2020,121,5,0,0
05/11/2020,123,2,0,0
05/12/2020,126,3,0,0
05/13/2020,139,13,0,0
05/14/2020,160,21,0,0
05/15/2020,203,43,0,0
05/16/2020,227,24,0,0
05/17/2020,237,10,0,0
05/18/2020,248,11,0,0
05/19/2020,250,2,0,0
05/20/2020,264,14,0,0
05/21/2020,266,2,0,0
05/22/2020,268,2,0,0
05/23/2020,270,2,0,0
05/24/2020,272,2,0,0
05/25/2020,275,3,0,0
05/26/2020,278,3,0,0
05/27/2020,281,3,0,0
05/28/2020,317,36,0,0
05/29/2020,329,12,0,0
05/30/2020,413,84,0,0
05/31/2020,417,4,0,0
06/01/2020,457,40,0,0
06/02/2020,489,32,0,0
06/03/2020,507,18,0,0
06/04/2020,522,15,0,0
06/05/2020,557,35,0,0
06/06/2020,593,36,0,0
06/07/2020,616,23,0,0
06/08/2020,646,30,0,0
06/09/2020,657,11,0,0
06/10/2020,665,8,0,0
06/11/2020,679,14,0,0
06/12/2020,686,7,0,0
06/13/2020,694,8,0,0
06/14/2020,697,3,0,0
06/15/2020,701,4,0,0
06/16/2020,705,4,0,0
06/17/2020,732,27,0,0
06/18/2020,736,4,0,0
06/19/2020,741,5,0,0
06/20/2020,763,22,0,0
06/21/2020,770,7,0,0
06/22/2020,774,4,0,0
06/23/2020,797,23,0,0
06/24/2020,805,8,0,0
06/25/2020,821,16,0,0
06/26/2020,833,12,0,0
06/27/2020,846,13,0,0
06/28/2020,859,13,0,0
06/29/2020,870,11,0,0
06/30/2020,881,11,0,0
07/01/2020,893,12,0,0
07/02/2020,899,6,0,0
07/03/2020,905,6,0,0
07/04/2020,911,6,0,0
07/05/2020,911,0,0,0
