Updated,Confirmed,Deaths
03/03/2020,1,0
03/04/2020,1,0
03/05/2020,1,0
03/06/2020,1,0
03/07/2020,1,0
03/08/2020,1,0
03/09/2020,1,0
03/10/2020,1,0
03/11/2020,1,0
03/12/2020,3,0
03/13/2020,3,1
03/14/2020,3,1
03/15/2020,5,1
03/16/2020,7,1
03/17/2020,14,2
03/18/2020,16,2
03/19/2020,26,3
03/20/2020,40,3
03/21/2020,47,3
03/22/2020,73,3
03/23/2020,84,3
03/24/2020,113,5
03/25/2020,156,5
03/26/2020,218,5
03/27/2020,311,8
03/28/2020,418,9
03/29/2020,480,11
03/30/2020,549,13
03/31/2020,669,17
04/01/2020,804,20
04/02/2020,942,23
04/03/2020,1096,28
04/04/2020,1251,32
04/05/2020,1319,38
04/06/2020,1462,45
04/07/2020,1668,52
04/08/2020,1892,57
04/09/2020,2203,69
04/10/2020,2511,73
04/11/2020,2777,83
04/12/2020,3102,93
04/13/2020,3372,98
04/14/2020,3764,108
04/15/2020,4161,116
04/16/2020,4662,125
04/17/2020,5106,133
04/18/2020,5449,141
04/19/2020,5710,151
04/20/2020,6125,161
04/21/2020,6592,174
04/22/2020,7170,187
04/23/2020,7647,193
04/24/2020,8125,201
04/25/2020,8617,209
04/26/2020,9009,220
04/27/2020,9410,239
04/28/2020,9866,250
04/29/2020,10406,261
04/30/2020,10861,272
05/01/2020,11411,279
05/02/2020,11913,288
05/03/2020,12331,303
05/04/2020,12697,316
05/05/2020,13184,327
05/06/2020,13691,340
05/07/2020,14195,361
05/08/2020,14710,376
05/09/2020,15232,391
05/10/2020,15648,408
05/11/2020,16023,425
05/12/2020,16425,439
05/13/2020,16847,456
05/14/2020,17330,476
05/15/2020,17858,497
05/16/2020,18291,514
05/17/2020,18616,535
05/18/2020,18876,548
05/19/2020,19230,564
05/20/2020,19706,579
05/21/2020,20148,588
05/22/2020,20580,605
05/23/2020,20986,617
05/24/2020,21245,623
05/25/2020,21584,644
05/26/2020,21905,658
05/27/2020,22382,669
05/28/2020,22811,679
05/29/2020,23204,696
05/30/2020,23672,708
05/31/2020,24012,718
06/01/2020,24340,727
06/02/2020,24823,735
06/03/2020,25411,747
06/04/2020,25964,762
06/05/2020,26514,777
06/06/2020,26999,788
06/07/2020,27462,797
06/08/2020,27856,810
06/09/2020,28381,833
06/10/2020,29070,854
06/11/2020,29753,870
06/12/2020,30506,880
06/13/2020,31154,889
06/14/2020,31810,901
06/15/2020,32476,912
06/16/2020,33234,943
06/17/2020,34063,966
06/18/2020,34984,985
06/19/2020,35825,994
06/20/2020,36560,1002
06/21/2020,37241,1012
06/22/2020,38074,1035
06/23/2020,39014,1051
06/24/2020,40008,1067
06/25/2020,41117,1086
06/26/2020,42065,1110
06/27/2020,42982,1129
06/28/2020,43638,1147
06/29/2020,44334,1159
06/30/2020,44998,1173
07/01/2020,45887,1185
07/02/2020,46763,1212
07/03/2020,47677,1227
07/04/2020,48500,1249
07/05/2020,49043,1262
07/06/2020,49607,1283
