Updated,Confirmed,Deaths
01/29/2020,4,0.0
01/30/2020,4,0.0
01/31/2020,5,0.0
02/01/2020,5,0.0
02/02/2020,5,0.0
02/06/2020,5,0.0
02/07/2020,5,0.0
02/08/2020,7,0.0
02/09/2020,7,0.0
02/10/2020,8,0.0
02/11/2020,8,0.0
02/12/2020,8,0.0
02/13/2020,8,0.0
02/14/2020,8,0.0
02/15/2020,8,0.0
02/16/2020,9,0.0
02/17/2020,9,0.0
02/18/2020,9,0.0
02/19/2020,9,0.0
02/20/2020,9,0.0
02/21/2020,11,0.0
02/22/2020,13,0.0
02/23/2020,13,0.0
02/24/2020,13,0.0
02/25/2020,13,0.0
02/26/2020,13,0.0
02/27/2020,19,0.0
02/28/2020,21,0.0
02/29/2020,22,0.0
03/01/2020,23,0.0
03/02/2020,25,0.0
03/03/2020,27,0.0
03/04/2020,29,0.0
03/05/2020,30,0.0
03/06/2020,30,0.0
03/07/2020,45,0.0
03/08/2020,45,0.0
03/09/2020,59,0.0
03/10/2020,74,0.0
03/11/2020,79,0.0
03/12/2020,85,0.0
03/13/2020,85,0.0
03/14/2020,86,0.0
03/15/2020,98,0.0
03/16/2020,103,0.0
03/17/2020,108,0.0
03/18/2020,113,0.0
03/19/2020,140,0.0
03/20/2020,146,2.0
03/21/2020,153,2.0
03/22/2020,175,2.0
03/23/2020,198,2.0
03/24/2020,248,2.0
03/25/2020,333,2.0
03/26/2020,369,2.0
03/27/2020,405,2.0
03/28/2020,468,2.0
03/29/2020,570,3.0
03/30/2020,611,5.0
03/31/2020,664,6.0
04/01/2020,814,8.0
04/02/2020,1024,8.0
04/03/2020,1264,9.0
04/04/2020,1505,10.0
04/05/2020,1799,10.0
04/06/2020,2076,11.0
04/07/2020,2359,12.0
04/08/2020,2659,12.0
04/09/2020,2990,14.0
04/10/2020,3360,16.0
04/11/2020,3736,20.0
04/12/2020,4123,22.0
04/13/2020,4521,25.0
04/14/2020,4933,28.0
04/15/2020,5365,33.0
04/16/2020,5825,35.0
04/17/2020,6302,37.0
04/18/2020,6541,39.0
04/19/2020,6781,41.0
04/20/2020,7265,43.0
04/21/2020,7755,46.0
04/22/2020,8238,52.0
04/23/2020,8756,56.0
04/24/2020,9281,64.0
04/25/2020,9813,71.0
04/26/2020,10349,76.0
04/27/2020,10839,82.0
04/28/2020,11380,89.0
04/29/2020,11929,98.0
04/30/2020,12481,105.0
05/01/2020,13038,111.0
05/02/2020,13599,119.0
05/03/2020,14163,126.0
05/04/2020,14730,137.0
05/05/2020,15192,146.0
05/06/2020,15738,157.0
05/07/2020,16240,165.0
05/08/2020,16793,174.0
05/09/2020,17417,185.0
05/10/2020,18198,198.0
05/11/2020,18878,201.0
05/12/2020,19661,203.0
05/13/2020,20386,206.0
05/14/2020,21084,208.0
05/15/2020,21831,210.0
05/16/2020,22627,214.0
05/17/2020,23358,220.0
05/18/2020,24190,224.0
05/19/2020,25063,227.0
05/20/2020,26004,233.0
05/21/2020,26898,237.0
05/22/2020,27892,241.0
05/23/2020,28704,244.0
05/24/2020,29485,245.0
05/25/2020,30307,248.0
05/26/2020,31086,253.0
05/27/2020,31969,255.0
05/28/2020,32532,258.0
05/29/2020,33170,260.0
05/30/2020,33896,262.0
05/31/2020,34557,264.0
06/01/2020,35192,266.0
06/02/2020,35788,269.0
06/03/2020,36359,270.0
06/04/2020,37018,273.0
06/05/2020,37642,274.0
06/06/2020,38268,275.0
06/07/2020,38808,276.0
06/08/2020,39376,281.0
06/09/2020,39904,283.0
06/10/2020,40507,284.0
06/11/2020,40986,286.0
06/12/2020,41499,287.0
06/13/2020,41990,288.0
06/14/2020,42294,289.0
06/15/2020,42636,291.0
06/16/2020,42982,293.0
06/17/2020,43364,295.0
06/18/2020,43752,298.0
06/19/2020,44145,300.0
06/20/2020,44533,301.0
06/21/2020,44925,302.0
06/22/2020,45303,303.0
06/23/2020,45683,305.0
06/24/2020,46133,307.0
06/25/2020,46563,308.0
06/26/2020,46973,310.0
