Updated,Confirmed,Deaths
01/21/2020,1,0
01/23/2020,1,0.0
01/24/2020,2,0.0
01/25/2020,3,0.0
01/26/2020,5,0.0
01/27/2020,5,0.0
01/28/2020,5,0.0
01/29/2020,5,0.0
01/30/2020,6,0.0
01/31/2020,7,0.0
02/01/2020,8,0.0
02/02/2020,11,0.0
02/03/2020,11,0.0
02/04/2020,11,0.0
02/05/2020,12,0.0
02/06/2020,12,1.0
02/07/2020,12,1.0
02/08/2020,12,1.0
02/09/2020,12,1.0
02/10/2020,12,1.0
02/11/2020,13,1.0
02/12/2020,13,1.0
02/13/2020,14,1.0
02/14/2020,15,1.0
02/15/2020,15,1.0
02/16/2020,15,1.0
02/17/2020,18,2.0
02/18/2020,21,2.0
02/19/2020,24,2.0
02/20/2020,27,2.0
02/21/2020,31,2.0
02/22/2020,35,2.0
02/23/2020,35,2.0
02/24/2020,35,2.0
02/25/2020,36,2.0
02/26/2020,37,2.0
02/27/2020,38,2.0
02/28/2020,39,2.0
02/29/2020,40,3.0
03/01/2020,42,4.0
03/02/2020,57,8.0
03/03/2020,85,11.0
03/04/2020,111,13.0
03/05/2020,175,13.0
03/06/2020,252,17.0
03/07/2020,353,22.0
03/08/2020,497,24.0
03/09/2020,645,29.0
03/10/2020,936,34.0
03/11/2020,1205,40.0
03/12/2020,1598,44.0
03/13/2020,2163,52.0
03/14/2020,2825,59.0
03/15/2020,3501,65.0
03/16/2020,4373,79.0
03/17/2020,5664,100.0
03/18/2020,8074,126.0
03/19/2020,12022,178.0
03/20/2020,17439,233.0
03/21/2020,23710,301.0
03/22/2020,32341,411.0
03/23/2020,42751,522.0
03/24/2020,52690,684.0
03/25/2020,64916,909.0
03/26/2020,81966,1162.0
03/27/2020,101012,1595.0
03/28/2020,121105,2042.0
03/29/2020,140223,2434.0
03/30/2020,160686,2988.0
03/31/2020,185991,3809.0
04/01/2020,212747,4749.0
04/02/2020,241626,5824.0
04/03/2020,274151,7009.0
04/04/2020,307876,8362.0
04/05/2020,333593,9537.0
04/06/2020,362952,10749.0
04/07/2020,393464,12677.0
04/08/2020,425746,14613.0
04/09/2020,459989,16469.0
04/10/2020,493567,18547.0
04/11/2020,525436,20446.0
04/12/2020,553493,21939.0
04/13/2020,578178,23401.0
04/14/2020,604165,25779.0
04/15/2020,633630,28217.0
04/16/2020,665706,30358.0
04/17/2020,696621,32438.0
04/18/2020,724705,34181.0
04/19/2020,750718,35815.0
04/20/2020,775850,37455.0
04/21/2020,801228,40079.0
04/22/2020,830274,42198.0
04/23/2020,862605,44038.0
04/24/2020,898743,46091.0
04/25/2020,933617,47916.0
04/26/2020,960546,49077.0
04/27/2020,982668,50314.0
04/28/2020,1007097,52518.0
04/29/2020,1033001,55054.0
04/30/2020,1062675,57137.0
05/01/2020,1095682,58931.0
05/02/2020,1126378,60541.0
05/03/2020,1151643,61716.0
05/04/2020,1172921,62593.0
05/05/2020,1195173,65028.0
05/06/2020,1220032,67729.0
05/07/2020,1247567,69700.0
05/08/2020,1274681,71395.0
05/09/2020,1300244,72950.0
05/10/2020,1320941,73895.0
05/11/2020,1338720,74735.0
05/12/2020,1360195,76326.0
05/13/2020,1380755,78041.0
05/14/2020,1407517,79899.0
05/15/2020,1432899,81423.0
05/16/2020,1457426,82654.0
05/17/2020,1477157,83439.0
05/18/2020,1498264,84231.0
05/19/2020,1517926,85656.0
05/20/2020,1540294,87184.0
05/21/2020,1565311,88470.0
05/22/2020,1589234,89732.0
05/23/2020,1612018,90821.0
05/24/2020,1632304,91467.0
05/25/2020,1650890,91971.0
05/26/2020,1667590,92605.0
05/27/2020,1686267,93984.0
05/28/2020,1709318,95200.0
05/29/2020,1732930,96375.0
05/30/2020,1756770,97354.0
05/31/2020,1778473,97959.0
06/01/2020,1794546,98437.0
06/02/2020,1814620,99476.0
06/03/2020,1834319,100480.0
06/04/2020,1853279,101389.0
06/05/2020,1876571,102238.0
06/06/2020,1897436,102963.0
06/07/2020,1915971,103411.0
06/08/2020,1932272,103902.0
06/09/2020,1949450,104828.0
06/10/2020,1969696,105675.0
06/11/2020,1987545,106501.0
06/12/2020,2011966,107259.0
06/13/2020,2037857,107913.0
06/14/2020,2059048,108258.0
06/15/2020,2077355,108642.0
06/16/2020,2100402,109381.0
06/17/2020,2124026,110123.0
06/18/2020,2151108,110817.0
06/19/2020,2182035,111499.0
06/20/2020,2213998,112049.0
06/21/2020,2242093,112332.0
06/22/2020,2268651,112624.0
06/23/2020,2301966,113390.0
06/24/2020,2339911,114078.0
06/25/2020,2378764,114722.0
06/26/2020,2423490,115321.0
