Updated,Confirmed,Deaths
03/13/2020,4,0
03/14/2020,6,0
03/15/2020,8,0
03/16/2020,29,0
03/17/2020,50,0
03/18/2020,79,0
03/19/2020,94,0
03/20/2020,110,0
03/21/2020,135,0
03/22/2020,158,0
03/23/2020,162,0
03/24/2020,189,0
03/25/2020,217,0
03/26/2020,238,0
03/27/2020,274,0
03/28/2020,304,0
03/29/2020,309,1
03/30/2020,320,1
03/31/2020,338,1
04/01/2020,350,1
04/02/2020,369,2
04/03/2020,386,4
04/04/2020,400,4
04/05/2020,406,5
04/06/2020,415,5
04/07/2020,424,5
04/08/2020,456,7
04/09/2020,473,7
04/10/2020,494,7
04/11/2020,501,7
04/12/2020,501,7
04/13/2020,501,8
04/14/2020,501,8
04/15/2020,501,9
04/16/2020,502,9
04/17/2020,508,9
04/18/2020,517,9
04/19/2020,528,10
04/20/2020,535,10
04/21/2020,543,10
04/22/2020,549,12
04/23/2020,557,12
04/24/2020,563,12
04/25/2020,579,12
04/26/2020,596,14
04/27/2020,606,15
04/28/2020,620,15
04/29/2020,625,15
04/30/2020,630,15
05/01/2020,648,17
05/02/2020,652,17
05/03/2020,655,17
05/04/2020,657,17
05/05/2020,670,17
05/06/2020,673,17
05/07/2020,684,17
05/08/2020,694,18
05/09/2020,702,18
05/10/2020,707,19
05/11/2020,711,19
05/12/2020,717,19
05/13/2020,719,19
05/14/2020,724,19
05/15/2020,732,19
05/16/2020,733,19
05/17/2020,734,20
05/18/2020,737,20
05/19/2020,738,20
05/20/2020,746,20
05/21/2020,749,20
05/22/2020,753,20
05/23/2020,764,22
05/24/2020,769,22
05/25/2020,787,22
05/26/2020,789,22
05/27/2020,803,22
05/28/2020,811,22
05/29/2020,816,22
05/30/2020,821,22
05/31/2020,823,22
06/01/2020,825,23
06/02/2020,826,23
06/03/2020,828,23
06/04/2020,832,23
06/05/2020,834,23
06/06/2020,845,23
06/07/2020,845,23
06/08/2020,845,23
06/09/2020,846,23
06/10/2020,847,23
06/11/2020,847,23
06/12/2020,847,23
06/13/2020,847,23
06/14/2020,848,23
06/15/2020,848,23
06/16/2020,849,24
06/17/2020,849,24
06/18/2020,850,24
06/19/2020,853,24
06/20/2020,859,25
06/21/2020,876,25
06/22/2020,882,25
06/23/2020,885,25
06/24/2020,902,26
06/25/2020,907,26
06/26/2020,919,26
06/27/2020,924,26
06/28/2020,929,27
06/29/2020,932,27
06/30/2020,936,27
07/01/2020,943,28
07/02/2020,947,28
07/03/2020,952,28
07/04/2020,955,28
07/05/2020,952,28
