Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/23/2020,2,0,0,0
01/24/2020,2,0,0,0
01/25/2020,2,0,0,0
01/26/2020,2,0,0,0
01/27/2020,2,0,0,0
01/28/2020,2,0,0,0
01/29/2020,2,0,0,0
01/30/2020,2,0,0,0
01/31/2020,5,3,0,0
02/01/2020,6,1,0,0
02/02/2020,7,1,0,0
02/03/2020,8,1,0,0
02/04/2020,10,2,0,0
02/05/2020,10,0,0,0
02/06/2020,12,2,0,0
02/07/2020,13,1,0,0
02/08/2020,13,0,0,0
02/09/2020,14,1,0,0
02/10/2020,14,0,0,0
02/11/2020,15,1,0,0
02/12/2020,15,0,0,0
02/13/2020,16,1,0,0
02/14/2020,16,0,0,0
02/15/2020,16,0,0,0
02/16/2020,16,0,0,0
02/17/2020,16,0,0,0
02/18/2020,16,0,0,0
02/19/2020,16,0,0,0
02/20/2020,16,0,0,0
02/21/2020,16,0,0,0
02/22/2020,16,0,0,0
02/23/2020,16,0,0,0
02/24/2020,16,0,0,0
02/25/2020,16,0,0,0
02/26/2020,16,0,0,0
02/27/2020,16,0,0,0
02/28/2020,16,0,0,0
02/29/2020,16,0,0,0
03/01/2020,16,0,0,0
03/02/2020,16,0,0,0
03/03/2020,16,0,0,0
03/04/2020,16,0,0,0
03/05/2020,16,0,0,0
03/06/2020,17,1,0,0
03/07/2020,20,3,0,0
03/08/2020,30,10,0,0
03/09/2020,31,1,0,0
03/10/2020,34,3,0,0
03/11/2020,38,4,0,0
03/12/2020,44,6,0,0
03/13/2020,47,3,0,0
03/14/2020,53,6,0,0
03/15/2020,57,4,0,0
03/16/2020,61,4,0,0
03/17/2020,66,5,0,0
03/18/2020,76,10,0,0
03/19/2020,85,9,0,0
03/20/2020,91,6,0,0
03/21/2020,94,3,0,0
03/22/2020,113,19,0,0
03/23/2020,123,10,0,0
03/24/2020,134,11,0,0
03/25/2020,141,7,0,0
03/26/2020,153,12,0,0
03/27/2020,163,10,0,0
03/28/2020,174,11,0,0
03/29/2020,188,14,0,0
03/30/2020,203,15,0,0
03/31/2020,207,4,0,0
04/01/2020,218,11,0,0
04/02/2020,227,9,0,0
04/03/2020,237,10,0,0
04/04/2020,240,3,0,0
04/05/2020,241,1,0,0
04/06/2020,245,4,0,0
04/07/2020,249,4,0,0
04/08/2020,251,2,0,0
04/09/2020,255,4,0,0
04/10/2020,257,2,0,0
04/11/2020,258,1,0,0
04/12/2020,260,2,0,0
04/13/2020,265,5,0,0
04/14/2020,266,1,0,0
04/15/2020,267,1,0,0
04/16/2020,268,1,0,0
04/17/2020,268,0,0,0
04/18/2020,268,0,0,0
04/19/2020,268,0,0,0
04/20/2020,268,0,0,0
04/21/2020,268,0,0,0
04/22/2020,268,0,0,0
04/23/2020,269,1,0,0
04/24/2020,270,1,0,0
04/25/2020,270,0,0,0
04/26/2020,270,0,0,0
04/27/2020,270,0,0,0
04/28/2020,270,0,0,0
04/29/2020,270,0,0,0
04/30/2020,270,0,0,0
05/01/2020,270,0,0,0
05/02/2020,270,0,0,0
05/03/2020,271,1,0,0
05/04/2020,275,4,0,0
05/05/2020,279,4,0,0
05/06/2020,283,4,0,0
05/07/2020,288,5,0,0
05/08/2020,291,3,0,0
05/09/2020,294,3,0,0
05/10/2020,297,3,0,0
05/11/2020,300,3,0,0
05/12/2020,303,3,0,0
05/13/2020,306,3,0,0
05/14/2020,309,3,0,0
05/15/2020,313,4,0,0
05/16/2020,318,5,0,0
05/17/2020,320,2,0,0
05/18/2020,324,4,0,0
05/19/2020,324,0,0,0
05/20/2020,324,0,0,0
05/21/2020,324,0,0,0
05/22/2020,324,0,0,0
05/23/2020,324,0,0,0
05/24/2020,325,1,0,0
05/25/2020,326,1,0,0
05/26/2020,327,1,0,0
05/27/2020,327,0,0,0
05/28/2020,327,0,0,0
05/29/2020,327,0,0,0
05/30/2020,328,1,0,0
05/31/2020,328,0,0,0
06/01/2020,328,0,0,0
06/02/2020,328,0,0,0
06/03/2020,328,0,0,0
06/04/2020,328,0,0,0
06/05/2020,328,0,0,0
06/06/2020,329,1,0,0
06/07/2020,330,1,0,0
06/08/2020,332,2,0,0
06/09/2020,332,0,0,0
06/10/2020,332,0,0,0
06/11/2020,332,0,0,0
06/12/2020,333,1,0,0
06/13/2020,334,1,0,0
06/14/2020,334,0,0,0
06/15/2020,334,0,0,0
06/16/2020,334,0,0,0
06/17/2020,335,1,0,0
06/18/2020,342,7,0,0
06/19/2020,349,7,0,0
06/20/2020,349,0,0,0
06/21/2020,349,0,0,0
06/22/2020,350,1,0,0
06/23/2020,351,1,0,0
06/24/2020,352,1,0,0
06/25/2020,352,0,0,0
06/26/2020,353,1,0,0
06/27/2020,355,2,0,0
06/28/2020,356,1,0,0
06/29/2020,357,1,0,0
06/30/2020,358,1,0,0
07/01/2020,359,1,0,0
07/02/2020,361,2,0,0
07/03/2020,363,2,0,0
07/04/2020,365,2,0,0
07/05/2020,367,2,0,0
07/06/2020,369,2,0,0
