Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/28/2020,84,0,0.0,0.0
04/04/2020,205,121,0.0,0.0
04/06/2020,206,1,0.0,0.0
04/24/2020,319,113,0.0,0.0
05/07/2020,355,36,0.0,0.0
05/12/2020,355,0,0.0,0.0
05/13/2020,355,0,0.0,0.0
05/14/2020,355,0,0.0,0.0
05/15/2020,355,0,0.0,0.0
05/16/2020,356,1,0.0,0.0
05/17/2020,361,5,0.0,0.0
05/18/2020,368,7,0.0,0.0
05/19/2020,368,0,0.0,0.0
05/20/2020,368,0,0.0,0.0
05/21/2020,368,0,0.0,0.0
05/22/2020,368,0,0.0,0.0
05/23/2020,369,1,0.0,0.0
05/24/2020,370,1,0.0,0.0
05/25/2020,371,1,0.0,0.0
05/26/2020,372,1,0.0,0.0
05/27/2020,373,1,0.0,0.0
05/28/2020,385,12,0.0,0.0
05/29/2020,385,0,0.0,0.0
05/30/2020,386,1,0.0,0.0
05/31/2020,387,1,0.0,0.0
06/01/2020,388,1,0.0,0.0
06/02/2020,390,2,0.0,0.0
06/03/2020,391,1,0.0,0.0
06/04/2020,394,3,0.0,0.0
06/05/2020,396,2,0.0,0.0
06/06/2020,399,3,0.0,0.0
06/07/2020,402,3,0.0,0.0
06/08/2020,403,1,0.0,0.0
06/09/2020,411,8,0.0,0.0
06/10/2020,413,2,0.0,0.0
06/11/2020,415,2,0.0,0.0
06/12/2020,417,2,0.0,0.0
06/13/2020,418,1,0.0,0.0
06/14/2020,420,2,0.0,0.0
06/15/2020,433,13,0.0,0.0
06/16/2020,442,9,0.0,0.0
06/17/2020,483,41,0.0,0.0
06/18/2020,528,45,0.0,0.0
06/19/2020,603,75,0.0,0.0
06/20/2020,712,109,0.0,0.0
06/21/2020,761,49,0.0,0.0
06/22/2020,929,168,0.0,0.0
06/23/2020,1097,168,0.0,0.0
06/24/2020,1256,159,0.0,0.0
06/25/2020,1310,54,0.0,0.0
06/26/2020,1485,175,0.0,0.0
06/27/2020,1743,258,0.0,0.0
06/28/2020,1918,175,0.0,0.0
06/29/2020,2113,195,0.0,0.0
06/30/2020,2356,243,0.0,0.0
07/01/2020,2686,330,0.0,0.0
07/02/2020,3008,322,0.0,0.0
07/03/2020,3262,254,0.0,0.0
07/04/2020,3763,501,0.0,0.0
07/05/2020,4205,442,0.0,0.0
