Updated,Confirmed,Deaths
01/21/2020,262,0.0
01/22/2020,313,0.0
01/23/2020,578,0.0
01/24/2020,841,0.0
01/25/2020,1320,0.0
01/26/2020,2014,0.0
01/27/2020,2798,0.0
01/28/2020,4593,0.0
01/29/2020,6065,0.0
01/30/2020,7818,0.0
01/31/2020,9826,0.0
02/01/2020,11953,0.0
02/02/2020,14557,0.0
02/03/2020,17386,362.0
02/04/2020,20625,426.0
02/05/2020,24549,492.0
02/06/2020,28256,565.0
02/07/2020,31420,638.0
02/08/2020,34822,724.0
02/09/2020,37494,813.0
02/10/2020,40484,910.0
02/11/2020,42968,1018.0
02/12/2020,44996,1115.0
02/13/2020,46823,1369.0
02/14/2020,64219,1383.0
02/15/2020,66884,1526.0
02/16/2020,68912,1669.0
02/17/2020,70975,1775.0
02/18/2020,72778,1873.0
02/19/2020,75204,2009.0
02/20/2020,75748,2129.0
02/21/2020,76769,2247.0
02/22/2020,77794,2359.0
02/23/2020,78811,2462.0
02/24/2020,79331,2618.0
02/25/2020,80239,2700.0
02/26/2020,81109,2762.0
02/27/2020,82294,2804.0
02/28/2020,83652,2858.0
02/29/2020,85403,2924.0
03/01/2020,87137,2977.0
03/02/2020,88948,3043.0
03/03/2020,90869,3112.0
03/04/2020,93091,3198.0
03/05/2020,95324,3281.0
03/06/2020,98192,3380.0
03/07/2020,101927,3486.0
03/08/2020,105586,3584.0
03/09/2020,109577,3809.0
03/10/2020,113702,4012.0
03/11/2020,118319,4292.0
03/12/2020,125260,4613.0
03/13/2020,132755,4955.0
03/14/2020,142534,5392.0
03/15/2020,153517,5735.0
03/16/2020,167515,6606.0
03/17/2020,179111,7426.0
03/18/2020,191127,7807.0
03/19/2020,244799,10030.0
03/20/2020,275130,11376.0
03/21/2020,304999,13003.0
03/22/2020,335403,14611.0
03/23/2020,378394,16491.0
03/24/2020,417663,18605.0
03/25/2020,463387,20912.0
03/26/2020,529614,23714.0
03/27/2020,587958,26909.0
03/28/2020,662541,30839.0
03/29/2020,720415,33908.0
03/30/2020,777286,37140.0
03/31/2020,856955,42089.0
04/01/2020,932605,46809.0
04/02/2020,1011490,52863.0
04/03/2020,1095917,58787.0
04/04/2020,1196553,64549.0
04/05/2020,1272115,69309.0
04/06/2020,1341907,74565.0
04/07/2020,1426096,81259.0
04/08/2020,1504971,87984.0
04/09/2020,1587209,94850.0
04/10/2020,1684833,102136.0
04/11/2020,1764622,107904.0
04/12/2020,1838772,107904.0
04/13/2020,1912923,118966.0
04/14/2020,1970879,125678.0
04/15/2020,2056055,133572.0
04/16/2020,2151199,143725.0
04/17/2020,2234109,153379.0
04/18/2020,2310572,158691.0
04/19/2020,2394291,164938.0
04/20/2020,2470410,169794.0
04/21/2020,2560504,176926.0
04/22/2020,2628894,182992.0
04/23/2020,2699338,188437.0
04/24/2020,2790986,195920.0
04/25/2020,2868539,201502.0
04/26/2020,2965363,206265.0
04/27/2020,3002303,208131.0
04/28/2020,3083467,213824.0
04/29/2020,3170335,224708.0
04/30/2020,3249022,230804.0
05/01/2020,3303296,235290.0
05/02/2020,3419184,243355.0
05/03/2020,3502126,247107.0
05/04/2020,3578301,251059.0
05/05/2020,3659271,256736.0
05/06/2020,3744585,263068.0
05/07/2020,3836215,268999.0
05/08/2020,3932896,274422.0
05/09/2020,4018342,278756.0
05/10/2020,4097158,282495.0
05/11/2020,4168427,285445.0
05/12/2020,4233504,289932.0
05/13/2020,4336973,296252.0
05/14/2020,4434590,301937.0
05/15/2020,4531811,307001.0
05/16/2020,4626632,311363.0
05/17/2020,4710614,315023.0
05/18/2020,4786672,317695.0
05/19/2020,4889287,322683.0
05/20/2020,4968689,326515.0
05/21/2020,5076846,332425.0
05/22/2020,5180982,336432.0
05/23/2020,5280743,340477.0
05/24/2020,5383582,344077.0
05/25/2020,5471768,344911.0
05/26/2020,5559130,348610.0
05/27/2020,5682389,354944.0
05/28/2020,5803416,359791.0
05/29/2020,5916464,364357.0
05/30/2020,6048384,368604.0
05/31/2020,6132154,371154.0
06/01/2020,6246042,374452.0
06/02/2020,6325303,377460.0
06/03/2020,6444298,382435.0
06/04/2020,6573286,387898.0
06/05/2020,6722408,393934.0
06/06/2020,6852810,398211.0
06/07/2020,6979789,401848.0
06/08/2020,7085894,405168.0
06/09/2020,7185573,408954.0
06/10/2020,7313661,413854.0
06/11/2020,7414050,417514.0
06/12/2020,7617591,424587.0
06/13/2020,7715890,427670.0
06/14/2020,7835340,431141.0
06/15/2020,7963453,434432.0
06/16/2020,8085932,438453.0
06/17/2020,8261260,445468.0
06/18/2020,8400320,450435.0
06/19/2020,8519543,454582.0
06/20/2020,8716985,461206.0
06/21/2020,8802328,464620.0
06/22/2020,9030328,469939.0
06/23/2020,9154232,473650.0
06/24/2020,9237691,476911.0
06/25/2020,9494571,484155.0
