Updated,Confirmed,Deaths
03/20/2020,1,1
03/21/2020,3,1
03/22/2020,3,1
03/23/2020,3,1
03/24/2020,3,1
03/25/2020,3,1
03/26/2020,3,1
03/27/2020,5,1
03/28/2020,7,1
03/29/2020,7,1
03/30/2020,7,1
03/31/2020,8,1
04/01/2020,8,1
04/02/2020,8,1
04/03/2020,9,1
04/04/2020,9,1
04/05/2020,9,1
04/06/2020,10,1
04/07/2020,11,2
04/08/2020,11,3
04/09/2020,11,3
04/10/2020,13,3
04/11/2020,13,3
04/12/2020,14,3
04/13/2020,17,3
04/14/2020,18,3
04/15/2020,18,3
04/16/2020,23,3
04/17/2020,24,3
04/18/2020,25,3
04/20/2020,25,3
04/21/2020,28,3
04/22/2020,28,4
04/23/2020,28,4
04/24/2020,29,4
04/25/2020,31,4
04/26/2020,31,4
04/27/2020,31,4
04/28/2020,32,4
04/29/2020,32,4
04/30/2020,40,4
05/01/2020,40,4
05/02/2020,40,4
05/03/2020,40,4
05/04/2020,40,4
05/05/2020,40,4
05/06/2020,40,4
05/07/2020,40,4
05/08/2020,40,4
05/09/2020,40,4
05/10/2020,40,4
05/11/2020,40,4
05/12/2020,40,4
05/13/2020,40,4
05/14/2020,41,4
05/15/2020,42,4
05/16/2020,42,4
05/17/2020,44,4
05/18/2020,46,4
05/19/2020,46,4
05/20/2020,48,4
05/21/2020,51,4
05/22/2020,53,4
05/23/2020,56,4
05/24/2020,75,4
05/25/2020,94,4
05/26/2020,113,4
05/27/2020,132,4
05/28/2020,149,4
05/29/2020,154,4
05/30/2020,160,4
05/31/2020,178,4
06/01/2020,192,4
06/02/2020,206,4
06/03/2020,214,4
06/04/2020,222,4
06/05/2020,237,4
06/06/2020,279,4
06/07/2020,282,4
06/08/2020,287,4
06/09/2020,314,4
06/10/2020,320,4
06/11/2020,332,4
06/12/2020,343,4
06/13/2020,356,4
06/14/2020,366,4
06/15/2020,376,4
06/16/2020,387,4
06/17/2020,391,4
06/18/2020,401,4
06/19/2020,463,4
06/20/2020,479,4
06/21/2020,495,4
06/22/2020,512,6
06/23/2020,525,6
06/24/2020,530,6
06/25/2020,545,6
06/26/2020,561,6
06/27/2020,564,6
06/28/2020,567,6
06/29/2020,574,7
06/30/2020,589,7
07/01/2020,605,7
07/02/2020,611,7
07/03/2020,618,7
07/04/2020,625,7
07/05/2020,625,7
