Updated,Confirmed,Deaths
01/21/2020,1,0
01/22/2020,1,0
01/23/2020,1,0
01/24/2020,3,0
01/25/2020,3,0
01/26/2020,4,0
01/27/2020,5,0
01/28/2020,8,0
01/29/2020,8,0
01/30/2020,9,0
01/31/2020,10,0
02/01/2020,10,0
02/02/2020,10,0
02/03/2020,10,0
02/04/2020,11,0
02/05/2020,11,0
02/06/2020,16,0
02/07/2020,16,0
02/08/2020,17,0
02/09/2020,18,0
02/10/2020,18,0
02/11/2020,18,0
02/12/2020,18,0
02/13/2020,18,0
02/14/2020,18,0
02/15/2020,18,0
02/16/2020,20,1
02/17/2020,22,1
02/18/2020,22,1
02/19/2020,24,1
02/20/2020,24,1
02/21/2020,26,1
02/22/2020,26,1
02/23/2020,28,1
02/24/2020,30,1
02/25/2020,31,1
02/26/2020,32,1
02/27/2020,32,1
02/28/2020,34,1
02/29/2020,39,1
03/01/2020,40,1
03/02/2020,41,1
03/03/2020,42,1
03/04/2020,42,1
03/05/2020,44,1
03/06/2020,45,1
03/07/2020,45,1
03/08/2020,45,1
03/09/2020,45,1
03/10/2020,47,1
03/11/2020,48,1
03/12/2020,49,1
03/13/2020,50,1
03/14/2020,53,1
03/15/2020,59,1
03/16/2020,67,1
03/17/2020,77,1
03/18/2020,100,1
03/19/2020,108,1
03/20/2020,135,2
03/21/2020,153,2
03/22/2020,169,2
03/23/2020,195,2
03/24/2020,215,2
03/25/2020,235,2
03/26/2020,252,2
03/27/2020,267,2
03/28/2020,283,2
03/29/2020,298,2
03/30/2020,306,5
03/31/2020,322,5
04/01/2020,329,5
04/02/2020,339,5
04/03/2020,348,5
04/04/2020,355,5
04/05/2020,363,5
04/06/2020,373,5
04/07/2020,376,5
04/08/2020,379,5
04/09/2020,380,5
04/10/2020,382,6
04/11/2020,385,6
04/12/2020,388,6
04/13/2020,393,6
04/14/2020,394,6
04/15/2020,395,6
04/16/2020,396,6
04/17/2020,397,6
04/18/2020,398,6
04/19/2020,420,6
04/20/2020,422,6
04/21/2020,425,6
04/22/2020,426,6
04/23/2020,427,6
04/24/2020,428,6
04/25/2020,429,6
04/26/2020,429,6
04/27/2020,429,6
04/28/2020,429,6
04/29/2020,429,6
04/30/2020,430,6
05/01/2020,431,6
05/02/2020,432,6
05/03/2020,435,6
05/04/2020,438,6
05/05/2020,438,6
05/06/2020,439,6
05/07/2020,440,6
05/08/2020,440,6
05/09/2020,440,6
05/10/2020,440,6
05/11/2020,440,7
05/12/2020,440,7
05/13/2020,440,7
05/14/2020,440,7
05/15/2020,440,7
05/16/2020,440,7
05/17/2020,440,7
05/18/2020,440,7
05/19/2020,440,7
05/20/2020,440,7
05/21/2020,441,7
05/22/2020,441,7
05/23/2020,441,7
05/24/2020,441,7
05/25/2020,441,7
05/26/2020,441,7
05/27/2020,441,7
05/28/2020,441,7
05/29/2020,442,7
05/30/2020,442,7
05/31/2020,442,7
06/01/2020,443,7
06/02/2020,443,7
06/03/2020,443,7
06/04/2020,443,7
06/05/2020,443,7
06/06/2020,443,7
06/07/2020,443,7
06/08/2020,443,7
06/09/2020,443,7
06/10/2020,443,7
06/11/2020,443,7
06/12/2020,443,7
06/13/2020,443,7
06/14/2020,444,7
06/15/2020,445,7
06/16/2020,445,7
06/17/2020,445,7
06/18/2020,446,7
06/19/2020,446,7
06/20/2020,446,7
06/21/2020,446,7
06/22/2020,446,7
06/23/2020,446,7
06/24/2020,446,7
06/25/2020,447,7
06/26/2020,447,7
06/27/2020,447,7
06/28/2020,447,7
06/29/2020,447,7
06/30/2020,447,7
07/01/2020,447,7
07/02/2020,448,7
07/03/2020,449,7
07/04/2020,449,7
07/05/2020,449,7
