Confirmed,ConfirmedChange,Deaths,Recovered,Country_Region
4,0,0,0,Afghanistan
6,4,0,0,Albania
22,1,0,0,Algeria
1,0,0,0,Andorra
17,5,1,0,Argentina
1,0,0,0,Armenia
91,13,3,22,Australia
131,32,0,0,Austria
11,2,0,0,Azerbaijan
79,23,0,4,Bahrain
3,0,0,4,Bangladesh
15,1,0,4,Belarus
239,39,0,1,Belgium
1,0,0,1,Bhutan
5,1,0,0,Bosnia and Herz.
30,5,0,0,Brazil
1,5,0,0,Brunei
4,0,0,0,Bulgaria
2,0,0,0,Burkina Faso
2,0,0,0,Cambodia
2,0,0,0,Cameroon
79,12,1,8,Canada
12,3,0,0,Chile
80795,16,3123,58600,China
3,2,0,0,Colombia
9,0,0,0,Costa Rica
13,1,0,0,Croatia
2,1,0,0,Cyprus
38,6,0,0,Czech Rep.
3693,10,139,0,Denmark
6,1,0,0,Dominican Rep.
15,0,0,0,Ecuador
59,6,1,1,Egypt
10,0,0,1,Estonia
2,0,0,1,Faroe Is.
54,16,0,1,Finland
1412,286,25,12,France
5,0,0,12,French Guiana
15,2,0,0,Georgia
1112,265,2,18,Germany
1,0,0,18,Gibraltar
84,11,0,18,Greece
0,0,0,18,Guam
1,0,0,0,Guernsey
115,1,3,59,香港
12,3,0,0,Hungary
65,7,0,0,Iceland
44,5,0,3,India
2001,3,181,0,Indonesia
7161,595,237,2394,Iran
67,13,7,2394,Iraq
24,3,0,2394,Ireland
54,4,0,4,Israel
9172,1797,463,1004,Italy
514,26,9,76,Japan
1,0,0,76,Jordan
65,1,0,76,Kuwait
8,2,0,1,Latvia
52,11,1,1,Lebanon
1,0,0,1,Liechtenstein
1,0,0,1,Lithuania
6,1,0,1,Luxembourg
118,19,0,24,Malaysia
4,2,0,24,Maldives
5,2,0,24,Malta
2,0,0,24,Martinique
7,0,0,24,Mexico
1,0,0,24,Moldova
1,0,0,24,Monaco
2,0,0,24,Morocco
1,0,0,24,Nepal
321,57,4,0,Netherlands
5,0,0,0,New Zealand
2,1,0,0,Nigeria
7,3,0,0,Macedonia
190,23,0,1,Norway
18,2,0,1,Oman
16,9,1,1,Pakistan
1,9,1,1,Panama
1,0,0,1,Paraguay
6,0,0,0,Peru
24,14,1,2,Philippines
17,6,0,0,Poland
39,9,0,0,Portugal
0,0,0,0,Puerto Rico
15,3,0,0,Qatar
17,2,0,5,Romania
20,3,0,3,Russia
1,0,0,3,Saint Barthélemy
2,0,0,3,Saint Martin
51,14,2,0,San Marino
15,4,0,0,Saudi Arabia
4,0,0,0,Senegal
2,1,0,0,Serbia
160,10,0,93,Singapore
7,2,0,93,Slovakia
25,9,0,93,Slovenia
7,4,0,0,South Africa
7513,131,54,166,Korea
1231,557,30,16,Spain
1,0,0,16,Sri Lanka
326,101,0,1,Sweden
369,19,2,3,Switzerland
45,0,1,15,台湾
50,0,1,15,Thailand
1,0,0,15,Togo
5,3,0,0,Tunisia
0,0,0,0,U.S. Virgin Islands
1,0,0,0,Ukraine
59,14,0,12,United Arab Emirates
321,50,5,18,United Kingdom
645,148,29,8,United States
1,0,0,8,Vatican City
31,1,0,16,Vietnam
