Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
1177,0.0,0.0,0.0,Alborz Province
289,0.0,0.0,0.0,Ardabil
68,0.0,0.0,0.0,Chahar Mahall va Bakhtiari
1979,0.0,0.0,0.0,Esfahan
505,0.0,0.0,0.0,Fars
1191,0.0,0.0,0.0,Gilan
175,0.0,0.0,0.0,Hamadan
148,0.0,0.0,0.0,Hormozgan
169,0.0,0.0,0.0,Kerman
243,0.0,0.0,0.0,Kermanshah
444,0.0,0.0,0.0,Khuzestan
73,0.0,0.0,0.0,Kohgiluyeh va Buyer Ahmad
476,0.0,0.0,0.0,Lorestan
882,0.0,0.0,0.0,Markazi
1700,0.0,0.0,0.0,Mazandaran
165,0.0,0.0,0.0,North Khorasan Province
669,0.0,0.0,0.0,Qazvin
1178,0.0,0.0,0.0,Qom
858,0.0,0.0,0.0,Razavi Khorasan Province
645,0.0,0.0,0.0,Semnan
134,0.0,0.0,0.0,Sistan va Baluchestan
178,0.0,0.0,0.0,South Khorasan Province
5098,0.0,0.0,0.0,Tehran
725,0.0,0.0,0.0,Yazd
