Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
2238,17.0,66.0,0.0,Brandenburg
5196,37.0,94.0,0.0,Berlin
28253,370.0,982.0,0.0,Baden-Württemberg
37849,442.0,1286.0,0.0,Bavaria
604,19.0,25.0,0.0,Bremen
7177,69.0,240.0,0.0,Hesse
4185,18.0,91.0,0.0,Hamburg
653,2.0,15.0,0.0,Mecklenburg-West Pomerania
8900,103.0,291.0,0.0,Lower Saxony
28971,500.0,857.0,0.0,North Rhine-Westphalia
5523,91.0,107.0,0.0,Rhineland-Palatinate
2426,9.0,67.0,0.0,Schleswig-Holstein
2314,11.0,91.0,0.0,Saarland
4229,39.0,109.0,0.0,Saxony
1785,29.0,53.0,0.0,Thuringia
