Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
991,0,6,984,Anhui
593,0,8,509,Beijing
579,0,6,570,Chongqing
355,0,1,342,Fujian
139,0,2,137,Gansu
1583,1,8,1514,Guangdong
254,0,2,252,Guangxi Zhuang
147,0,2,145,Guizhou
168,0,6,162,Hainan
925,4,13,485,Heilongjiang
1276,0,22,1254,Henan
68128,0,4512,63519,Hubei
1019,0,4,1014,Hunan
196,1,1,108,Inner Mongolia
937,0,1,936,Jiangxi
107,1,1,98,Jilin
75,0,0,75,Ningxia
18,0,0,18,Qinghai
279,2,3,253,Shaanxi
640,1,7,532,Shanghai
197,0,0,142,Shanxi
189,0,3,178,Tianjin
76,0,3,73,Xinjiang
1,0,0,1,Xizang
184,0,2,178,Yunnan
1268,0,1,1252,Zhejiang
