Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
33,6.0,0.0,11.0,Andaman and Nicobar Islands
1097,36.0,31.0,231.0,Andhra Pradesh
1,0.0,0.0,1.0,Arunachal Pradesh
36,0.0,1.0,19.0,Assam
251,23.0,2.0,46.0,Bihar
30,2.0,0.0,17.0,Chandigarh
37,1.0,0.0,32.0,Chhattisgarh
2625,111.0,54.0,869.0,Delhi
7,0.0,0.0,7.0,Goa
3071,256.0,133.0,282.0,Gujarat
1916,264.0,69.0,113.0,Gujarat
33,0.0,2.0,9.0,Gujarat
33,0.0,5.0,18.0,Gujarat
4,0.0,0.0,0.0,Gujarat
18,0.0,2.0,11.0,Gujarat
3,0.0,0.0,2.0,Gujarat
1,0.0,1.0,0.0,Gujarat
6,0.0,1.0,1.0,Gujarat
7,0.0,0.0,2.0,Gujarat
1,0.0,0.0,0.0,Gujarat
12,0.0,2.0,0.0,Gujarat
15,0.0,1.0,11.0,Gujarat
3,0.0,0.0,3.0,Gujarat
41,0.0,0.0,12.0,Gujarat
3,0.0,0.0,2.0,Gujarat
491,35.0,13.0,13.0,Gujarat
226,8.0,11.0,53.0,Gujarat
40,0.0,1.0,22.0,Himachal Pradesh
289,9.0,3.0,176.0,Haryana
67,8.0,3.0,13.0,Jharkhand
501,12.0,18.0,177.0,Karnataka
458,7.0,4.0,338.0,Kerala
7628,811.0,323.0,1076.0,Maharashtra
32,0.0,323.0,1076.0,Maharashtra
20,0.0,323.0,1076.0,Maharashtra
7,0.0,323.0,1076.0,Maharashtra
40,0.0,323.0,1076.0,Maharashtra
1,0.0,323.0,1076.0,Maharashtra
24,0.0,323.0,1076.0,Maharashtra
1,0.0,323.0,1076.0,Maharashtra
7,0.0,323.0,1076.0,Maharashtra
8,0.0,323.0,1076.0,Maharashtra
3,0.0,323.0,1076.0,Maharashtra
9,0.0,323.0,1076.0,Maharashtra
8,0.0,323.0,1076.0,Maharashtra
4806,601.0,323.0,1076.0,Maharashtra
103,3.0,323.0,1076.0,Maharashtra
125,5.0,323.0,1076.0,Maharashtra
4,0.0,323.0,1076.0,Maharashtra
981,71.0,323.0,1076.0,Maharashtra
50,0.0,323.0,1076.0,Maharashtra
7,0.0,323.0,1076.0,Maharashtra
26,0.0,323.0,1076.0,Maharashtra
20,0.0,323.0,1076.0,Maharashtra
666,71.0,323.0,1076.0,Maharashtra
1,0.0,323.0,1076.0,Maharashtra
39,9.0,323.0,1076.0,Maharashtra
12,0.0,1.0,0.0,Meghalaya
2,0.0,0.0,2.0,Manipur
2096,144.0,99.0,210.0,Madhya Pradesh
1,0.0,0.0,0.0,Mizoram
103,9.0,1.0,34.0,Orissa
305,7.0,17.0,67.0,Punjab
7,0.0,0.0,3.0,Puducherry
2083,49.0,33.0,493.0,Rajasthan
7,0.0,33.0,4.0,Rajasthan
61,0.0,33.0,16.0,Rajasthan
2,0.0,33.0,1.0,Rajasthan
108,1.0,33.0,5.0,Rajasthan
33,0.0,33.0,25.0,Rajasthan
37,0.0,33.0,32.0,Rajasthan
14,0.0,33.0,11.0,Rajasthan
21,0.0,33.0,6.0,Rajasthan
1,0.0,33.0,1.0,Rajasthan
5,0.0,33.0,5.0,Rajasthan
784,23.0,33.0,132.0,Rajasthan
34,0.0,33.0,23.0,Rajasthan
41,0.0,33.0,28.0,Rajasthan
337,27.0,33.0,41.0,Rajasthan
3,0.0,33.0,2.0,Rajasthan
149,9.0,33.0,60.0,Rajasthan
103,10.0,33.0,3.0,Rajasthan
2,0.0,33.0,2.0,Rajasthan
2,0.0,33.0,2.0,Rajasthan
4,0.0,33.0,1.0,Rajasthan
117,2.0,33.0,19.0,Rajasthan
4,0.0,33.0,4.0,Rajasthan
1821,66.0,23.0,960.0,Tamil Nadu
6,0.0,23.0,960.0,Tamil Nadu
461,61.0,23.0,960.0,Tamil Nadu
81,1.0,23.0,960.0,Tamil Nadu
11,0.0,23.0,960.0,Tamil Nadu
63,11.0,23.0,960.0,Tamil Nadu
57,2.0,23.0,960.0,Tamil Nadu
12,0.0,23.0,960.0,Tamil Nadu
29,0.0,23.0,960.0,Tamil Nadu
55,0.0,23.0,960.0,Tamil Nadu
50,0.0,23.0,960.0,Tamil Nadu
29,0.0,23.0,960.0,Tamil Nadu
51,0.0,23.0,960.0,Tamil Nadu
63,0.0,23.0,960.0,Tamil Nadu
111,1.0,23.0,960.0,Tamil Nadu
13,0.0,23.0,960.0,Tamil Nadu
42,0.0,23.0,960.0,Tamil Nadu
22,0.0,23.0,960.0,Tamil Nadu
2,0.0,0.0,2.0,Tripura
991,4.0,26.0,280.0,Telangana
50,2.0,0.0,26.0,Uttarakhand
1843,65.0,29.0,289.0,Uttar Pradesh
611,40.0,18.0,105.0,West Bengal
