Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
295,16.0,14.0,0.0,Acre
643,89.0,34.0,0.0,Alagoas
842,44.0,26.0,0.0,Amapá
3928,95.0,320.0,0.0,Amazonas
2354,145.0,76.0,0.0,Bahia
6726,893.0,390.0,0.0,Ceará
1796,93.0,57.0,0.0,Espírito Santo
1146,80.0,27.0,0.0,Federal District
616,43.0,26.0,0.0,Goiás
2410,187.0,125.0,0.0,Maranhão
257,7.0,10.0,0.0,Mato Grosso
238,4.0,9.0,0.0,Mato Grosso do Sul
1586,38.0,62.0,0.0,Minas Gerais
2128,261.0,114.0,0.0,Pará
543,44.0,50.0,0.0,Paraiba
1186,30.0,75.0,0.0,Paraná
5358,460.0,450.0,0.0,Pernambuco
364,33.0,20.0,0.0,Piauí
7944,833.0,677.0,0.0,Rio de Janeiro
832,7.0,45.0,0.0,Rio Grande do Norte
1228,62.0,42.0,0.0,Rio Grande do Sul
393,29.0,10.0,0.0,Rondônia
407,6.0,4.0,0.0,Roraima
1337,102.0,43.0,0.0,Santa Catarina
21696,981.0,1825.0,0.0,São Paulo
197,38.0,10.0,0.0,Sergipe
67,9.0,2.0,0.0,Tocantins
