Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
34,9,1,2,Azua
5,0,0,1,Baoruco
35,0,1,7,Barahona
1571,57,37,388,Distrito Nacional
594,19,76,89,Duarte
5,1,0,0,El Seibo
2,1,0,0,Elías Piña
187,13,5,23,Espaillat
12,1,2,0,Hato Mayor
114,3,1,33,La Altagracia
111,7,2,13,La Romana
435,11,7,51,La Vega
86,4,3,6,María Trinidad Sánchez
175,7,3,18,Monseñor Nouel
17,1,0,2,Monte Cristi
15,2,3,0,Monte Plata
3,0,0,0,Pedernales
43,6,1,7,Peravia
198,7,13,15,Puerto Plata
154,5,11,18,Salcedo
22,1,1,9,Samaná
165,14,7,15,San Cristóbal
5,1,2,0,San José de Ocoa
53,10,3,2,San Juan
62,3,8,13,San Pedro de Macorís
166,14,6,8,Sánchez Ramírez
785,33,45,97,Santiago
25,1,1,0,Santiago Rodríguez
1173,58,41,169,Santo Domingo
37,5,2,5,Valverde
