Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
7,0.0,0.0,0.0,Aisen of Gral. C. Ibáñez del Campo
855,44.0,7.0,0.0,Antofagasta
1362,10.0,36.0,0.0,Araucanía
318,3.0,5.0,0.0,Arica y Parinacota
80,2.0,0.0,0.0,Atacama
789,15.0,8.0,0.0,Bio-Bio
98,1.0,0.0,0.0,Coquimbo
541,16.0,10.0,0.0,Los Lagos
200,1.0,4.0,0.0,Los Ríos
818,9.0,11.0,0.0,Magallanes and Antarctic Region
411,3.0,13.0,0.0,Maule
791,2.0,17.0,0.0,Ñuble
145,9.0,3.0,0.0,O’Higgins
15582,875.0,150.0,0.0,Santiago Metropolitan
339,17.0,1.0,0.0,Tarapacá
1016,29.0,16.0,0.0,Valparaíso
