Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
119,6,2,17,Azua
6,1,0,1,Baoruco
69,24,1,12,Barahona
6,1,0,2,Dajabón
2621,87,55,841,Distrito Nacional
737,9,79,272,Duarte
14,4,0,1,El Seibo
7,2,0,2,Elías Piña
404,16,8,46,Espaillat
13,0,2,3,Hato Mayor
3,1,1,1,Independencia
167,4,1,79,La Altagracia
259,9,7,54,La Romana
745,20,22,184,La Vega
113,2,4,40,María Trinidad Sánchez
262,8,4,57,Monseñor Nouel
27,0,0,12,Monte Cristi
28,3,6,1,Monte Plata
5,1,0,2,Pedernales
78,2,2,23,Peravia
290,6,18,76,Puerto Plata
224,4,14,47,Salcedo
28,3,1,14,Samaná
468,21,14,64,San Cristóbal
16,0,2,2,San José de Ocoa
89,2,3,22,San Juan
93,3,11,31,San Pedro de Macorís
219,2,6,67,Sánchez Ramírez
1145,26,62,339,Santiago
42,3,1,11,Santiago Rodríguez
2272,80,63,535,Santo Domingo
65,9,4,12,Valverde
