Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
506,0.0,35.0,437.0,Aichi
16,0.0,0.0,16.0,Akita
27,0.0,1.0,24.0,Aomori
904,0.0,44.0,752.0,Chiba
78,3.0,4.0,45.0,Ehime
122,0.0,8.0,107.0,Fukui
660,1.0,25.0,586.0,Fukuoka
81,0.0,0.0,69.0,Fukushima
150,0.0,7.0,138.0,Gifu
149,1.0,19.0,105.0,Gunma
167,1.0,2.0,141.0,Hiroshima
1024,5.0,78.0,687.0,Hokkaido
699,0.0,38.0,605.0,Hyogo
168,0.0,9.0,145.0,Ibaraki
294,2.0,24.0,201.0,Ishikawa
0,0.0,0.0,0.0,Iwate
28,0.0,0.0,27.0,Kagawa
10,0.0,0.0,9.0,Kagoshima
1322,7.0,71.0,965.0,Kanagawa
74,0.0,3.0,69.0,Kochi
48,0.0,3.0,35.0,Kumamoto
358,0.0,14.0,309.0,Kyoto
45,0.0,1.0,39.0,Mie
88,0.0,1.0,86.0,Miyagi
17,0.0,0.0,14.0,Miyazaki
76,0.0,0.0,60.0,Nagano
17,0.0,1.0,16.0,Nagasaki
91,0.0,2.0,82.0,Nara
83,0.0,0.0,69.0,Niigata
60,0.0,1.0,57.0,Oita
25,0.0,0.0,25.0,Okayama
142,0.0,6.0,132.0,Okinawa
1780,0.0,76.0,1399.0,Osaka
47,0.0,0.0,32.0,Saga
998,1.0,46.0,842.0,Saitama
100,1.0,1.0,83.0,Shiga
24,0.0,0.0,20.0,Shimane
74,0.0,1.0,70.0,Shizuoka
64,0.0,0.0,46.0,Tochigi
5,0.0,1.0,4.0,Tokushima
5136,3.0,263.0,4189.0,Tokyo
3,0.0,0.0,2.0,Tottori
227,0.0,21.0,171.0,Toyama
63,0.0,3.0,54.0,Wakayama
69,0.0,0.0,64.0,Yamagata
37,0.0,0.0,34.0,Yamaguchi
60,0.0,0.0,56.0,Yamanashi
