Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
109,4.0,4.0,32.0,Atlántida
86,47.0,1.0,7.0,Choluteca
42,0.0,1.0,19.0,Colón
35,15.0,4.0,2.0,Comayagua
5,0.0,0.0,2.0,Copán
2543,119.0,143.0,243.0,Cortés
23,14.0,1.0,1.0,El Paraíso
771,37.0,12.0,83.0,Francisco Morazán
13,37.0,1.0,7.0,Gracias a Dios
10,0.0,1.0,0.0,Intibucá
9,0.0,0.0,2.0,Islas de la Bahía
12,8.0,1.0,3.0,La Paz
10,0.0,1.0,1.0,Lempira
11,10.0,0.0,1.0,Ocotepeque
35,30.0,3.0,8.0,Olancho
45,25.0,2.0,7.0,Santa Bárbara
35,0.0,0.0,4.0,Valle
207,11.0,9.0,16.0,Yoro
