Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
1056,2.0,0.0,0.0,Central Bohemia
196,0.0,0.0,0.0,Hradec Králové
196,0.0,0.0,0.0,Hradec Králové
453,0.0,0.0,0.0,Karlovy Vary
200,0.0,0.0,0.0,Liberec
200,0.0,0.0,0.0,Liberec
1544,13.0,0.0,0.0,Moravia-Silesia
740,1.0,0.0,0.0,Olomouc
740,1.0,0.0,0.0,Olomouc
287,0.0,0.0,0.0,Pardubice
663,1.0,0.0,0.0,Plzeň
2065,11.0,0.0,0.0,Prague
184,1.0,0.0,0.0,South Bohemia
535,4.0,0.0,0.0,South Moravia
539,2.0,0.0,0.0,Ústí nad Labem
185,0.0,0.0,0.0,Vysočina
360,-7.0,0.0,0.0,Zlin
