Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
759,38.0,9.0,307.0,Adygea
105,1.0,0.0,53.0,Altay
1554,69.0,10.0,692.0,Altay Territory
414,13.0,5.0,133.0,Amur
1410,95.0,5.0,474.0,Arkhangel’sk
1596,38.0,12.0,769.0,Astrakhan’
2942,91.0,18.0,902.0,Bashkortostan
1980,79.0,15.0,716.0,Belgorod
274,2.0,3.0,174.0,Birobijan
3254,98.0,31.0,1784.0,Bryansk
1313,59.0,8.0,635.0,Buryatia
1152,19.0,13.0,698.0,Chechnya
2286,70.0,13.0,988.0,Chelyabinsk
63,1.0,1.0,37.0,Chukot
2545,73.0,12.0,922.0,Chuvashia
4455,161.0,130.0,4161.0,Dagestan
1906,40.0,47.0,784.0,Ingushetia
1376,70.0,10.0,271.0,Irkutsk
1686,47.0,18.0,599.0,Ivanovo
2509,87.0,12.0,643.0,Kabardino-Balkaria
1338,44.0,21.0,587.0,Kaliningrad
944,21.0,12.0,401.0,Kalmykia
3560,101.0,29.0,1123.0,Kaluga
700,22.0,7.0,244.0,Kamchatka
853,39.0,5.0,268.0,Karachay-Cherkessia
353,22.0,1.0,135.0,Karelia
444,13.0,7.0,170.0,Kemerovo
1827,67.0,10.0,803.0,Khabarovsk
856,20.0,10.0,489.0,Khakassia
1924,75.0,17.0,669.0,Khanty-Mansi
1438,68.0,10.0,836.0,Kirov
1188,44.0,21.0,625.0,Komi-Permyak
617,16.0,9.0,354.0,Kostroma
3506,80.0,29.0,2257.0,Krasnodar
3700,142.0,29.0,791.0,Krasnoyarsk
192,3.0,0.0,85.0,Kurgan
2719,71.0,9.0,1198.0,Kursk
1836,72.0,5.0,588.0,Lipetsk
228,1.0,3.0,155.0,Magadan
1602,43.0,10.0,1217.0,Mari El
1727,43.0,12.0,568.0,Mordovia
171443,2140.0,2183.0,67458.0,Moscow City
3030,49.0,7.0,1676.0,Murmansk
66,2.0,0.0,12.0,Nenets
8735,231.0,78.0,2905.0,Nizhniy Novgorod
2755,53.0,32.0,1625.0,North Ossetia-Alania
1049,46.0,6.0,319.0,Novgorod
2397,97.0,31.0,902.0,Novosibirsk
1139,42.0,18.0,288.0,Omsk
2023,81.0,16.0,999.0,Orel
1718,54.0,6.0,1097.0,Orenburg
1980,88.0,17.0,1481.0,Penza
1495,44.0,19.0,892.0,Perm
1779,44.0,17.0,798.0,Primorye
629,21.0,10.0,268.0,Pskov
4133,203.0,34.0,1441.0,Rostov
3206,81.0,7.0,789.0,Ryazan’
1529,84.0,7.0,658.0,Sakha
76,2.0,0.0,47.0,Sakhalin
2340,135.0,17.0,761.0,Samara
2649,68.0,30.0,861.0,Saratov
1853,84.0,25.0,621.0,Smolensk
14463,387.0,158.0,4458.0,St Petersburg City
2158,72.0,42.0,871.0,Stavropol
4425,235.0,21.0,1700.0,Sverdlovsk
2699,77.0,6.0,921.0,Tambov
2966,54.0,9.0,2226.0,Tatarstan
595,31.0,10.0,223.0,Tomsk
3422,104.0,24.0,1457.0,Tula
818,58.0,1.0,80.0,Tuva
1424,46.0,19.0,925.0,Tver’
1532,42.0,7.0,694.0,Tyumen’
559,10.0,12.0,367.0,Udmurtia
2121,70.0,7.0,586.0,Ul’yanovsk
2434,55.0,17.0,426.0,Vladimir
2470,86.0,16.0,781.0,Volgograd
774,75.0,5.0,276.0,Vologda
1643,62.0,14.0,1235.0,Voronezh
2202,51.0,6.0,788.0,Yamalo-Nenets
2808,82.0,13.0,616.0,Yaroslavl’
938,59.0,17.0,447.0,Zabaykalsky Krai
