Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
853,14.0,0.0,0.0,Azuay
312,2.0,0.0,0.0,Bolívar
414,1.0,0.0,0.0,Cañar
157,5.0,0.0,0.0,Carchi
412,8.0,0.0,0.0,Chimborazo
419,20.0,0.0,0.0,Cotopaxi
1114,26.0,0.0,0.0,El Oro
857,29.0,0.0,0.0,Esmeraldas
76,0.0,0.0,0.0,Galápagos
14261,3.0,0.0,0.0,Guayas
210,4.0,0.0,0.0,Imbabura
390,18.0,0.0,0.0,Loja
1507,20.0,0.0,0.0,Los Ríos
2262,32.0,0.0,0.0,Manabí
115,6.0,0.0,0.0,Morona Santiago
210,5.0,0.0,0.0,Napo
340,1.0,0.0,0.0,Orellana
253,13.0,0.0,0.0,Pastaza
3950,46.0,0.0,0.0,Pichincha
777,4.0,0.0,0.0,Santa Elena
1019,38.0,0.0,0.0,Santo Domingo de los Tsáchilas
116,4.0,0.0,0.0,Sucumbíos
482,15.0,0.0,0.0,Tungurahua
204,13.0,0.0,0.0,Zamora Chinchipe
