Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
208,8,4,0.0,Blekinge County
1215,13,143,0.0,Dalarna County
1285,26,103,0.0,Gavleborg County
81,5,6,0.0,Gotland County
773,11,53,0.0,Halland County
772,39,32,0.0,Jamtland County
1538,26,138,0.0,Jonkoping County
349,3,35,0.0,Kalmar County
839,12,65,0.0,Kronoberg County
414,8,43,0.0,Norrbotten
1795,9,144,0.0,Orebro County
1975,1,190,0.0,Ostergotland County
1739,38,210,0.0,Skane County
1664,1,224,0.0,Sodermanland County
12149,119,2055,0.0,Stockholm County
1921,39,181,0.0,Uppsala County
531,34,31,0.0,Varmland County
498,14,26,0.0,Västerbotten
723,22,84,0.0,Västernorrland
1653,2,135,0.0,Vastmanland County
5898,162,550,0.0,Vastra Gotaland County
