Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
2660,14.0,112.0,0.0,Dolnośląskie
599,1.0,47.0,0.0,Kujawsko-pomorskie
1779,85.0,74.0,0.0,Łódzkie
504,5.0,15.0,0.0,Lubelskie
122,1.0,0.0,0.0,Lubuskie
1278,24.0,40.0,0.0,Małopolskie
3738,55.0,279.0,0.0,Mazowieckie
693,16.0,49.0,0.0,Opolskie
388,1.0,36.0,0.0,Podkarpackie
485,13.0,9.0,0.0,Podlaskie
560,1.0,35.0,0.0,Pomorskie
8786,143.0,225.0,0.0,Śląskie
511,13.0,22.0,0.0,Świętokrzyskie
179,0.0,1.0,0.0,Warmińsko-mazurskie
2216,14.0,154.0,0.0,Wielkopolskie
550,5.0,19.0,0.0,Zachodniopomorskie
