Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
0,0,0,0.0,Catamarca
5,0,0,0.0,Cordoba
7496,422,256,0.0,City of Buenos Aires
979,53,60,0.0,Chaco
11,0,60,0.0,Chubut
9754,436,218,0.0,City of Buenos Aires
96,0,218,0.0,Corrientes
462,2,33,0.0,Cordoba
35,0,33,0.0,Entre Rios
0,0,33,0.0,Formosa
6,0,33,0.0,Jujuy
63,0,7,0.0,La Rioja
51,0,7,0.0,La Rioja
31,2,1,0.0,Misiones
100,0,9,0.0,Mendoza
150,0,5,0.0,Neuquen
434,8,19,0.0,Rio Negro
15,0,19,0.0,Salta
5,0,19,0.0,San Juan
22,0,19,0.0,Santiago del Estero
273,5,3,0.0,Santa Fe
11,0,3,0.0,San Luis
149,0,0,0.0,"Tierra del Fuego, Antarctica, and South Atlantic Islands"
49,1,4,0.0,Tucuman
