Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
20,0,1,18,Aceh
570,23,5,369,Bali
95,7,1,34,Bangka-Belitung
1027,19,70,324,Banten
95,1,3,25,Bengkulu
1607,35,76,407,Central Java
497,7,26,191,Central Kalimantan
151,8,4,78,Central Sulawesi
6058,255,446,1207,East Java
331,7,3,184,East Kalimantan
102,1,1,14,East Nusa Tenggara
129,4,6,32,Gorontalo
8002,118,524,2751,Jakarta
102,1,0,27,Jambi
143,1,11,92,Lampung
289,18,8,64,Maluku
168,1,2,95,North Kalimantan
183,3,19,30,North Maluku
470,40,40,62,North Sulawesi
583,23,46,172,North Sumatra
1032,57,7,78,Papua
117,0,6,100,Riau
226,2,15,103,Riau Islands
258,1,5,141,South East Sulawesi
1302,45,93,104,South Kalimantan
1934,79,93,673,South Sulawesi
1130,28,38,265,South Sumatra
2404,19,158,764,West Java
208,2,4,109,West Kalimantan
800,22,20,299,West Nusa Tenggara
177,1,2,74,West Papua
93,1,2,50,West Sulawesi
619,6,27,333,West Sumatra
244,3,8,174,Yogyakarta
