Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
991,0,6,985,安徽
637,40,9,584,北京
580,1,6,573,重庆
361,0,1,356,福建
146,1,2,137,甘肃
1625,17,8,1590,广东
254,0,2,252,广西
147,0,2,145,贵州
171,1,6,162,海南
330,1,6,322,河北
947,0,13,934,黑龙江
1276,0,22,1254,河南
68135,0,4512,63623,湖北
1019,0,4,1015,湖南
237,0,1,231,内蒙古
653,0,0,653,江苏
932,0,1,931,江西
155,0,2,153,吉林
151,1,2,147,辽宁
75,0,0,75,宁夏
18,0,0,18,青海
312,1,3,306,陕西
792,0,7,782,山东
691,1,7,666,上海
198,0,0,198,山西
585,2,3,563,四川
196,0,3,189,天津
76,0,3,73,新疆
1,0,0,1,西藏
185,0,2,183,云南
1268,0,1,1267,浙江
