Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
20,0,0.0,0.0,Bács-Kiskun
39,2,0.0,0.0,Baranya
13,2,0.0,0.0,Békés
62,0,0.0,0.0,Borsod-Abaúj-Zemplén
1932,3,0.0,0.0,Budapest
118,1,0.0,0.0,Csongrád
376,1,0.0,0.0,Fejér
86,1,0.0,0.0,Győr-Moson-Sopron
27,0,0.0,0.0,Hajdú-Bihar
17,0,0.0,0.0,Heves
18,1,0.0,0.0,Jász-Nagykun-Szolnok
301,2,0.0,0.0,Komárom-Esztergom
51,-1,0.0,0.0,Nógrád
597,2,0.0,0.0,Pest
22,0,0.0,0.0,Somogy
49,0,0.0,0.0,Szabolcs-Szatmár-Bereg
13,-1,0.0,0.0,Tolna
17,0,0.0,0.0,Vas
63,-4,0.0,0.0,Veszprém
261,1,0.0,0.0,Zala
