Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
50756,0,6483,0.0,England
507,1,6483,0.0,England
1318,1,6483,0.0,England
1083,5,6483,0.0,England
237,0,6483,0.0,England
801,9,6483,0.0,England
744,1,6483,0.0,England
3347,5,6483,0.0,England
422,0,6483,0.0,England
681,0,6483,0.0,England
1058,2,6483,0.0,England
263,0,6483,0.0,England
1434,1,6483,0.0,England
1505,2,6483,0.0,England
489,1,6483,0.0,England
1291,0,6483,0.0,England
1065,3,6483,0.0,England
816,1,6483,0.0,England
303,1,6483,0.0,England
1245,-1,6483,0.0,England
642,0,6483,0.0,England
766,7,6483,0.0,England
1343,1,6483,0.0,England
1237,1,6483,0.0,England
594,0,6483,0.0,England
2062,0,6483,0.0,England
841,2,6483,0.0,England
1522,0,6483,0.0,England
2283,2,6483,0.0,England
409,0,6483,0.0,England
640,2,6483,0.0,England
1807,4,6483,0.0,England
830,1,6483,0.0,England
933,11,6483,0.0,England
372,0,6483,0.0,England
896,0,6483,0.0,England
1231,1,6483,0.0,England
965,1,6483,0.0,England
777,0,6483,0.0,England
895,1,6483,0.0,England
3409,1,6483,0.0,England
1015,1,6483,0.0,England
1384,1,6483,0.0,England
715,1,6483,0.0,England
416,-2,6483,0.0,England
687,4,6483,0.0,England
3384,1,6483,0.0,England
605,1,6483,0.0,England
1048,1,6483,0.0,England
353,1,6483,0.0,England
727,1,6483,0.0,England
2995,1,6483,0.0,England
807,1,6483,0.0,England
775,3,6483,0.0,England
203,0,6483,0.0,England
472,0,6483,0.0,England
520,4,6483,0.0,England
5558,42,6483,0.0,England
800,1,6483,0.0,England
532,0,6483,0.0,England
799,1,6483,0.0,England
678,8,6483,0.0,England
1225,2,6483,0.0,England
3836,1,6483,0.0,England
1901,0,6483,0.0,England
1028,12,6483,0.0,England
1405,5,6483,0.0,England
1001,1,6483,0.0,England
1147,1,6483,0.0,England
1679,0,6483,0.0,England
18,0,6483,0.0,England
839,4,6483,0.0,England
1727,4,6483,0.0,England
807,6,6483,0.0,England
704,0,6483,0.0,England
697,0,6483,0.0,England
517,1,6483,0.0,England
1083,0,6483,0.0,England
1015,1,6483,0.0,England
2243,0,6483,0.0,England
523,0,6483,0.0,England
489,0,6483,0.0,England
642,2,6483,0.0,England
1351,1,6483,0.0,England
1683,5,6483,0.0,England
166,1,6483,0.0,England
1066,1,6483,0.0,England
626,0,6483,0.0,England
1488,3,6483,0.0,England
1154,1,6483,0.0,England
2126,0,6483,0.0,England
467,2,6483,0.0,England
374,0,6483,0.0,England
491,0,6483,0.0,England
325,0,6483,0.0,England
596,0,6483,0.0,England
774,1,6483,0.0,England
430,0,6483,0.0,England
417,0,6483,0.0,England
882,0,6483,0.0,England
1071,2,6483,0.0,England
35,0,6483,0.0,England
978,1,6483,0.0,England
1086,4,6483,0.0,England
978,1,6483,0.0,England
2668,2,6483,0.0,England
867,3,6483,0.0,England
465,0,6483,0.0,England
682,1,6483,0.0,England
797,1,6483,0.0,England
406,0,6483,0.0,England
751,0,6483,0.0,England
611,-1,6483,0.0,England
456,0,6483,0.0,England
1287,1,6483,0.0,England
767,0,6483,0.0,England
2382,6,6483,0.0,England
1089,0,6483,0.0,England
647,1,6483,0.0,England
859,3,6483,0.0,England
1549,0,6483,0.0,England
1386,0,6483,0.0,England
3023,4,6483,0.0,England
768,0,6483,0.0,England
467,0,6483,0.0,England
866,1,6483,0.0,England
375,0,6483,0.0,England
385,1,6483,0.0,England
224,0,6483,0.0,England
649,1,6483,0.0,England
883,1,6483,0.0,England
788,1,6483,0.0,England
1109,2,6483,0.0,England
777,1,6483,0.0,England
1009,1,6483,0.0,England
805,0,6483,0.0,England
1594,1,6483,0.0,England
128,0,1,0.0,England
16990,28,1,0.0,England
1374,1,1,0.0,England
690,3,1,0.0,England
1233,1,1,0.0,England
548,1,1,0.0,England
310,1,1,0.0,England
1362,0,1,0.0,England
458,0,1,0.0,England
1048,0,1,0.0,England
1444,0,1,0.0,England
463,0,1,0.0,England
4874,1,547,0.0,Northern Ireland
18196,5,2482,0.0,Scotland
1414,1,2482,0.0,Scotland
1765,1,2482,0.0,Scotland
285,0,2482,0.0,Scotland
1062,1,2482,0.0,Scotland
930,1,2482,0.0,Scotland
1252,1,2482,0.0,Scotland
2716,1,2482,0.0,Scotland
3150,0,2482,0.0,Scotland
9,0,2482,0.0,Scotland
345,-1,2482,0.0,Scotland
54,0,2482,0.0,Scotland
7,0,2482,0.0,Scotland
15466,125,1497,0.0,Wales
