Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
911,30,12,521,Alaska
486,6,4,240,Alaska
1,0,0,3,Alaska
152,2,2,85,Alaska
24,0,0,85,Alaska
156,3,1,95,Alaska
27,1,0,21,Alaska
1,0,0,1,Alaska
85,2,1,40,Alaska
1,0,0,4,Alaska
4,0,0,1,Alaska
4,0,0,3,Alaska
4,0,1,3,Alaska
2,0,0,2,Alaska
11,1,0,4,Alaska
1,0,0,1,Alaska
35902,1092,841,1,Alabama
497,5,11,1,Alabama
559,20,9,1,Alabama
316,2,1,1,Alabama
167,3,0,1,Alabama
186,1,1,1,Alabama
357,3,10,1,Alabama
599,2,27,1,Alabama
261,3,3,1,Alabama
566,5,24,1,Alabama
67,1,7,1,Alabama
200,3,1,1,Alabama
190,1,12,1,Alabama
258,2,5,1,Alabama
55,1,1,1,Alabama
26,1,1,1,Alabama
340,1,1,1,Alabama
347,6,5,1,Alabama
177,3,0,1,Alabama
55,0,1,1,Alabama
294,1,4,1,Alabama
121,0,3,1,Alabama
374,2,3,1,Alabama
233,3,0,1,Alabama
802,13,6,1,Alabama
14,0,0,1,Alabama
539,11,5,1,Alabama
800,12,11,1,Alabama
216,1,6,1,Alabama
551,4,13,1,Alabama
66,1,1,1,Alabama
835,6,11,1,Alabama
61,1,0,1,Alabama
169,2,5,1,Alabama
275,2,20,1,Alabama
132,0,4,1,Alabama
428,6,3,1,Alabama
196,2,2,1,Alabama
3682,79,133,1,Alabama
68,4,1,1,Alabama
372,9,4,1,Alabama
94,4,0,1,Alabama
1064,20,36,1,Alabama
359,8,0,1,Alabama
437,1,17,1,Alabama
161,1,7,1,Alabama
1015,13,4,1,Alabama
266,2,11,1,Alabama
197,2,9,1,Alabama
1408,19,9,1,Alabama
3418,56,134,1,Alabama
188,1,2,1,Alabama
3582,6,92,1,Alabama
916,9,3,1,Alabama
117,7,0,1,Alabama
192,2,6,1,Alabama
389,1,5,1,Alabama
158,4,9,1,Alabama
422,7,0,1,Alabama
1032,12,21,1,Alabama
292,4,1,1,Alabama
267,4,9,1,Alabama
223,3,5,1,Alabama
543,4,69,1,Alabama
2017,30,36,1,Alabama
786,6,13,1,Alabama
96,2,1,1,Alabama
272,4,5,1,Alabama
218,2,3,1,Alabama
19818,508,264,13636,Arkansas
26,0,0,18,Arkansas
69,1,1,50,Arkansas
20,2,0,14,Arkansas
2623,50,18,1759,Arkansas
22,0,1,11,Arkansas
42,0,2,31,Arkansas
0,0,2,31,Arkansas
166,5,5,94,Arkansas
124,4,3,72,Arkansas
56,1,0,50,Arkansas
54,1,3,26,Arkansas
84,1,4,70,Arkansas
25,0,0,22,Arkansas
84,10,3,28,Arkansas
47,3,3,26,Arkansas
442,6,6,371,Arkansas
148,13,0,75,Arkansas
731,35,11,547,Arkansas
85,0,1,76,Arkansas
9,2,0,5,Arkansas
44,2,0,28,Arkansas
63,10,1,28,Arkansas
437,28,3,215,Arkansas
17,1,0,10,Arkansas
12,0,0,9,Arkansas
237,23,1,167,Arkansas
34,0,0,26,Arkansas
114,2,0,84,Arkansas
48,1,1,41,Arkansas
423,3,0,49,Arkansas
82,6,1,50,Arkansas
54,3,0,44,Arkansas
20,0,1,19,Arkansas
27,1,0,17,Arkansas
683,3,28,595,Arkansas
210,3,0,123,Arkansas
16,1,1,14,Arkansas
99,0,9,78,Arkansas
628,1,2,533,Arkansas
1037,1,11,973,Arkansas
38,0,0,37,Arkansas
46,0,0,23,Arkansas
132,5,1,79,Arkansas
188,13,0,132,Arkansas
4,0,0,2,Arkansas
111,4,2,92,Arkansas
157,8,3,103,Arkansas
12,0,0,7,Arkansas
4,0,0,2,Arkansas
101,0,2,73,Arkansas
5,0,0,4,Arkansas
21,2,0,17,Arkansas
29,2,0,18,Arkansas
132,5,3,69,Arkansas
8,0,0,7,Arkansas
57,1,3,49,Arkansas
72,2,0,60,Arkansas
414,12,3,308,Arkansas
20,0,0,9,Arkansas
1862,52,56,1291,Arkansas
46,0,1,32,Arkansas
250,4,2,192,Arkansas
10,0,0,6,Arkansas
7,0,0,7,Arkansas
435,57,5,198,Arkansas
661,9,7,494,Arkansas
53,0,4,43,Arkansas
810,1,3,782,Arkansas
13,0,0,11,Arkansas
246,1,13,196,Arkansas
34,0,2,28,Arkansas
3320,82,30,2110,Arkansas
84,2,1,64,Arkansas
6,0,0,5,Arkansas
582,48,3,348,Arkansas
71979,1928,1579,348,Arizona
2285,32,1579,348,Arizona
624,11,1579,348,Arizona
1819,53,92,348,Arizona
291,6,92,348,Arizona
102,2,92,348,Arizona
15,1,1,348,Arizona
327,6,1,348,Arizona
44962,2668,746,348,Arizona
1091,17,746,348,Arizona
3537,85,124,348,Arizona
7525,345,275,348,Arizona
3350,158,63,348,Arizona
1709,31,63,348,Arizona
743,12,8,348,Arizona
6170,105,8,348,Arizona
216550,5307,5936,348,California
5581,79,130,348,California
1,0,0,348,California
20,0,0,348,California
137,2,2,348,California
30,0,0,348,California
17,0,0,348,California
2721,45,73,348,California
47,0,0,348,California
160,1,0,348,California
4317,151,72,348,California
77,6,0,348,California
127,1,4,348,California
5754,132,88,348,California
29,0,1,348,California
4455,89,70,348,California
2219,43,22,348,California
42,0,0,348,California
33,3,0,348,California
95341,2013,3285,348,California
427,18,5,348,California
1488,82,18,348,California
22,1,1,348,California
64,1,0,348,California
807,10,11,348,California
35,0,1,348,California
1455,6,12,348,California
320,9,3,348,California
102,1,1,348,California
12951,292,323,348,California
601,17,11,348,California
6,0,0,348,California
16209,351,438,348,California
2728,41,67,348,California
182,6,2,348,California
11491,380,249,348,California
12836,434,360,348,California
3374,44,49,348,California
3082,139,52,348,California
505,7,1,348,California
3083,28,106,348,California
2831,47,28,348,California
4020,52,155,348,California
347,3,3,348,California
87,1,5,348,California
1,0,0,348,California
25,1,0,348,California
1076,8,23,348,California
1109,23,4,348,California
2244,87,41,348,California
141,3,3,348,California
66,3,1,348,California
2,0,0,348,California
3810,90,122,348,California
13,3,0,348,California
2527,83,44,348,California
432,14,24,348,California
4,0,0,348,California
39,1,1,348,California
32157,291,1651,348,Colorado
4093,35,154,348,Colorado
184,2,3,348,Colorado
5127,14,342,348,Colorado
9,0,0,348,Colorado
12,0,0,348,Colorado
4,0,0,348,Colorado
1347,6,71,348,Colorado
289,3,27,348,Colorado
74,1,16,348,Colorado
5,0,0,348,Colorado
18,0,1,348,Colorado
13,1,0,348,Colorado
3,0,0,348,Colorado
70,0,1,348,Colorado
2,0,0,348,Colorado
82,0,1,348,Colorado
6947,23,374,348,Colorado
927,8,49,348,Colorado
683,3,7,348,Colorado
2296,30,119,348,Colorado
54,1,1,348,Colorado
33,1,0,348,Colorado
286,4,2,348,Colorado
7,0,0,348,Colorado
18,1,0,348,Colorado
184,1,5,348,Colorado
1,0,0,348,Colorado
4,0,0,348,Colorado
1,0,0,348,Colorado
2633,9,208,348,Colorado
29,1,3,348,Colorado
109,1,1,348,Colorado
48,1,0,348,Colorado
718,6,26,348,Colorado
6,1,0,348,Colorado
1,0,0,348,Colorado
636,0,5,348,Colorado
93,1,0,348,Colorado
2,0,0,348,Colorado
11,1,0,348,Colorado
69,1,2,348,Colorado
201,2,12,348,Colorado
651,1,46,348,Colorado
19,1,1,348,Colorado
8,1,1,348,Colorado
24,1,0,348,Colorado
13,1,0,348,Colorado
39,0,2,348,Colorado
18,1,0,348,Colorado
378,4,25,348,Colorado
1,0,0,348,Colorado
73,1,2,348,Colorado
70,1,6,348,Colorado
101,1,2,348,Colorado
1,0,0,348,Colorado
34,1,0,348,Colorado
260,3,3,348,Colorado
38,1,2,348,Colorado
42,1,0,348,Colorado
2783,5,136,348,Colorado
49,1,0,348,Colorado
46247,93,4263,348,Connecticut
16633,27,1375,348,Connecticut
11587,29,1369,348,Connecticut
1484,2,136,348,Connecticut
1292,5,183,348,Connecticut
12299,24,1073,348,Connecticut
1244,3,102,348,Connecticut
889,8,61,348,Connecticut
605,6,14,348,Connecticut
10248,32,550,1199,District of Columbia
11370,110,435,6665,Delaware
1686,10,435,6665,Delaware
4925,54,242,2828,Delaware
4716,21,242,2828,Delaware
141075,8530,3419,2828,Florida
1124,91,12,2828,Florida
55,4,4,2828,Florida
322,17,4,2828,Florida
82,2,2,2828,Florida
