Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
52444,2606.0,1150.0,34.0,13803.0,240.0
0,0.0,1150.0,34.0,13803.0,240.0
20365,0.0,452.0,0.0,13803.0,240.0
1602,0.0,86.0,0.0,13803.0,240.0
99,0.0,1.0,0.0,13803.0,240.0
20031,0.0,400.0,0.0,13803.0,240.0
116,0.0,400.0,0.0,13803.0,240.0
576,0.0,37.0,0.0,13803.0,240.0
160,0.0,37.0,0.0,13803.0,240.0
39,0.0,37.0,0.0,13803.0,240.0
15,0.0,37.0,0.0,13803.0,240.0
64,0.0,8.0,0.0,13803.0,240.0
39,0.0,2.0,0.0,13803.0,240.0
135,0.0,9.0,0.0,13803.0,240.0
323,0.0,8.0,0.0,13803.0,240.0
699,0.0,37.0,0.0,13803.0,240.0
8,0.0,37.0,0.0,13803.0,240.0
22,0.0,37.0,0.0,13803.0,240.0
340,0.0,4.0,0.0,13803.0,240.0
11,0.0,4.0,0.0,13803.0,240.0
149,0.0,0.0,0.0,13803.0,240.0
59,0.0,5.0,0.0,13803.0,240.0
